,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,59798000,37535000,46587000,47022000,59768000,39575000,32693000,36504000,36021000,35101000,34997000,39655000,38423000,34879000,34116000,38013000,35235000,34465000,34318000,35852000,35652000,31177000,37478000,33307000,35644000,30723000,34638000,31315000,33384000,27848000,33188000
IncomeRevenues_yy,,,,,-0.05,5.43,-29.82,-22.37,-39.73,-11.31,7.05,8.63,6.67,-0.63,-2.52,-4.14,-8.30,-1.19,0.59,-5.68,1.18,-9.54,9.21,-7.10,-0.02,-1.46,-7.58,-5.98,-6.34,-9.36,-4.19
IncomeRevenues_sy,,,,,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,-37.23,24.12,0.93,27.11,-33.79,-17.39,11.66,-1.32,-2.55,-0.30,13.31,-3.11,-9.22,-2.19,11.42,-7.31,-2.19,-0.43,4.47,-0.56,-12.55,20.21,-11.13,7.02,-13.81,12.74,-9.59,6.61,-16.58,19.18
IncomeRevenues_sq,,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,22675000,7890000,16240000,16041000,26293000,9338000,6549000,3252000,-566000,-2586000,2035000,1672000,3049000,474000,1357000,2103000,2613000,-2245000,-660000,-1316000,302000,-2767000,1303000,-1519000,1280000,-2890000,659000,620000,986000,-2302000,584000
IncomeGrossProfit_yy,,,,,15.96,18.35,-59.67,-79.73,-102.15,-127.69,-68.93,-48.59,638.69,118.33,-33.32,25.78,-14.30,-573.63,-148.64,-162.58,-88.44,-23.25,297.42,-15.43,323.84,-4.45,-49.42,140.82,-22.97,20.35,-11.38
IncomeGrossProfit_sy,,,,,-3.18,14.48,-48.83,-34.83,-6.30,-31.16,39.45,23.94,109.40,47.01,14.84,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,-65.20,105.83,-1.23,63.91,-64.48,-29.87,-50.34,-117.40,-356.89,178.69,-17.84,82.36,-84.45,186.29,54.97,24.25,-185.92,70.60,-99.39,122.95,-1016.23,147.09,-216.58,184.27,-325.78,122.80,-5.92,59.03,-333.47,125.37
IncomeGrossProfit_sq,,-86.33,167.62,-5.74,81.01,-69.48,91.01,-50.34,62.46,-88.66,178.69,-24.59,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,65000,46000,75000,58000,210000,352000,148000,194000,13000,95000,86000,167000,280000,105000,180000,280000,226000,117000,196000,207000,163000,69000,130000,145000,194000,88000,319000,177000,-56000,44000,313000
IncomeOtherOperatingIncome_yy,,,,,223.08,665.22,97.33,234.48,-93.81,-73.01,-41.89,-13.92,2053.85,10.53,109.30,67.66,-19.29,11.43,8.89,-26.07,-27.88,-41.03,-33.67,-29.95,19.02,27.54,145.38,22.07,-128.87,-50.00,-1.88
IncomeOtherOperatingIncome_sy,,,,,82.77,6.26,11.80,-4.58,-23.71,16.60,8.49,45.34,65.13,4.07,-46.60,-35.49,-17.94,-26.60,15.93,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,-29.23,63.04,-22.67,262.07,67.62,-57.95,31.08,-93.30,630.77,-9.47,94.19,67.66,-62.50,71.43,55.56,-19.29,-48.23,67.52,5.61,-21.26,-57.67,88.41,11.54,33.79,-54.64,262.50,-44.51,-131.64,178.57,611.36
IncomeOtherOperatingIncome_sq,,-62.50,29.10,-16.37,108.41,-39.10,-41.24,7.56,-2.05,-0.99,10.87,41.75,0.21,-5.38,-3.84,-2.10,45.02,-48.74,4.06,-24.68,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,420000,88000,62000,190000,530000,231000,135000,216000,25000,7000,45000,270000,811000,125000,8000,124000,296000,442000,54000,44000,1047000,44000,271000,68000,389000,42000,199000,329000,45178000,23000,183000
IncomeOtherOperatingCosts_yy,,,,,26.19,162.50,117.74,13.68,-95.28,-96.97,-66.67,25.00,3144.00,1685.71,-82.22,-54.07,-63.50,253.60,575.00,-64.52,253.72,-90.05,401.85,54.55,-62.85,-4.55,-26.57,383.82,11513.88,-45.24,-8.04
IncomeOtherOperatingCosts_sy,,,,,-7.50,38.78,-14.62,-15.42,13.74,-16.18,6.45,12.52,-9.79,-26.64,-12.72,-17.06,7.00,-10.00,-7.75,-6.85,33.59,28.74,29.56,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95,22.44
IncomeOtherOperatingCosts_qq,,-79.05,-29.55,206.45,178.95,-56.42,-41.56,60.00,-88.43,-72.00,542.86,500.00,200.37,-84.59,-93.60,1450.00,138.71,49.32,-87.78,-18.52,2279.55,-95.80,515.91,-74.91,472.06,-89.20,373.81,65.33,13631.91,-99.95,695.65
IncomeOtherOperatingCosts_sq,,-66.74,191.42,23.78,114.17,-46.78,3.53,-2.45,60.44,-71.67,104.87,11.23,78.72,-69.21,7.18,-4.52,156.19,-59.23,29.49,-17.03,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,22320000,7848000,16253000,15909000,25973000,9459000,6562000,3230000,-578000,-2498000,2076000,1569000,2518000,454000,1529000,2259000,2543000,-2570000,-518000,-1153000,-582000,-2742000,1162000,-1442000,1085000,-2844000,779000,468000,-44248000,-2281000,714000
IncomeEBIT_yy,,,,,16.37,20.53,-59.63,-79.70,-102.23,-126.41,-68.36,-51.42,535.64,118.17,-26.35,43.98,0.99,-666.08,-133.88,-151.04,-122.89,-6.69,324.32,-25.07,286.43,-3.72,-32.96,132.45,-4178.16,19.80,-8.34
IncomeEBIT_sy,,,,,14.26,-20.84,-32.22,11.28,5.38,-37.86,44.73,23.20,56.58,43.53,18.28,25.63,2.49,7.90,18.17,-20.51,1.70,-6.69,1.99,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,-64.84,107.10,-2.12,63.26,-63.58,-30.63,-50.78,-117.89,-332.18,183.11,-24.42,60.48,-81.97,236.78,47.74,12.57,-201.06,79.84,-122.59,49.52,-371.13,142.38,-224.10,175.24,-362.12,127.39,-39.92,-9554.70,94.84,131.30
IncomeEBIT_sq,,-90.49,128.60,-18.30,85.04,-75.32,61.87,-41.69,15.36,-82.45,170.59,-20.77,92.09,-77.30,150.53,-11.81,55.25,-78.59,118.91,-52.22,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,1030000,96000,97000,78000,83000,134000,40000,89000,101000,159000,127000,164000,107000,156000,88000,73000,65000,38000,30000,26000,29000,20000,19000,65000,26000,28000,18000,112000,132000,28000,15000
IncomeFinanceIncome_yy,,,,,-91.94,39.58,-58.76,14.10,21.69,18.66,217.50,84.27,5.94,-1.89,-30.71,-55.49,-39.25,-75.64,-65.91,-64.38,-55.38,-47.37,-36.67,150.00,-10.34,40.00,-5.26,72.31,407.69,,-16.67
