,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3476000,15472000,9401000,11291000,8000000,36126000,15668000,27709000,11065000,39840000,16409000,21442000,10116000,37697000,21198000,36630000,24010000,62304000,24564000,41628000,38694000,66078000,46594000,51668000,32744000,76076000,37606000,73257000,40624000,107747000,61034000,81941000,52407000,128267000,77970000,111321000,66396000,160814000,90700000,148987000,81796000,224326000,134674000,161845000,109501000,302446000,125050000,227232000
IncomeRevenues_yy,,,,,130.15,133.49,66.66,145.41,38.31,10.28,4.73,-22.62,-8.58,-5.38,29.19,70.83,137.35,65.28,15.88,13.64,61.16,6.06,89.68,24.12,-15.38,15.13,-19.29,41.78,24.07,41.63,62.30,11.85,29.01,19.04,27.75,35.86,26.69,25.37,16.33,33.84,23.19,39.49,48.48,8.63,33.87,34.82,-7.15,40.40
IncomeRevenues_sy,,,,,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,345.11,-39.24,20.10,-29.15,351.58,-56.63,76.85,-60.07,260.05,-58.81,30.67,-52.82,272.65,-43.77,72.80,-34.45,159.49,-60.57,69.47,-7.05,70.77,-29.49,10.89,-36.63,132.34,-50.57,94.80,-44.55,165.23,-43.35,34.25,-36.04,144.75,-39.21,42.77,-40.36,142.20,-43.60,64.26,-45.10,174.25,-39.97,20.18,-32.34,176.20,-58.65,81.71
IncomeRevenues_sq,,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,2908000,13158000,7890000,9606000,6535000,29232000,12137000,22639000,9357000,33366000,14292000,18337000,8798000,31771000,17844000,29847000,19582000,49201000,19957000,33026000,33835000,52123000,40464000,41373000,28124000,63550000,31550000,62501000,34979000,90456000,51840000,67609000,44241000,107061000,66901000,89982000,55355000,132006000,77909000,119143000,67063000,186185000,112138000,125212000,92086000,247610000,104457000,174631000
IncomeCostOfSales_yy,,,,,124.72,122.16,53.83,135.68,43.18,14.14,17.76,-19.00,-5.97,-4.78,24.85,62.77,122.57,54.86,11.84,10.65,72.79,5.94,102.76,25.27,-16.88,21.92,-22.03,51.07,24.37,42.34,64.31,8.17,26.48,18.36,29.05,33.09,25.12,23.30,16.45,32.41,21.15,41.04,43.93,5.09,37.31,32.99,-6.85,39.47
IncomeCostOfSales_sy,,,,,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,5.12,-4.76,11.60,0.45,9.09,7.75,-6.46,16.39,8.54,17.02,26.60,19.62,-1.86,9.30,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,352.48,-40.04,21.75,-31.97,347.31,-58.48,86.53,-58.67,256.59,-57.17,28.30,-52.02,261.12,-43.84,67.27,-34.39,151.26,-59.44,65.49,2.45,54.05,-22.37,2.25,-32.02,125.96,-50.35,98.10,-44.03,158.60,-42.69,30.42,-34.56,141.99,-37.51,34.50,-38.48,138.47,-40.98,52.93,-43.71,177.63,-39.77,11.66,-26.46,168.89,-57.81,67.18
IncomeCostOfSales_sq,,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,-4.50,5.79,14.58,-7.14,-5.22,-5.69,7.60,14.72,-4.62,2.07,17.66,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
