,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,59216000,72541000,74680000,76953000,71384000,78861000,76359000,95757000,87390000,111341000,101422000,110160000,80715000,122070000,123310000,137282000,105560000,10577000,37875000,-60211000,13579000,11858000
IncomeRevenues_yy,,,,,20.55,8.71,2.25,24.44,22.42,41.19,32.82,15.04,-7.64,9.64,21.58,24.62,30.78,-91.34,-69.28,-143.86,-87.14,12.11
IncomeRevenues_sy,,,,,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,22.50,2.95,3.04,-7.24,10.47,-3.17,25.40,-8.74,27.41,-8.91,8.62,-26.73,51.24,1.02,11.33,-23.11,-89.98,258.09,-258.97,122.55,-12.67
IncomeRevenues_sq,,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,51586000,53144000,60024000,65679000,56961000,65965000,61730000,79340000,72772000,94053000,87844000,96157000,65025000,101464000,108486000,124292000,92213000,123303000,89234000,43568000,15542000,11568000
IncomeCostOfSales_yy,,,,,10.42,24.13,2.84,20.80,27.76,42.58,42.30,21.20,-10.65,7.88,23.50,29.26,41.81,21.52,-17.75,-64.95,-83.15,-90.62
IncomeCostOfSales_sy,,,,,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,3.02,12.95,9.42,-13.27,15.81,-6.42,28.53,-8.28,29.24,-6.60,9.46,-32.38,56.04,6.92,14.57,-25.81,33.72,-27.63,-51.18,-64.33,-25.57
IncomeCostOfSales_sq,,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
IncomeDistributionExpenses,653000,605000,478000,567000,678000,342000,381000,460000,436000,629000,410000,401000,323000,571000,564000,498000,281000,527000,71000,28000,124000,140000
IncomeDistributionExpenses_yy,,,,,3.83,-43.47,-20.29,-18.87,-35.69,83.92,7.61,-12.83,-25.92,-9.22,37.56,24.19,-13.00,-7.71,-87.41,-94.38,-55.87,-73.43
IncomeDistributionExpenses_sy,,,,,-7.07,-0.31,5.18,-5.34,8.26,-0.86,5.00,10.34,12.87,-2.48,8.47,5.08,2.76,8.69,2.18,1.34,-2.79,5.08
IncomeDistributionExpenses_qq,,-7.35,-20.99,18.62,19.58,-49.56,11.40,20.73,-5.22,44.27,-34.82,-2.20,-19.45,76.78,-1.23,-11.70,-43.57,87.54,-86.53,-60.56,342.86,12.90
IncomeDistributionExpenses_sq,,10.83,-5.48,7.13,-23.08,12.48,-9.02,9.28,-9.54,16.92,-1.56,17.34,-5.10,-3.52,7.40,0.24,-7.64,11.50,-4.77,-6.71,-11.33,10.25
IncomeAdministrativExpenses,6748000,6748000,6716000,8896000,7740000,7502000,7731000,8431000,7697000,8761000,8009000,10128000,8524000,9930000,10450000,10797000,8737000,9245000,8716000,4791000,6023000,5212000
IncomeAdministrativExpenses_yy,,,,,14.70,11.17,15.11,-5.23,-0.56,16.78,3.60,20.13,10.74,13.34,30.48,6.61,2.50,-6.90,-16.59,-55.63,-31.06,-43.62
IncomeAdministrativExpenses_sy,,,,,-3.46,0.31,-0.87,1.59,-0.46,1.06,1.66,5.37,4.76,3.49,2.13,-4.09,3.11,-0.09,4.20,6.74,2.94,6.37
