,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,381000,297000,319000,320000,209000,86000,77000,3000,4000,21000,0,5000,125000,540000,102000,161000,9000,-213000,8000,21000,23000,-11000,313000,-1000,193000,45000,511000,137000,8000,-26000,13000,5945000,30000,-28000,224000,1093000,374000,264000,7000,12000
IncomeRevenues_yy,,,,,-45.14,-71.16,-75.81,-99.11,-97.98,-75.20,-100.00,76.06,2862.09,2442.37,,3120.00,-92.80,-139.44,-92.19,-86.96,159.01,94.65,3826.87,-105.91,729.99,491.74,63.14,11108.46,-96.09,-157.51,-97.53,4251.82,299.47,-8.02,1679.50,-81.62,1136.49,1051.46,-96.97,-98.93
IncomeRevenues_sy,,,,,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,-22.05,7.41,0.31,-34.69,-59.02,-9.91,-96.32,48.59,403.32,-100.00,,2400.00,332.00,-81.11,57.84,-94.41,-2466.67,103.74,163.43,11.04,-148.88,2846.22,-100.40,15690.57,-76.93,1043.68,-73.24,-94.46,-439.51,149.05,47110.66,-99.49,-191.81,908.01,387.55,-65.81,-29.35,-97.43,72.33
IncomeRevenues_sq,,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,581000,567000,556000,387000,338000,,,209000,,,,86000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,-41.82,-100.00,-100.00,-45.99,-100.00,,,-58.85,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,-54.95,-25.23,-48.93,-28.30,-29.70,,,58.10,,,,-13.22,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,-2.41,-1.94,-30.40,-12.66,-100.00,,,-100.00,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,-6.76,-16.70,-20.00,3.67,-21.48,,,12.29,,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-200000,-270000,-237000,-67000,-129000,-93000,-45000,-84000,-74000,-60000,-43000,-38000,-729000,230000,-128000,-216000,-311000,287000,-240000,-444000,-294000,-42000,99000,-396000,-105000,-337000,173000,-161000,-307000,-597000,-328000,-295000,-261000,-432000,-260000,475000,142000,-331000,-278000,-268000
IncomeGrossProfit_yy,,,,,35.50,65.67,81.20,-26.04,42.90,35.13,2.83,55.35,-889.68,482.57,-195.68,-472.79,57.34,24.78,-87.51,-105.55,5.62,-114.61,141.18,10.90,64.08,-704.47,75.11,59.19,-191.01,-77.06,-289.32,-82.64,14.86,27.73,20.65,261.16,154.50,23.41,-7.11,-156.30
IncomeGrossProfit_sy,,,,,-2.69,3.41,36.75,-15.27,38.20,-10.96,22.26,23.45,-8.60,-14.35,-2.05,13.02,13.36,28.19,24.65,19.37,19.34,1.44,24.22,10.62,25.91,9.79,7.26,-2.32,-6.21,-7.36,0.16,7.53,6.94,-5.60,7.65,4.09,17.09,9.52,9.67,-6.25
IncomeGrossProfit_qq,,-35.00,12.22,71.73,-92.54,28.16,51.93,-89.56,12.78,18.38,27.99,12.89,-1833.17,131.55,-155.65,-68.75,-43.98,192.28,-183.63,-84.99,33.89,85.72,335.71,-500.30,73.35,-219.88,151.31,-193.29,-90.07,-94.63,45.14,10.00,11.39,-65.21,39.77,282.78,-70.04,-332.19,15.77,3.92
IncomeGrossProfit_sq,,5.46,4.95,21.37,-23.51,-2.97,33.55,-2.02,5.60,-6.94,15.06,-2.62,-2.48,-10.19,14.53,-13.48,15.38,3.61,-10.03,4.22,-0.24,-2.35,-0.32,23.08,-3.75,-3.25,-1.99,6.65,1.16,-2.70,-2.23,-16.19,13.22,-22.60,17.71,-7.25,11.32,-24.82,31.39,-17.38
