,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,63410000,53764000,28467000,89577000,68294000,61096000,33472000,51630000,44283000,99532000,57664000,99964000,75226000,122630000,161108000,189504000,100583000,177564000,140172000,171489000,88177000,145623000,313186000,390315000,210189000,291092000,199323000,270999000,125877000,180494000,219806000,234639000,120441000,179367000,227784000,246401000,121033000,212547000,244408000,281868000,142496000,340744000
IncomeCostOfSales,57624000,53124000,16534000,78106000,59372000,51774000,25759000,43369000,34781000,79085000,41326000,81515000,56251000,106652000,143479000,176211000,88278000,168811000,134643000,166493000,70360000,132577000,300470000,379057000,193213000,270838000,183866000,256446000,109649000,163307000,203988000,220204000,103035000,165182000,195877000,238664000,99765000,191743000,222037000,262082000,123989000,315831000
IncomeDistributionExpenses,,,,373000,89000,154000,84000,84000,72000,66000,54000,2569000,1130000,1589000,1478000,1389000,815000,1044000,1037000,1070000,762000,809000,830000,873000,645000,992000,797000,976000,690000,842000,1124000,1039000,772000,1139000,939000,1136000,982000,1319000,1167000,1689000,1613000,1386000
IncomeAdministrativExpenses,1185000,1266000,2197000,2184000,4232000,-326000,2196000,2140000,2234000,3031000,3270000,5310000,4310000,4518000,3979000,5469000,5212000,4644000,3902000,5965000,5128000,5427000,5063000,6489000,5940000,5927000,6856000,6844000,6029000,6285000,9400000,8180000,9473000,9512000,8210000,9798000,10294000,10134000,9482000,9610000,10814000,11804000
IncomeGrossProfit,4601000,-626000,9736000,8914000,4601000,9494000,5433000,6037000,7196000,17350000,13014000,10570000,13535000,9871000,12172000,6435000,6278000,3065000,590000,-2039000,11927000,6810000,6823000,3896000,10391000,13335000,7804000,6733000,9509000,10060000,5294000,5216000,7161000,3534000,22758000,-3197000,9992000,9351000,11722000,8487000,6080000,11723000
IncomeOtherOperatingIncome,141000,6640000,1149000,284000,178000,206000,310000,1219000,1002000,431000,819000,1484000,683000,716000,831000,4304000,4809000,10969000,12259000,11563000,2604000,5985000,-1275000,11876000,4178000,2691000,412000,8235000,1184000,1854000,2792000,15391000,3702000,4054000,4203000,23504000,5675000,5308000,5013000,5657000,5879000,4165000
IncomeOtherOperatingCosts,150000,875000,1581000,2609000,454000,583000,655000,1098000,611000,6563000,677000,1634000,855000,1481000,1666000,3275000,4336000,4573000,8418000,7338000,5386000,1089000,1706000,7474000,5394000,1294000,2418000,8280000,1356000,1125000,1216000,14173000,3098000,2972000,4716000,13444000,6923000,3256000,4902000,-1741000,3244000,1283000
IncomeEBIT,4592000,5139000,9304000,6589000,4325000,9117000,5088000,6158000,7587000,11218000,13156000,10420000,13363000,9106000,11337000,7464000,6751000,9461000,4431000,2186000,9145000,11706000,3842000,8298000,9175000,14732000,5798000,6688000,9337000,10789000,6870000,6434000,7765000,4616000,22245000,6863000,8744000,11403000,11833000,15885000,8715000,14605000
IncomeFinanceIncome,2000,4000,0,544000,5000,18000,-16000,1000,5000,259000,27000,17000,136000,43000,692000,283000,515000,780000,1916000,-213000,98000,468000,937000,1320000,95000,746000,267000,373000,171000,2190000,345000,,,,,,,,1276000,1404000,1812000,2490000
IncomeFinanceCosts,1719000,1432000,1658000,1780000,1492000,2312000,1747000,2835000,2541000,15065000,-8985000,2453000,3576000,3385000,3285000,5805000,3426000,4498000,2493000,4103000,2976000,4799000,3127000,4424000,3017000,4860000,2746000,5329000,3057000,3638000,3766000,3271000,3588000,3159000,3603000,6105000,2989000,6519000,,,,
