,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1352000,2024000,2679000,3187000,2541000,2759000,2932000,4153000,3356000,3803000,4231000,4489000,5700000,7986000,8151000,10498000,9740000,9353000,10093000,10225000,6897000,8619000,8867000,8397000,8860000,10832000,8506000,9486000,8788000,8767000,8819000,10777000,8675000,7848000,9528000,9450000,9042000,9076000,10635000,13042000,11873000,11130000
IncomeRevenues_yy,,,,,87.94,36.31,9.44,30.31,32.07,37.84,44.30,8.09,69.85,109.99,92.65,133.86,70.88,17.12,23.83,-2.60,-29.19,-7.85,-12.15,-17.88,28.47,25.68,-4.07,12.97,-0.81,-19.07,3.69,13.61,-1.29,-10.48,8.03,-12.31,4.23,15.64,11.63,38.02,31.32,22.64
IncomeRevenues_sy,,,,,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,49.70,32.36,18.96,-20.27,8.58,6.27,41.64,-19.19,13.32,11.25,6.10,26.98,40.11,2.07,28.79,-7.22,-3.97,7.91,1.31,-32.55,24.98,2.87,-5.29,5.51,22.27,-21.48,11.52,-7.35,-0.24,0.59,22.19,-19.50,-9.53,21.40,-0.82,-4.32,0.38,17.18,22.63,-8.96,-6.26
IncomeRevenues_sq,,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
