,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,134245000,119082000,114313000,218974000,132263000,138598000,330490000,232326000,231050000,303677000,382648000,372855000,393288000,422363000,504238000,662755000,592873000,517115000,603116000,586028000,633563000,485332000,504296000,510985000,451987000,416618000,512337000,610768000,437686000,522365000,531969000,190527000,327405000,301870000,345356000,416313000,377283000,373296000,322378000,360974000,327408000,266159000,244903000,142190000,200769000,226321000,194184000,155900000,249031000,-109426000,446258000,163553000,171340000,-24837000
IncomeRevenues_yy,,,,,-1.48,16.39,189.11,6.10,74.69,119.11,15.78,60.49,70.22,39.08,31.78,77.75,50.75,22.43,19.61,-11.58,6.86,-6.15,-16.38,-12.81,-28.66,-14.16,1.59,19.53,-3.16,25.38,3.83,-68.81,-25.20,-42.21,-35.08,118.51,15.23,23.66,-6.65,-13.29,-13.22,-28.70,-24.03,-60.61,-38.68,-14.97,-20.71,9.64,24.04,-148.35,129.81,4.91,-31.20,77.30
IncomeRevenues_sy,,,,,14.30,14.00,44.71,19.53,45.93,23.82,20.41,10.16,3.92,7.02,6.25,3.38,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,-11.30,-4.00,91.56,-39.60,4.79,138.45,-29.70,-0.55,31.43,26.00,-2.56,5.48,7.39,19.38,31.44,-10.54,-12.78,16.63,-2.83,8.11,-23.40,3.91,1.33,-11.55,-7.83,22.98,19.21,-28.34,19.35,1.84,-64.18,71.84,-7.80,14.41,20.55,-9.38,-1.06,-13.64,11.97,-9.30,-18.71,-7.99,-41.94,41.20,12.73,-14.20,-19.72,59.74,-143.94,507.82,-63.35,4.76,-114.50
IncomeRevenues_sq,,25.77,18.30,8.95,-19.46,15.56,12.64,12.57,-14.78,10.13,11.02,2.37,-16.20,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,122295000,102833000,102010000,186216000,114062000,120005000,242348000,186936000,184006000,248453000,312927000,331563000,333300000,358795000,396418000,550274000,485321000,423294000,508426000,540287000,532111000,409360000,437964000,433965000,361917000,327723000,427638000,482106000,351566000,427227000,430801000,115814000,283233000,258802000,268601000,345469000,301329000,299118000,246496000,308677000,280900000,235099000,219785000,177181000,178102000,232040000,178583000,196823000,213850000,-85865000,351722000,132427000,132091000,-1974000
IncomeCostOfSales_yy,,,,,-6.73,16.70,137.57,0.39,61.32,107.04,29.12,77.37,81.14,44.41,26.68,65.96,45.61,17.98,28.26,-1.81,9.64,-3.29,-13.86,-19.68,-31.98,-19.94,-2.36,11.09,-2.86,30.36,0.74,-75.98,-19.44,-39.42,-37.65,198.30,6.39,15.58,-8.23,-10.65,-6.78,-21.40,-10.84,-42.60,-36.60,-1.30,-18.75,11.09,20.07,-137.00,96.95,-32.72,-38.23,97.70
IncomeCostOfSales_sy,,,,,14.68,15.47,13.35,19.38,30.04,28.05,21.04,7.06,1.63,-2.69,6.98,-8.39,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,-15.91,-0.80,82.55,-38.75,5.21,101.95,-22.86,-1.57,35.02,25.95,5.96,0.52,7.65,10.49,38.81,-11.80,-12.78,20.11,6.27,-1.51,-23.07,6.99,-0.91,-16.60,-9.45,30.49,12.74,-27.08,21.52,0.84,-73.12,144.56,-8.63,3.79,28.62,-12.78,-0.73,-17.59,25.23,-9.00,-16.31,-6.51,-19.38,0.52,30.28,-23.04,10.21,8.65,-140.15,509.62,-62.35,-0.25,-101.49
IncomeCostOfSales_sq,,22.87,16.46,7.16,-19.60,11.68,19.03,11.69,-17.73,0.69,10.67,3.32,-21.05,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,4302000,5301000,4098000,6875000,4138000,4552000,5403000,8883000,6302000,8072000,17558000,12121000,6880000,2661000,18274000,2684000,9428000,8340000,8976000,19323000,17120000,11919000,7846000,4341000,9587000,9726000,8953000,19830000,13353000,7646000,12164000,14594000,6897000,7231000,12677000,10331000,10605000,14657000,9269000,5096000,9321000,8719000,8092000,16233000,6512000,5043000,6767000,7443000,5122000,-3825000,15820000,7414000,1001000,2000
IncomeDistributionExpenses_yy,,,,,-3.81,-14.13,31.84,29.21,52.30,77.33,224.97,36.45,9.17,-67.03,4.08,-77.86,37.03,213.42,-50.88,619.93,81.59,42.91,-12.59,-77.53,-44.00,-18.40,14.11,356.81,39.28,-21.39,35.87,-26.40,-48.35,-5.43,4.22,-29.21,53.76,102.70,-26.88,-50.67,-12.11,-40.51,-12.70,218.54,-30.14,-42.16,-16.37,-54.15,-21.35,-175.85,133.78,-0.39,-80.46,100.05
IncomeDistributionExpenses_sy,,,,,37.15,28.12,30.34,35.61,7.56,27.96,17.02,5.74,10.02,16.51,13.69,3.26,2.16,-8.43,-9.86,-11.78,-16.77,16.64,8.27,16.22,16.28,19.40,22.34,5.86,15.78,-0.35,-0.12,-7.46,-6.56,13.01,3.77,10.07,6.53,4.85,9.72,-6.77,6.80,3.87,1.68,14.01,9.27,7.79,4.00,6.12,5.62,5.11,9.20,9.83,-1.76,7.77
IncomeDistributionExpenses_qq,,23.22,-22.69,67.76,-39.81,10.00,18.70,64.41,-29.06,28.09,117.52,-30.97,-43.24,-61.32,586.73,-85.31,251.27,-11.54,7.63,115.27,-11.40,-30.38,-34.17,-44.67,120.85,1.45,-7.95,121.49,-32.66,-42.74,59.09,19.98,-52.74,4.84,75.31,-18.51,2.65,38.21,-36.76,-45.02,82.91,-6.46,-7.19,100.61,-59.88,-22.56,34.19,9.99,-31.18,-174.68,513.59,-53.14,-86.50,-99.80
IncomeDistributionExpenses_sq,,23.22,20.55,22.66,-23.88,6.73,19.30,30.83,-20.47,11.52,-3.61,16.04,-15.51,3.62,-1.58,6.38,-15.78,-9.63,7.62,12.40,-14.38,8.86,-1.74,21.97,-22.14,12.26,-1.00,13.29,-17.84,5.35,-4.07,20.12,-22.53,4.84,2.78,15.00,-18.02,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30,-16.42,14.34,-3.04,14.18,-5.51,8.28,2.12,11.22,-15.93,10.61
IncomeAdministrativExpenses,6722000,9349000,9778000,9352000,9609000,9741000,34609000,19497000,19746000,21989000,24034000,29027000,31851000,34787000,49719000,36566000,41081000,43297000,41155000,48310000,42689000,50801000,42840000,38530000,38766000,38547000,38760000,53856000,29436000,32260000,32801000,21554000,30568000,33473000,30810000,29722000,34882000,27169000,24116000,28280000,24010000,17066000,19175000,14504000,18071000,16061000,13483000,19287000,17432000,-9602000,45864000,17865000,17229000,-10081000
IncomeAdministrativExpenses_yy,,,,,42.95,4.19,253.95,108.48,105.49,125.74,-30.56,48.88,61.30,58.20,106.87,25.97,28.98,24.46,-17.22,32.12,3.91,17.33,4.09,-20.24,-9.19,-24.12,-9.52,39.78,-24.07,-16.31,-15.37,-59.98,3.85,3.76,-6.07,37.90,14.11,-18.83,-21.73,-4.85,-31.17,-37.19,-20.49,-48.71,-24.74,-5.89,-29.68,32.98,-3.54,-159.78,240.16,-7.37,-1.16,-4.99
IncomeAdministrativExpenses_sy,,,,,17.14,4.36,9.60,10.16,15.82,12.04,9.84,12.01,2.26,17.03,12.71,7.54,7.89,2.90,-6.50,1.60,-0.44,4.25,14.36,7.86,3.60,10.38,8.99,8.16,12.65,7.17,2.88,4.14,2.43,3.84,1.28,-5.29,1.91,2.76,1.67,5.18,8.60,7.35,3.04,2.56,4.65,-0.67,-0.45,7.89,1.59,5.14,6.80,0.26,4.82,2.66
IncomeAdministrativExpenses_qq,,39.08,4.59,-4.36,2.75,1.37,255.29,-43.66,1.28,11.36,9.30,20.77,9.73,9.22,42.92,-26.45,12.35,5.39,-4.95,17.39,-11.64,19.00,-15.67,-10.06,0.61,-0.56,0.55,38.95,-45.34,9.59,1.68,-34.29,41.82,9.50,-7.96,-3.53,17.36,-22.11,-11.24,17.27,-15.10,-28.92,12.36,-24.36,24.59,-11.12,-16.05,43.05,-9.62,-155.08,577.65,-61.05,-3.56,-158.51
IncomeAdministrativExpenses_sq,,14.94,6.93,5.65,-12.32,4.12,3.93,17.62,-1.52,0.82,6.12,12.63,-7.35,8.83,-3.20,15.08,-9.28,3.90,-5.96,13.06,-6.44,4.19,-1.08,18.40,-12.36,4.17,0.55,15.25,-13.20,4.69,-2.63,15.55,-12.98,6.28,-7.94,6.96,-1.97,3.81,-5.00,15.10,-9.02,1.72,-7.65,12.99,-6.98,2.35,-3.96,11.40,-6.59,5.18,-2.01,14.33,-10.08,4.80
IncomeGrossProfit,926000,1599000,-1573000,16531000,4454000,4300000,48130000,17010000,20996000,25163000,28129000,144000,21257000,26120000,39827000,73231000,57043000,42184000,44559000,-21892000,41643000,13252000,15646000,34149000,41717000,40622000,36986000,54976000,43331000,55232000,56203000,38565000,6707000,2364000,33268000,30791000,30467000,32352000,42497000,18921000,13177000,5275000,-2149000,-65728000,-1916000,-26823000,-4649000,-67653000,12627000,-10134000,32852000,5847000,21019000,-12784000
IncomeGrossProfit_yy,,,,,380.99,168.92,3159.76,2.90,371.40,485.19,-41.56,-99.15,1.24,3.80,41.59,50754.86,168.35,61.50,11.88,-129.89,-27.00,-68.59,-64.89,255.99,0.18,206.53,136.39,60.99,3.87,35.97,51.96,-29.85,-84.52,-95.72,-40.81,-20.16,354.26,1268.53,27.74,-38.55,-56.75,-83.69,-105.06,-447.38,-114.54,-608.49,-116.33,-2.93,759.03,62.22,806.65,108.64,66.46,-26.15
IncomeGrossProfit_sy,,,,,13.26,31.83,40.69,3.00,18.81,-4.38,23.32,2.56,-24.59,-5.60,-3.81,53.21,32.18,-20.50,-16.03,-23.77,-56.01,7.22,7.82,60.83,57.16,63.32,74.47,26.12,64.07,45.67,9.80,-14.44,-35.45,-6.96,-8.48,0.95,23.94,21.77,27.74,6.79,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
IncomeGrossProfit_qq,,72.68,-198.37,1150.92,-73.06,-3.46,1019.30,-64.66,23.43,19.85,11.79,-99.49,14661.81,22.88,52.48,83.87,-22.11,-26.05,5.63,-149.13,290.22,-68.18,18.07,118.26,22.16,-2.62,-8.95,48.64,-21.18,27.47,1.76,-31.38,-82.61,-64.75,1307.28,-7.45,-1.05,6.19,31.36,-55.48,-30.36,-59.97,-140.74,-2958.54,97.08,-1299.95,82.67,-1355.22,118.66,-180.26,424.18,-82.20,259.48,-160.82
