,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,29184000,25166000,46158000,43942000,48489000,47962000,43685000,38535000,39403000,39499000,45049000,45664000,56570000,45480000,56108000,57751000,57860000,54567000,51985000,47614000,51768000,70132000,39764000,42785000,33539000,36890000,40616000,40899000,49173000,34630000,46638000
IncomeCostOfSales,24867000,19780000,32509000,28819000,34634000,32656000,27155000,25429000,29963000,28179000,31481000,33294000,41069000,36892000,38905000,43250000,44324000,42493000,36771000,38903000,43957000,59661000,34028000,48495000,49876000,34168000,36581000,36563000,43923000,32402000,37290000
IncomeDistributionExpenses,106000,136000,283000,15000,1430000,13000,1576000,17000,624000,10000,11000,12000,19000,119000,94000,50000,71000,42000,62000,34000,58000,125000,-26000,74000,79000,561000,655000,683000,702000,653000,802000
IncomeAdministrativExpenses,4452000,4089000,3852000,4218000,4824000,4177000,4128000,4201000,4627000,4135000,4183000,4615000,4988000,7673000,7377000,7147000,7536000,7254000,7007000,6455000,7302000,8465000,4820000,6257000,7249000,4457000,4138000,4645000,4990000,4401000,4839000
IncomeGrossProfit,-241000,1161000,9514000,10890000,7601000,11116000,10826000,8888000,4189000,7175000,9374000,7743000,10493000,796000,9732000,7304000,5930000,4778000,8145000,2222000,451000,1881000,942000,-12041000,-23665000,-2296000,-758000,-992000,-441000,-2826000,3707000
IncomeOtherOperatingIncome,-1033000,405000,166000,164000,532000,319000,-8000,187000,843000,1451000,607000,227000,-250000,8547000,629000,519000,732000,350000,1297000,2673000,-828000,1888000,3538000,2869000,-26167000,2888000,591000,213000,2424000,647000,2099000
IncomeOtherOperatingCosts,817000,303000,647000,-315000,1936000,946000,1224000,1871000,-446000,112000,258000,199000,947000,206000,1486000,861000,758000,118000,2097000,469000,69000,1025000,60000,8993000,2121000,1520000,667000,178000,5499000,473000,447000
IncomeEBIT,-2091000,1263000,9033000,11369000,6197000,10489000,9594000,7204000,5478000,8514000,9723000,7771000,9296000,9137000,8875000,6962000,5904000,5010000,7345000,4426000,-446000,2744000,4420000,-18165000,-51953000,-928000,-834000,-957000,-3516000,-2652000,5359000
IncomeFinanceIncome,162000,603000,73000,929000,10078000,2194000,449000,2335000,2080000,607000,1994000,1718000,-94000,2972000,1291000,1166000,-214000,3560000,70000,6000,-159000,1095000,-617000,1404000,-1344000,19612000,-47000,-116000,1036000,942000,1041000
IncomeFinanceCosts,709000,1104000,110000,5098000,817000,2910000,-726000,-240000,919000,1246000,2223000,-608000,-304000,2610000,1850000,1168000,1333000,1793000,-185000,377000,539000,2125000,1335000,-167000,155000,1436000,443000,-48000,831000,554000,1508000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589000
IncomeNetGrossProfit,-2638000,762000,8996000,7200000,15458000,9773000,10769000,9779000,6639000,7875000,9494000,10097000,9506000,9499000,8316000,6960000,4357000,6777000,7600000,4055000,-1144000,1714000,2468000,-16594000,-53452000,17248000,-1324000,-1025000,-3311000,-2264000,5481000
