,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,1955000,6798000,6070000,16203000,3705000,13143000,9023000,19206000,6946000,9205000,16424000,28877000,11899000,10469000,24002000,31005000,8835000,18623000,20653000,29939000,10077000,6973000,40936000,25612000,7891000,12622000,14722000,14198000,7760000,9630000,11515000,34031000
IncomeCostOfSales,,,,28958000,18076000,9346000,,,,,28221000,29105000,6370000,14956000,17261000,24026000,8463000,6313000,36263000,22720000,5755000,10013000,11508000,11675000,5785000,6597000,8851000,27168000,,,,
IncomeDistributionExpenses,,,,,,,,,,635000,8707000,-5723000,905000,1074000,1096000,1150000,851000,1585000,872000,1065000,978000,1008000,1102000,960000,772000,1180000,933000,1243000,,,,
IncomeAdministrativExpenses,,,,,,,,,,,3983000,2269000,1299000,1676000,1184000,2209000,1585000,1616000,1646000,1539000,1508000,1965000,1926000,1590000,1723000,1794000,1482000,1833000,-1125000,-450000,-148000,3791000
IncomeGrossProfit,-843000,-385000,-323000,1333000,-2002000,-650000,-144000,3255000,560000,911000,3355000,5354000,262000,918000,1113000,2555000,-823000,-2540000,2155000,289000,-349000,-363000,186000,-27000,-519000,58000,249000,3787000,,,,299000
IncomeOtherOperatingIncome,4000,4000,106000,5000,39000,9000,14000,130000,380000,33000,-328000,83000,10000,191000,158000,-449000,9000,-87000,31000,396000,385000,712000,433000,1150000,760000,439000,406000,257000,,,,97000
IncomeOtherOperatingCosts,32000,126000,33000,79000,72000,29000,135000,242000,348000,12000,,,,,,,,,,,,,,,,,,2270000,-871000,-507000,-250000,1259000
IncomeEBIT,-2034000,-671000,-266000,3143000,592000,931000,3388000,5437000,272000,1109000,1271000,2105000,-814000,-2627000,2187000,685000,36000,349000,620000,1123000,241000,497000,654000,4044000,,,,50000,4000,2000,26000,11000
IncomeFinanceIncome,282000,49000,-2000,-74000,44000,29000,95000,-30000,120000,54000,74000,77000,43000,5000,2000,46000,11000,182000,-93000,52000,2000,0,0,19000,,,,924000,548000,53000,113000,644000
IncomeFinanceCosts,245000,235000,241000,348000,215000,560000,295000,208000,154000,336000,235000,166000,255000,166000,147000,137000,147000,39000,87000,53000,81000,54000,99000,50000,,,,-5000,-2000,-2000,-2000,-3000
IncomeOtherIncome,-2000,-2000,-2000,-2000,-320000,370000,,-3000,0,0,0,-1000,0,0,0,-3000,-9000,-5000,-73000,-1074000,-447000,-115000,3027000,-1417000,-560000,-339000,623000,-1999000,-860000,-512000,2718000,101000
IncomeNetGrossProfit,770000,3139000,5200000,238000,827000,1110000,2014000,-1026000,-2788000,2041000,593000,-99000,493000,439000,1119000,162000,434000,551000,3939000,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,-1074000,-447000,-115000,3027000,-1417000,-560000,-339000,623000,-1999000,-860000,-512000,2718000,101000
IncomeBeforeTaxProfit,770000,3139000,5200000,238000,827000,1110000,2014000,-1026000,-2788000,2041000,593000,-99000,493000,439000,1119000,162000,434000,551000,3939000,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,-1074000,-447000,-115000,2700000,-1417000,-560000,-339000,895000,-1944000,-869000,-646000,2815000,280000
IncomeNetProfit,607000,2811000,3996000,77000,1049000,847000,1111000,-1024000,-2897000,2452000,205000,-270000,-301000,395000,1258000,256000,229000,486000,3113000,-1074000,-447000,-115000,2700000,-1417000,-560000,-339000,895000,-1944000,-869000,-646000,2815000,280000
IncomeShareholderNetProfit,606000,2811000,3996000,77000,1049000,847000,1111000,-1024000,-2897000,2452000,205000,-270000,-301000,395000,1258000,256000,229000,486000,3113000,,,,,,,,,,,,,
BalanceNoncurrentAssets,,,,4048000,3964000,20274000,21062000,24297000,22628000,22661000,24002000,23654000,23753000,28044000,39063000,43799000,49641000,50074000,50751000,53374000,56310000,58123000,59214000,62125000,63933000,64092000,64603000,66519000,68328000,69839000,71610000,72319000
BalanceIntangibleAssets,,,,1748000,1721000,2323000,2438000,2559000,2458000,2757000,2743000,2696000,2703000,2668000,3006000,3088000,4256000,5060000,6530000,10977000,14266000,16734000,18942000,21424000,24021000,25412000,26270000,28692000,31383000,32328000,34568000,36661000
BalanceProperty,,,,2240000,2183000,17893000,18561000,19582000,19047000,18789000,18782000,18913000,19482000,23875000,34721000,39394000,44315000,43722000,43027000,41953000,40884000,40233000,38621000,37624000,36949000,36389000,36008000,35018000,34599000,34440000,33818000,33056000
