,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4109000,6527000,1464000,3294000,1762000,5132000,3482000,3364000,2511000,6443000,3504000,5377000,4666000,6534000,4890000,6194000,5637000,10518000,8412000,8789000,4650000,12893000,13093000,16779000,16127000,21580000,13502000,15576000,18745000,23722000,11905000,16766000,15739000,22856000,11941000,18253000,17951000,26892000,16466000,21178000
IncomeCostOfSales,3492000,6208000,2077000,2715000,1934000,5620000,7692000,18041000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618000,318000,-613000,579000,-172000
IncomeGrossProfit,-488000,-395000,-451000,-980000,-414000,-226000,-422000,-401000,143000,100000,543000,291000,978000,236000,992000,468000,1451000,957000,615000,992000,2400000,988000,1311000,599000,3094000,515000,1914000,1238000,2143000,25000,1107000,712000,2751000,-1029000,300000,0,8000,21000,92000,6000
IncomeOtherOperatingIncome,6000,40000,3000,-25000,0,0,1000,9000,81000,84000,22000,362000,79000,36000,33000,231000,253000,54000,190000,77000,168000,152000,343000,63000,151000,132000,153000,177000,123000,172000,223000,272000,199000,328000,,127000,,,283000,5000
IncomeOtherOperatingCosts,-4000,0,63000,5000,3000,5000,320000,94000,115000,26000,28000,27000,29000,23000,107000,90000,25000,150000,213000,9000,58000,31000,118000,13000,17000,119000,100000,2000,402000,3000,356000,9000,47000,618000,199000,-613000,600000,-80000,-765000,-394000
IncomeEBIT,-407000,-977000,-502000,-230000,-425000,-405000,-168000,87000,511000,287000,1312000,288000,999000,477000,1575000,1120000,644000,1032000,2264000,1147000,1405000,911000,3039000,653000,2029000,1272000,2220000,146000,877000,932000,2667000,-839000,581000,25000,33000,24000,23000,4000,35000,18000
IncomeFinanceIncome,22000,28000,-18000,2000,2000,3000,36000,0,4000,4000,5000,6000,6000,4000,57000,19000,2000,53000,79000,54000,37000,23000,16000,17000,43000,-9000,35000,11000,3000,2000,2000,8000,42000,2000,13000,2000,2000,18000,62000,11000
IncomeFinanceCosts,18000,39000,7000,17000,18000,39000,83000,7000,12000,8000,47000,9000,5000,25000,-30000,28000,15000,39000,36000,70000,47000,46000,44000,28000,27000,28000,13000,62000,143000,56000,84000,55000,40000,,280000,,,-17000,-125000,42000
IncomeOtherIncome,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-25000,-22000,-24000,2000,1000,4000,,,,,,,,641000,499000,-591000,621000,-94000,-792000,-404000,-385000,-1112000,-486000,-270000,-466000,-466000,-240000,56000,479000,257000,1246000
IncomeNetGrossProfit,260000,975000,434000,1638000,1111000,631000,1046000,2307000,1133000,1396000,892000,3004000,642000,2045000,1235000,2242000,95000,737000,878000,2585000,-886000,583000,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,641000,499000,-591000,621000,-94000,-792000,-404000,-385000,-1112000,-486000,-270000,-466000,-466000,-240000,56000,479000,257000,1246000
IncomeBeforeTaxProfit,260000,975000,434000,1638000,1111000,631000,1046000,2307000,1133000,1396000,892000,3004000,642000,2045000,1235000,2242000,95000,737000,878000,2585000,-886000,583000,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,-443000,,,,,629000,155000,-591000,612000,-85000,-686000,-404000,-385000,-1112000,-42000,-270000,-466000,-466000,-275000,56000,479000,257000,1018000,260000,859000
IncomeNetProfit,439000,1348000,1304000,459000,679000,2115000,766000,1130000,703000,2409000,467000,1651000,987000,1261000,16000,595000,572000,2181000,-701000,257000,629000,156000,-591000,611000,-84000,-687000,-365000,-374000,-942000,-21000,-212000,-341000,-354000,-335000,43000,405000,198000,1015000,231000,732000
IncomeShareholderNetProfit,399000,809000,806000,419000,373000,1323000,590000,743000,314000,1874000,324000,1174000,445000,890000,11000,107000,508000,1426000,-408000,33000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,343000,503000,506000,357000,329000,371000,1710000,1773000,1720000,2008000,1952000,1851000,1780000,1647000,1622000,1548000,1509000,1366000,1331000,1289000,1173000,1558000,10111000,11472000,13946000,15090000,14800000,15791000,15991000,16673000,16209000,15808000,15688000,15672000,18699000,19716000,22517000,22659000,22309000,143000
BalanceIntangibleAssets,314000,309000,180000,166000,154000,1168000,1166000,1124000,1031000,1033000,991000,953000,900000,879000,841000,813000,798000,768000,737000,629000,859000,9106000,9480000,12006000,12812000,12596000,14072000,14151000,14360000,14127000,13887000,13775000,13616000,13605000,16337000,17993000,17832000,17530000,200000,189000
BalanceProperty,197000,177000,163000,111000,436000,501000,491000,431000,373000,315000,281000,237000,232000,196000,185000,166000,161000,149000,141000,181000,353000,784000,564000,595000,930000,565000,655000,614000,620000,589000,675000,820000,1115000,2115000,2669000,2727000,2896000,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,177000,319000,206000,102000,137000,87000,87000,88000,109000,215000,209000,187000,217000,49000,32000,15000,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2780000,23000,23000,23000,23000,,,,,,106000
BalanceOtherNoncurrentAssets,106000,106000,106000,546000,546000,546000,546000,511000,511000,511000,511000,402000,403000,403000,403000,518000,475000,889000,1169000,1581000,1137000,1067000,1098000,1611000,1353000,1117000,1029000,1049000,982000,1192000,1800000,2077000,1845000,11223000,8109000,6643000,7835000,7114000,8318000,6640000
BalanceCurrentAssets,5940000,5201000,5616000,5114000,3877000,6487000,4495000,5174000,4443000,6751000,6675000,10444000,9434000,6235000,15757000,17535000,17562000,17274000,23140000,19573000,19067000,20780000,26565000,19983000,21187000,19603000,26160000,19201000,23303000,26337000,23402000,24931000,,,,,,,,
BalanceInventory,0,,0,0,481000,0,31000,147000,90000,10000,4000,207000,8000,12000,12000,12000,12000,100000,100000,,361000,,,,,,8054000,5939000,4696000,5268000,3768000,4238000,3498000,4126000,3884000,4766000,5017000,3509000,5650000,4127000
BalanceCurrentReceivables,4913000,3914000,6306000,4456000,9886000,8436000,5331000,10371000,10878000,11491000,12995000,17833000,14144000,15276000,16095000,20795000,12165000,14945000,13985000,21093000,13094000,18967000,21842000,16798000,19810000,,,,,,,,,0,,,,5000,0,
BalanceCurrentInvestments,0,0,0,0,0,7000,1500000,1548000,1578000,1608000,1517000,15000,26000,26000,23000,2000,43000,44000,1510000,2840000,2145000,1908000,2092000,2291000,3475000,3089000,1787000,1244000,763000,59000,333000,319000,336000,146000,344000,38000,2094000,426000,786000,734000
BalanceCash,5143000,6218000,4149000,1820000,3175000,2815000,1396000,3864000,5446000,6906000,5650000,4166000,3730000,4125000,1551000,3889000,5690000,2264000,329000,25000,39000,475000,1055000,605000,53000,27000,73000,87000,38000,34000,32000,33000,84000,39000,318000,114000,129000,5000,162000,231000
BalanceOtherCurrentAssets,421000,409000,899000,554000,1006000,778000,721000,324000,912000,577000,1065000,1311000,1959000,2783000,563000,870000,1347000,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,11565000,8612000,7149000,8191000,7442000,8689000,8350000,7712000,6922000,7623000,7066000,5728000,8268000,6142000,6795000,5991000,8259000,8041000,11775000,10723000,7408000,17315000,27646000
BalanceTotalAssets,29034000,31220000,38230000,34373000,34858000,36771000,43238000,36192000,36995000,35291000,41832000,37900000,43019000,48854000,46061000,47240000,5928000,5969000,5378000,5989000,5905000,4875000,4310000,4028000,3188000,2760000,2537000,2069000,2267000,1943000,2313000,2492000,2749000,3605000,3836000,3478000,3878000,4724000,13601000,14537000
BalanceCapital,14710000,16582000,15980000,16723000,17027000,18967000,19291000,18547000,18992000,19920000,19931000,20546000,21971000,21589000,20287000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,557000,806000,806000,806000
BalanceShareCapital,806000,806000,806000,806000,806000,806000,921000,921000,921000,921000,921000,921000,921000,921000,,,,,,-4000,-4000,-4000,-4000,-5000,-5000,-7000,-7000,-7000,-7000,-7000,-7000,-7000,-7000,-7000,-7000,-103000,-7000,-7000,-7000,-103000
BalanceOwnShares,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,-103000,4041000,3926000,5412000,5412000,5412000,5073000,5067000,4316000,4316000,4316000,4316000,3571000,4236000,3569000,4235000,4235000,4235000,3569000,3569000,3415000,3415000,3547000,11801000,12395000,13573000,13724000,14754000
BalanceReserve,16069000,16661000,16662000,16662000,21767000,21767000,21767000,21767000,25344000,25344000,25370000,26318000,,,,,,,,-205000,-408000,,,,,,148000,177000,305000,345000,2906000,3681000,3843000,3817000,4226000,3919000,4307000,4342000,3898000,4045000
BalanceNonshareCapital,3347000,3889000,4285000,4290000,4358000,5042000,4803000,4672000,65000,55000,46000,57000,16000,553000,506000,506000,85000,73000,51000,103000,13000,0,0,0,0,0,0,0,3000,1336000,1879000,2124000,1425000,1096000,1481000,1126000,1636000,1539000,1735000,1559000
BalanceNoncurrentLiabilities,1414000,1274000,2488000,2926000,2663000,4231000,31000,29000,20000,39000,1000,553000,506000,85000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,506000,73000,51000,103000,12000,,,,,1333000,1167000,1000000,833000,660000,495000,329000,165000,,,179000,252000,234000,1928000,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,26000,26000,18000,15000,,,
BalanceNoncurrentLeasing,,0,0,0,0,0,0,0,0,3000,3000,712000,1125000,592000,436000,986000,797000,1471000,1539000,1735000,1559000,1414000,1274000,2309000,2674000,2429000,2303000,5573000,2588000,1725000,2145000,1522000,3814000,3487000,3383000,3636000,4778000,4456000,3609000,5898000
BalanceNoncurrentOtherLiabilities,4187000,4482000,3498000,5510000,4288000,7762000,6940000,3185000,9683000,9029000,8776000,10568000,15997000,13378000,12347000,14276000,18737000,11317000,13366000,10851000,16213000,12405000,15627000,18915000,17006000,18050000,4474000,2147000,1594000,2145000,822000,1762000,2447000,2624000,1637000,4180000,2495000,2136000,4267000,2420000
BalanceCurrentLiabilities,2541000,1561000,2370000,2847000,5570000,3525000,2563000,3653000,4530000,4591000,5061000,7330000,5782000,4292000,6291000,8383000,4588000,3769000,4063000,7190000,3906000,5333000,6177000,3825000,6432000,,,,,,,,,185000,190000,419000,345000,358000,430000,25000
BalanceCurrentTradePayablesv,282000,125000,169000,168000,23000,922000,1561000,1585000,1518000,2104000,1818000,1474000,1425000,1067000,4250000,1588000,857000,3541000,4769000,3332000,4265000,3995000,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
