,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,,,,,,,,,,,,,,,,,,,0,,427000,120000,85000,80000,112000,151000,103000
IncomeRevenues_yy,,,,,,,,,,,,,,,,,,,,,,,,,-73.77,25.83,21.18
IncomeRevenues_sy,,,,,,,,,,,,,,,,,,,,,,,,,13.14,7.74,14.42
IncomeRevenues_qq,,,,,,,,,,,,,,,,,,,,,,-71.90,-29.17,-5.88,40.00,34.82,-31.79
IncomeRevenues_sq,,,,,,,,,,,,,,,,,,,,,,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,,,,1398000,,,,,,,,,,,,,,,,,973000,130000,235000,42000,246000,82000,330000
IncomeCostOfSales_yy,,,,,,,,-100.00,,,,,,,,,,,,,,,,,-74.72,-36.92,40.43
IncomeCostOfSales_sy,,,,,,,,3.30,,,,,,,,,,,,,,,,,24.04,7.06,23.18
IncomeCostOfSales_qq,,,,,-100.00,,,,,,,,,,,,,,,,,-86.64,80.77,-82.13,485.71,-66.67,302.44
IncomeCostOfSales_sq,,,,,7.06,,,,,,,,,,,,,,,,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,1878000,794000,1747000,1001000,1289000,868000,746000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,-31.36,9.32,-57.30
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,10.30,-5.88,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,-57.72,120.03,-42.70,28.77,-32.66,-14.06
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,,,,,,,,,3042000,755000,868000,1349000,896000,1143000,894000,1228000,994000,1951000,2210000,3589000,3943000,4071000,3640000,4144000,4732000,4066000,3853000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,-70.55,51.39,3.00,-8.97,10.94,70.69,147.20,192.26,296.68,108.66,64.71,15.46,20.01,-0.12,5.85
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,,,,,,,,,-75.18,14.97,55.41,-33.58,27.57,-21.78,37.36,-19.06,96.28,13.28,62.40,9.86,3.25,-10.59,13.85,14.19,-14.07,-5.24
IncomeAdministrativExpenses_sq,,,,,,,,,,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,-371000,-275000,-426000,-697000,-713000,-739000,-931000,-767000,-605000,-755000,-868000,-1349000,-896000,-1143000,-894000,-1228000,-994000,-1951000,-2210000,-3589000,-6367000,-4875000,-5537000,-5107000,-6155000,-4865000,-4826000
IncomeGrossProfit_yy,,,,,-91.93,-168.59,-118.48,-10.08,15.06,-2.22,6.74,-75.83,-48.00,-51.39,-3.00,8.97,-10.94,-70.69,-147.20,-192.26,-540.54,-149.87,-150.54,-42.30,3.33,0.21,12.84
IncomeGrossProfit_sy,,,,,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,25.95,-54.91,-63.62,-2.26,-3.63,-26.01,17.57,21.09,-24.71,-14.97,-55.41,33.58,-27.57,21.78,-37.36,19.06,-96.28,-13.28,-62.40,-77.40,23.43,-13.58,7.77,-20.52,20.96,0.80
IncomeGrossProfit_sq,,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,76000,,,59000,64000,68000,19000,21000,149000,105000,18000,67000,190000,0,12000,0,1000,2000,-1000,1000,-100000,-182000,207000,147000,66000,350000,98000
IncomeOtherOperatingIncome_yy,,,,,-15.46,,,-65.13,132.46,54.32,-4.37,225.65,27.89,-100.00,-33.33,-100.00,-99.47,,-108.33,,-10100.00,-9200.00,20800.00,14600.00,166.00,292.31,-52.66
IncomeOtherOperatingIncome_sy,,,,,9.68,,,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,,23.76,,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-100.00,,,8.32,6.46,-72.34,9.30,622.09,-29.32,-82.86,272.22,183.58,-100.00,,-100.00,,100.00,-150.00,200.00,-10100.00,-82.00,213.74,-28.99,-55.10,430.30,-72.00
IncomeOtherOperatingIncome_sq,,-16.80,,,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,,-27.50,,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,56000,,,,3000,,0,0,,,0,0,1000,0,12000,0,74000,2000,,,436000,694000,563000,561000,927000,486000,384000
IncomeOtherOperatingCosts_yy,,,,,-94.41,,,,-100.00,,-100.00,-100.00,,,,,7300.00,,-100.00,,489.19,34600.00,,,112.61,-29.97,-31.79
IncomeOtherOperatingCosts_sy,,,,,12.90,,,,32.30,,-14.24,6.16,,,,,-9.79,,14.00,,-10.23,-8.68,,,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,-100.00,,,,-100.00,,,-100.00,,,,,-100.00,,-100.00,,-97.30,-100.00,,,59.17,-18.88,-0.36,65.24,-47.57,-20.99
IncomeOtherOperatingCosts_sq,,-60.12,,,,-40.71,,,217.00,,,,,-72.53,,-18.58,,-63.22,8.33,,,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,-528000,,,-1339000,-652000,-671000,-912000,-747000,-457000,-650000,-850000,-1282000,-707000,-1143000,-894000,-1228000,-1067000,-1951000,-2209000,-3588000,-6903000,-5751000,-5893000,-5521000,-7016000,-5001000,-5112000
IncomeEBIT_yy,,,,,-23.53,,,44.24,29.93,3.07,6.79,-71.70,-54.75,-75.85,-5.18,4.21,-50.92,-70.69,-147.09,-192.18,-546.95,-194.77,-166.77,-53.87,-1.64,13.04,13.25
IncomeEBIT_sy,,,,,-39.60,,,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,100.00,,,51.31,-2.85,-35.99,18.12,38.81,-42.28,-30.77,-50.82,44.85,-61.67,21.78,-37.36,13.11,-82.85,-13.22,-62.43,-92.39,16.69,-2.47,6.31,-27.08,28.72,-2.22
IncomeEBIT_sq,,-35.45,,,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,0,,,145000,88000,50000,53000,28000,21000,15000,26000,42000,29000,14000,68000,66000,178000,113000,123000,83000,43000,51000,20000,93000,122000,237000,-72000
IncomeFinanceIncome_yy,,,,,,,,-80.78,-76.43,-69.87,-50.56,50.67,39.81,-6.67,161.54,57.14,513.79,707.14,80.88,25.76,-75.84,-54.87,-83.74,12.05,183.72,364.71,-460.00
IncomeFinanceIncome_sy,,,,,,,,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,,,,-39.30,-43.43,5.63,-47.00,-25.59,-27.69,73.33,61.54,-30.95,-51.72,385.71,-2.94,169.70,-36.52,8.85,-32.52,-48.19,18.60,-60.78,365.00,31.18,94.26,-130.38
IncomeFinanceIncome_sq,,,,,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,33000,,,15000,0,1000,0,0,1000,,0,0,1000,,1000,0,3000,,6000,-2000,160000,29000,546000,483000,92000,568000,7000
IncomeFinanceCosts_yy,,,,,-100.06,,,-99.98,4575.00,-100.00,100.00,-100.00,11.73,,,,200.00,,500.00,,5233.33,,9000.00,24250.00,-42.50,1858.62,-98.72
IncomeFinanceCosts_sy,,,,,-16.84,,,-26.85,-1.14,-12.66,22.17,30.90,24.32,,,,-7.74,,23.81,,-1.64,,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,-100.00,,,-100.13,5800.00,-103.33,107.89,29733.33,-100.00,,,,-100.00,,-100.00,,-100.00,,-133.33,8100.00,-81.87,1782.76,-11.54,-80.95,517.39,-98.77
IncomeFinanceCosts_sq,,-2.43,,,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,,,,-25.46,,-2.13,,-11.61,,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
