,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5102000,6016000,6625000,12050000,6001000,6078000,8312000,6980000,5820000,11398000,12413000,13705000,11152000,12713000,13655000,15261000,12849000,14315000,13477000,16564000,13938000,15071000,14499000,15199000,10530000,13809000,11642000,13623000,10850000,13106000,11169000,12301000,8760000,11750000,8869000,10107000,6958000,10983000,8814000,9083000,7216000,10123000,8995000,9315000,5929000,9152000
IncomeCostOfSales,3217000,3198000,4264000,7642000,3890000,2076000,5284000,3695000,3456000,5676000,7599000,6342000,6128000,5523000,7217000,6528000,6536000,5950000,6560000,7185000,7094000,6591000,8305000,6828000,5230000,5741000,5761000,6059000,5532000,5499000,5194000,5163000,4590000,4831000,4305000,4412000,3845000,4230000,3619000,3563000,3128000,3503000,3466000,3657000,2694000,2832000
IncomeDistributionExpenses,1530000,1589000,1970000,2295000,2785000,2484000,3003000,3895000,3895000,4930000,5213000,5881000,5800000,5623000,5740000,6072000,5922000,5967000,6162000,7110000,7576000,7463000,7524000,7561000,6816000,6642000,6666000,6394000,6356000,6297000,6028000,5804000,5675000,5806000,5729000,5768000,4856000,5420000,4550000,4865000,4169000,4668000,4533000,4791000,3810000,4127000
IncomeAdministrativExpenses,452000,732000,657000,952000,775000,903000,693000,184000,575000,762000,650000,786000,619000,693000,492000,808000,971000,801000,745000,871000,687000,720000,690000,758000,793000,680000,662000,662000,708000,623000,634000,687000,456000,478000,444000,440000,645000,130000,428000,364000,397000,468000,428000,602000,391000,442000
IncomeGrossProfit,-97000,497000,-266000,1161000,-1449000,615000,-668000,-794000,-2106000,30000,-1049000,696000,-1395000,874000,206000,1853000,-580000,1597000,10000,1398000,-1419000,297000,-2020000,52000,-2309000,746000,-1447000,508000,-1746000,687000,-687000,647000,-1961000,635000,-1609000,-513000,-2388000,1203000,217000,291000,-478000,1484000,568000,265000,-966000,1751000
IncomeOtherOperatingIncome,36000,49000,123000,379000,374000,27000,50000,118000,37000,23000,13000,46000,30000,9000,5000,112000,42000,123000,6000,931000,205000,48000,7000,8000,14000,159000,236000,144000,354000,-51000,15000,14000,58000,28000,161000,153000,19000,383000,11972000,-1625000,11000,9000,36000,673000,491000,423000
IncomeOtherOperatingCosts,12000,12000,20000,130000,15000,46000,23000,40000,50000,24000,34000,65000,85000,569000,8000,180000,230000,645000,41000,467000,62000,62000,4000,1422000,164000,66000,193000,120000,32000,161000,267000,765000,19000,80000,395000,400000,25000,156000,2046000,-1650000,24000,32000,49000,347000,14000,92000
IncomeEBIT,-73000,534000,-163000,1410000,-1090000,596000,-641000,-716000,-2119000,29000,-1070000,677000,-1450000,314000,203000,1785000,-768000,1075000,-25000,1862000,-1276000,283000,-2017000,-1362000,-2459000,839000,-1404000,532000,-1424000,475000,-939000,-104000,-1922000,583000,-1843000,-760000,-2394000,1430000,10143000,316000,-491000,1461000,555000,591000,-489000,2082000
IncomeFinanceIncome,0,1000,44000,465000,197000,441000,-123000,-149000,56000,45000,86000,472000,665000,-591000,286000,63000,13000,85000,12000,51000,497000,-236000,286000,93000,11000,28000,39000,23000,21000,22000,21000,19000,201000,-117000,-36000,17000,6000,0,0,180000,19000,-19000,67000,3000,0,50000
IncomeFinanceCosts,-3000,40000,42000,37000,26000,26000,978000,807000,-380000,-353000,59000,56000,76000,119000,112000,222000,126000,1410000,29000,127000,118000,127000,146000,342000,390000,-59000,67000,119000,82000,111000,191000,56000,59000,92000,144000,32000,285000,-97000,353000,32000,387000,32000,495000,36000,502000,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123000
IncomeNetGrossProfit,538000,-159000,1833000,-930000,1011000,-790000,-1843000,-2870000,454000,-631000,1090000,-841000,-353000,370000,1736000,-977000,1034000,-1423000,1884000,-906000,-71000,-1858000,-1415000,-2790000,477000,-1306000,488000,-1522000,415000,-1029000,-276000,-1777000,407000,-1971000,-887000,-2426000,1151000,10240000,-37000,-343000,1093000,504000,163000,-522000,1580000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123000
