,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,63281000,91645000,76502000,77047000,82514000,94319000,88649000,46527000,44606000,109176000,113852000,138075000,154750000,208889000,205636000,162919000,141784000,106425000,113335000,107360000,118582000,115338000,112560000,101531000,114087000,100849000,108296000,95798000,106529000,89643000,99172000,90782000,83558000,92666000,62046000,63802000,64837000,70541000,70712000,40948000,761000,250000,204000,21000,,
IncomeRevenues_yy,,,,,30.39,2.92,15.88,-39.61,-45.94,15.75,28.43,196.76,246.93,91.33,80.62,17.99,-8.38,-49.05,-44.89,-34.10,-16.36,8.37,-0.68,-5.43,-3.79,-12.56,-3.79,-5.65,-6.62,-11.11,-8.43,-5.24,-21.56,3.37,-37.44,-29.72,-22.40,-23.88,13.97,-35.82,-98.83,-99.65,-99.71,-99.95,-100.00,-100.00
IncomeRevenues_sy,,,,,25.98,10.96,21.63,7.02,1.02,2.46,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,44.82,-16.52,0.71,7.10,14.31,-6.01,-47.52,-4.13,144.76,4.28,21.28,12.08,34.98,-1.56,-20.77,-12.97,-24.94,6.49,-5.27,10.45,-2.74,-2.41,-9.80,12.37,-11.60,7.38,-11.54,11.20,-15.85,10.63,-8.46,-7.96,10.90,-33.04,2.83,1.62,8.80,0.24,-42.09,-98.14,-67.15,-18.40,-89.71,-100.00,
IncomeRevenues_sq,,9.46,2.44,19.62,-6.52,1.27,4.59,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,
IncomeCostOfSales,59072000,86118000,72499000,75404000,78539000,89442000,84244000,43877000,41174000,102288000,106991000,130518000,145281000,196713000,193494000,154598000,136669000,101503000,105406000,99461000,111717000,108227000,106811000,98071000,107640000,95086000,102438000,91405000,101334000,84799000,94144000,85598000,77771000,87042000,57586000,59308000,60513000,65236000,66055000,39411000,529000,0,1405000,55000,,
IncomeCostOfSales_yy,,,,,32.95,3.86,16.20,-41.81,-47.58,14.36,27.00,197.46,252.85,92.31,80.85,18.45,-5.93,-48.40,-45.52,-35.66,-18.26,6.62,1.33,-1.40,-3.65,-12.14,-4.09,-6.80,-5.86,-10.82,-8.10,-6.35,-23.25,2.65,-38.83,-30.71,-22.19,-25.05,14.71,-33.55,-99.13,-100.00,-97.87,-99.86,-100.00,
IncomeCostOfSales_sy,,,,,29.67,6.63,20.64,6.09,-9.53,-1.30,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,
IncomeCostOfSales_qq,,45.78,-15.81,4.01,4.16,13.88,-5.81,-47.92,-6.16,148.43,4.60,21.99,11.31,35.40,-1.64,-20.10,-11.60,-25.73,3.85,-5.64,12.32,-3.12,-1.31,-8.18,9.76,-11.66,7.73,-10.77,10.86,-16.32,11.02,-9.08,-9.14,11.92,-33.84,2.99,2.03,7.80,1.26,-40.34,-98.66,-100.00,,-96.09,-100.00,
IncomeCostOfSales_sq,,13.31,0.49,13.00,2.14,-0.72,0.19,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,,1.47,-2.64,
IncomeDistributionExpenses,1044000,1298000,1248000,2611000,2011000,2162000,2196000,2327000,1924000,2676000,2787000,3903000,3578000,4609000,4763000,6010000,3308000,4301000,6292000,5610000,5851000,5834000,5135000,2390000,5172000,5139000,5264000,5065000,5055000,4528000,4731000,4288000,4301000,4141000,3879000,4217000,3912000,4060000,3804000,2225000,485000,476000,,,,
IncomeDistributionExpenses_yy,,,,,92.62,66.56,75.96,-10.88,-4.33,23.77,26.91,67.73,85.97,72.23,70.90,53.98,-7.55,-6.68,32.10,-6.66,76.87,35.64,-18.39,-57.40,-11.60,-11.91,2.51,111.92,-2.26,-11.89,-10.13,-15.34,-14.92,-8.55,-18.01,-1.66,-9.04,-1.96,-1.93,-47.24,-87.60,-88.28,-100.00,-100.00,-100.00,-100.00
