,2010/Q1,2011/Q1,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10843000,12966000,38962000,48252000,26266000,28982000,42874000,53524000,30277000,32337000,39317000,68349000,36640000,39014000,53477000,85874000,43265000,48314000
IncomeRevenues_yy,,19.58,,,,,10.04,10.93,15.27,11.58,-8.30,27.70,21.02,20.65,36.01,25.64,18.08,23.84
IncomeRevenues_sy,,13.69,,,,,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,,,23.84,-45.56,10.34,47.93,24.84,-43.43,6.80,21.59,73.84,-46.39,6.48,37.07,60.58,-49.62,11.67
IncomeRevenues_sq,,,,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,4128000,5842000,18246000,19402000,10918000,11876000,20727000,22241000,12737000,13039000,17471000,31450000,16199000,16542000,23108000,38919000,17680000,18575000
IncomeCostOfSales_yy,,41.52,,,,,13.60,14.63,16.66,9.79,-15.71,41.41,27.18,26.87,32.26,23.75,9.14,12.29
IncomeCostOfSales_sy,,9.09,,,,,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,,,6.34,-43.73,8.77,74.53,7.30,-42.73,2.37,33.99,80.01,-48.49,2.12,39.69,68.42,-54.57,5.06
IncomeCostOfSales_sq,,,,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
IncomeDistributionExpenses,5295000,7518000,10719000,12365000,10572000,9851000,11609000,13935000,12597000,13403000,14922000,17927000,15508000,16123000,18997000,22973000,18956000,21019000
IncomeDistributionExpenses_yy,,41.98,,,,,8.30,12.70,19.15,36.06,28.54,28.65,23.11,20.29,27.31,28.15,22.23,30.37
IncomeDistributionExpenses_sy,,9.16,,,,,9.13,11.27,19.15,22.35,14.36,17.50,23.08,19.95,19.76,16.76,5.72,13.07
IncomeDistributionExpenses_qq,,,,15.36,-14.50,-6.82,17.85,20.04,-9.60,6.40,11.33,20.14,-13.49,3.97,17.83,20.93,-17.49,10.88
IncomeDistributionExpenses_sq,,,,9.74,-6.31,7.07,-0.89,16.72,-9.60,11.28,-0.14,15.83,-7.52,6.26,-0.54,10.14,-11.94,8.02
IncomeAdministrativExpenses,2503000,4139000,1401000,2035000,2045000,2072000,1871000,2747000,1984000,2385000,2087000,3324000,2236000,2435000,2249000,3213000,2553000,2554000
IncomeAdministrativExpenses_yy,,65.36,,,,,33.55,34.99,-2.98,15.11,11.54,21.00,12.70,2.10,7.76,-3.34,14.18,4.89
IncomeAdministrativExpenses_sy,,-7.57,,,,,14.94,8.94,7.61,10.59,0.20,14.98,12.23,12.42,6.59,-0.05,3.83,-1.75
IncomeAdministrativExpenses_qq,,,,45.25,0.49,1.32,-9.70,46.82,-27.78,20.21,-12.49,59.27,-32.73,8.90,-7.64,42.86,-20.54,0.04
IncomeAdministrativExpenses_sq,,,,10.18,-3.50,5.02,-1.14,0.44,-6.66,2.94,3.09,24.79,-10.90,16.00,-6.22,9.10,-5.88,7.89
IncomeGrossProfit,-1083000,-4533000,8596000,14450000,2731000,5183000,8667000,14601000,2959000,3510000,4837000,15648000,2697000,3914000,9123000,20769000,4076000,6166000
IncomeGrossProfit_yy,,-318.56,,,,,0.83,1.04,8.35,-32.28,-44.19,7.17,-8.85,11.51,88.61,32.73,51.13,57.54
IncomeGrossProfit_sy,,18.09,,,,,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,,,68.10,-81.10,89.78,67.22,68.47,-79.73,18.62,37.81,223.51,-82.76,45.12,133.09,127.66,-80.37,51.28
IncomeGrossProfit_sq,,,,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,136000,17000,296000,1653000,179000,528000,284000,2177000,375000,188000,209000,617000,340000,163000,148000,575000,189000,178000
IncomeOtherOperatingIncome_yy,,-87.50,,,,,-4.05,31.70,109.50,-64.39,-26.41,-71.66,-9.33,-13.30,-29.19,-6.81,-44.41,9.20
IncomeOtherOperatingIncome_sy,,-17.60,,,,,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,,,458.45,-89.17,194.97,-46.21,666.55,-82.77,-49.87,11.17,195.22,-44.89,-52.06,-9.20,288.51,-67.13,-5.82
IncomeOtherOperatingIncome_sq,,,,45.02,-48.74,4.06,-24.68,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,30000,84000,168000,1700000,260000,811000,141000,2271000,75000,52000,422000,2631000,265000,449000,1517000,742000,595000,884000
IncomeOtherOperatingCosts_yy,,180.00,,,,,-16.07,33.59,-71.15,-93.59,199.29,15.85,253.33,763.46,259.48,-71.80,124.53,96.88
IncomeOtherOperatingCosts_sy,,-6.28,,,,,-6.85,33.59,28.74,29.56,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95,22.44
IncomeOtherOperatingCosts_qq,,,,911.90,-84.71,211.92,-82.61,1510.64,-96.70,-30.67,711.54,523.46,-89.93,69.43,237.86,-51.09,-19.81,48.57
IncomeOtherOperatingCosts_sq,,,,156.19,-59.23,29.49,-17.03,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,-977000,-4600000,8724000,14403000,2650000,4900000,8810000,14507000,3259000,3646000,4624000,13634000,2772000,3628000,7754000,20602000,3670000,5460000
IncomeEBIT_yy,,-370.83,,,,,0.99,0.72,22.98,-25.59,-47.51,-6.02,-14.94,-0.49,67.69,51.11,32.40,50.50
IncomeEBIT_sy,,7.73,,,,,-20.51,1.70,-6.69,1.99,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,,,65.10,-81.60,84.91,79.80,64.67,-77.53,11.87,26.82,194.85,-79.67,30.88,113.73,165.70,-82.19,48.77
IncomeEBIT_sq,,,,55.25,-78.59,118.91,-52.22,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,37000,75000,6000,7000,171000,471000,22000,183000,119000,1279000,-573000,307000,24000,4000,-7000,1000,3000,868000
IncomeFinanceIncome_yy,,102.70,,,,,266.67,2514.29,-30.41,171.55,-2704.55,67.76,-79.83,-99.69,98.78,-99.67,-87.50,21600.00
IncomeFinanceIncome_sy,,89.67,,,,,-61.42,-79.84,-30.20,86.91,-40.89,58.97,8.86,-15.18,72.31,64.29,-27.09,-16.67
IncomeFinanceIncome_qq,,,,16.67,2342.86,175.44,-95.33,731.82,-34.97,974.79,-144.80,153.58,-92.18,-83.33,-275.00,114.29,200.00,28833.33
IncomeFinanceIncome_sq,,,,30.93,13.32,-21.47,0.40,13.24,125.00,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54,-40.83
IncomeFinanceCosts,571000,1584000,909000,1099000,441000,406000,364000,299000,1122000,-617000,160000,708000,1433000,2167000,256000,1260000,432000,66000
IncomeFinanceCosts_yy,,177.41,,,,,-59.96,-72.79,154.42,-251.97,-56.04,136.79,27.72,451.22,60.00,77.97,-69.85,-96.95
IncomeFinanceCosts_sy,,2.92,,,,,-32.18,-19.34,1.98,-17.09,-38.02,-9.24,0.86,5.73,7.46,58.11,12.50,19.89
IncomeFinanceCosts_qq,,,,20.90,-59.87,-7.94,-10.34,-17.86,275.25,-154.99,125.93,342.50,102.40,51.22,-88.19,392.19,-65.71,-84.72
IncomeFinanceCosts_sq,,,,15.00,-26.37,-10.57,8.20,46.61,14.36,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27,24.16
IncomeOtherIncome,,,,,,,,,,,,,,,,4000,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,-100.00,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,-73.20,
IncomeNetGrossProfit,-1511000,-6109000,7821000,13311000,2380000,4965000,8468000,14391000,2256000,5542000,3891000,13233000,1363000,1465000,7491000,19347000,3241000,6262000
IncomeNetGrossProfit_yy,,-304.30,,,,,8.27,8.11,-5.21,11.62,-54.05,-8.05,-39.58,-73.57,92.52,46.20,137.78,327.44
IncomeNetGrossProfit_sy,,-2.23,,,,,8.27,8.11,-9.14,13.90,-17.32,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeNetGrossProfit_qq,,,,70.20,-82.12,108.61,70.55,69.95,-84.32,145.66,-29.79,240.09,-89.70,7.48,411.33,158.27,-83.25,93.21
IncomeNetGrossProfit_sq,,,,37.46,-82.12,125.84,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-1511000,-6109000,7821000,13311000,2380000,4965000,8468000,14391000,2256000,5542000,3891000,13233000,1363000,1465000,7491000,19347000,3241000,6262000
IncomeBeforeTaxProfit_yy,,-304.30,,,,,8.27,8.11,-5.21,11.62,-54.05,-8.05,-39.58,-73.57,92.52,46.20,137.78,327.44
IncomeBeforeTaxProfit_sy,,-2.23,,,,,8.27,8.11,-9.14,13.90,-20.01,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeBeforeTaxProfit_qq,,,,70.20,-82.12,108.61,70.55,69.95,-84.32,145.66,-29.79,240.09,-89.70,7.48,411.33,158.27,-83.25,93.21
IncomeBeforeTaxProfit_sq,,,,37.46,-82.12,129.04,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-1511000,-6109000,5975000,12579000,1995000,6358000,6498000,12260000,1854000,4828000,2764000,10895000,-1461000,1676000,5819000,15834000,2678000,4914000
IncomeNetProfit_yy,,-304.30,,,,,8.75,-2.54,-7.07,-24.06,-57.46,-11.13,-178.80,-65.29,110.53,45.33,283.30,193.20
IncomeNetProfit_sy,,-3.00,,,,,8.75,-9.20,-2.36,24.68,-19.17,-3.50,-93.75,2.61,22.30,16.46,-14.01,27.94
IncomeNetProfit_qq,,,,110.53,-84.14,218.70,2.20,88.67,-84.88,160.41,-42.75,294.18,-113.41,214.72,247.20,172.11,-83.09,83.50
IncomeNetProfit_sq,,,,32.35,-84.14,177.16,-30.50,34.70,-79.16,147.44,-41.18,18.69,-87.98,145.54,-28.24,-26.81,-67.35,112.20
IncomeShareholderNetProfit,-1511000,-6109000,5975000,12579000,1995000,6358000,6498000,12260000,1854000,4828000,2764000,10895000,-1461000,1676000,5819000,15834000,2678000,4914000
IncomeShareholderNetProfit_yy,,-304.30,,,,,8.75,-2.54,-7.07,-24.06,-57.46,-11.13,-178.80,-65.29,110.53,45.33,283.30,193.20
IncomeShareholderNetProfit_sy,,-3.00,,,,,8.75,-9.20,-2.36,22.74,-19.17,-4.68,-78.45,2.61,22.30,21.35,-14.01,27.03
IncomeShareholderNetProfit_qq,,,,110.53,-84.14,218.70,2.20,88.67,-84.88,160.41,-42.75,294.18,-113.41,214.72,247.20,172.11,-83.09,83.50
IncomeShareholderNetProfit_sq,,,,32.35,-84.14,169.73,-43.90,34.70,-72.46,139.28,-41.18,14.05,-102.63,156.75,-27.60,-26.81,-71.97,122.96
BalanceNoncurrentAssets,49376000,72701000,66015000,64606000,64173000,66825000,65678000,63565000,64413000,65755000,67648000,71487000,72993000,78190000,83689000,89781000,89718000,92387000
BalanceNoncurrentAssets_yy,,47.24,,,,,-0.51,-1.61,0.37,-1.60,3.00,12.46,13.32,18.91,23.71,25.59,22.91,18.16
BalanceNoncurrentAssets_sy,,0.60,,,,,1.68,4.28,5.83,5.53,7.12,7.67,7.68,3.42,3.23,1.21,-1.09,2.59
BalanceNoncurrentAssets_qq,,,,-2.13,-0.67,4.13,-1.72,-3.22,1.33,2.08,2.88,5.67,2.11,7.12,7.03,7.28,-0.07,2.97
BalanceNoncurrentAssets_sq,,,,-0.13,0.70,0.60,0.46,3.64,0.02,0.20,1.11,1.00,0.81,-0.10,0.68,-0.22,-0.10,0.04
BalanceIntangibleAssets,21213000,22711000,29306000,29195000,28890000,28734000,28427000,28180000,28003000,27889000,27803000,27760000,28313000,28533000,28706000,28954000,28977000,29150000
BalanceIntangibleAssets_yy,,7.06,,,,,-3.00,-3.48,-3.07,-2.94,-2.20,-1.49,1.11,2.31,3.25,4.30,2.35,2.16
BalanceIntangibleAssets_sy,,-2.16,,,,,0.17,1.80,0.55,0.77,0.78,-0.03,0.31,2.31,1.30,3.71,1.48,1.42
BalanceIntangibleAssets_qq,,,,-0.38,-1.04,-0.54,-1.07,-0.87,-0.63,-0.41,-0.31,-0.15,1.99,0.78,0.61,0.86,0.08,0.60
BalanceIntangibleAssets_sq,,,,-0.27,-0.18,-0.08,-0.13,2.05,-0.02,-0.07,-0.12,0.11,-0.06,,-0.02,0.53,0.06,0.60
BalanceProperty,23421000,47260000,31558000,31155000,31110000,32512000,33044000,33740000,35127000,37131000,39002000,42627000,43090000,47833000,53020000,58873000,58856000,61531000
BalanceProperty_yy,,101.78,,,,,4.71,8.30,12.91,14.21,18.03,26.34,22.67,28.82,35.94,38.11,36.59,28.64
BalanceProperty_sy,,8.66,,,,,7.18,12.00,12.06,11.82,9.57,6.90,8.49,6.17,4.97,-1.46,-0.53,4.48
