,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,755080000,995819000,753262000,786012000,1047419000,1130378000,803163000,730604000,1012934000,1075921000,842596000,733838000,833892000,1152277000,950618000,915052000,1045506000,1414080000,986939000,833435000,1170771000,1606715000,1182710000,1239361000,1377800000,1755604000,1446422000,1541490000,1368501000,1728004000,1038949000,1101706000,1281527000,1608352000,1074396000,923629000,1085827000,1431105000,936347000,988387000,1064402000,1522276000,1144990000,1038217000,1361379000,1886149000,1718226000,1733037000
IncomeCostOfSales,716433000,943849000,719122000,752342000,998098000,1067918000,754828000,688813000,962426000,1032925000,817171000,696755000,792285000,1096208000,906268000,874829000,995021000,1349439000,932026000,793145000,1113031000,1506144000,1120409000,1182038000,1312937000,1665635000,1361050000,1456390000,1280814000,1620648000,971476000,1041149000,1208008000,1526481000,1048142000,892476000,1035437000,1360337000,886344000,932387000,999348000,1433798000,1085258000,982247000,1288436000,1793824000,1640507000,1656596000
IncomeDistributionExpenses,15596000,16520000,14695000,13969000,16444000,22253000,15823000,18083000,19294000,32408000,21668000,19424000,20165000,24045000,22913000,24706000,21543000,32140000,26431000,26620000,28935000,42721000,29329000,29107000,30515000,42576000,38567000,41121000,41719000,48379000,34511000,33288000,34477000,34336000,37895000,26215000,23574000,29190000,23097000,26012000,27201000,38048000,27118000,26857000,32637000,40690000,37741000,44589000
IncomeAdministrativExpenses,11294000,12536000,10025000,12978000,11152000,11133000,12761000,14094000,18798000,20362000,19723000,16996000,15407000,17498000,16166000,19088000,16904000,19074000,17894000,17561000,20088000,21461000,18602000,18742000,18115000,20832000,22438000,24551000,22863000,25225000,23956000,22243000,23430000,23312000,21178000,18995000,15695000,16841000,14618000,15856000,16558000,17439000,16886000,14609000,16216000,17137000,21750000,17647000
IncomeGrossProfit,11756000,22914000,9421000,6723000,21725000,29074000,19751000,9614000,12416000,-9774000,-15966000,663000,6036000,14525000,5270000,-3571000,12039000,13427000,10589000,-3891000,8717000,36388000,14370000,9474000,16233000,26560000,24368000,19429000,23105000,33752000,9006000,5026000,15612000,24222000,-32819000,-14057000,11121000,24736000,12288000,14132000,21296000,32992000,15729000,14504000,24090000,34498000,18228000,14205000
IncomeOtherOperatingIncome,38000,780000,67000,271000,80000,455000,178000,227000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11794000,23694000,9487000,6994000
IncomeEBIT,21805000,29529000,19930000,9840000,12418000,-10331000,-15966000,663000,6036000,14525000,5270000,-3571000,12039000,13427000,10589000,-3891000,8717000,36388000,14370000,9474000,16233000,26560000,24368000,19429000,23105000,33752000,9006000,5026000,15612000,24222000,-32819000,-14057000,11121000,24736000,12288000,14132000,21296000,32992000,15729000,14504000,24090000,34498000,18228000,14205000,41000,-212000,142000,929000
IncomeFinanceIncome,-381000,704000,604000,85000,-337000,1377000,552000,2729000,770000,148000,333000,2943000,-810000,1414000,263000,385000,896000,909000,983000,915000,744000,1448000,1030000,799000,948000,1372000,457000,1628000,221000,5180000,562000,502000,1940000,280000,593000,1065000,625000,187000,1008000,-799000,653000,1373000,3202000,5500000,2822000,3222000,3353000,3202000
IncomeFinanceCosts,2465000,4795000,3448000,3671000,4471000,10873000,6432000,5572000,3782000,6151000,4880000,5951000,6953000,7502000,7825000,7201000,7183000,6746000,7317000,8390000,8749000,11097000,11736000,13723000,12046000,15947000,19629000,11059000,14096000,10028000,15393000,12743000,12275000,16379000,11152000,14216000,14889000,18620000,14087000,11438000,15062000,18191000,13837000,14068000,,,,
