,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6410000,9650000,13361000,9776000,8669000,15756000,19465000,19894000,13324000,10312000,15992000,11383000,13980000,7643000,5769000,-677000,2859000,3664000,2785000,2813000,3033000,8042000,1819000,-917000,21081000,20354000,26790000,28851000,28343000,32685000,30212000,22171000,31283000,40119000,32395000,31168000,29558000,39602000
IncomeRevenues_yy,,,,,35.24,63.27,45.69,103.50,53.70,-34.55,-17.84,-42.78,4.92,-25.88,-63.93,-105.95,-79.55,-52.06,-51.73,515.48,6.09,119.50,-34.68,-132.59,595.02,153.09,1372.87,3247.61,34.45,60.58,12.77,-23.15,10.37,22.74,7.23,40.58,-5.51,-1.29
IncomeRevenues_sy,,,,,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,50.55,38.46,-26.83,-11.32,81.75,23.54,2.20,-33.03,-22.61,55.08,-28.82,22.81,-45.33,-24.52,-111.74,522.30,28.16,-24.00,1.02,7.83,165.15,-77.38,-150.39,2399.87,-3.44,31.62,7.69,-1.76,15.32,-7.57,-26.62,41.10,28.25,-19.25,-3.79,-5.17,33.98
IncomeRevenues_sq,,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,6037000,6855000,10727000,8889000,7127000,12731000,16947000,17694000,11463000,14230000,15338000,18660000,9911000,9293000,4689000,4757000,2396000,3882000,1899000,2619000,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,18.06,85.72,57.98,99.06,60.84,11.77,-9.49,5.46,-13.54,-34.69,-69.43,-74.51,-75.82,-58.22,-59.50,-44.95,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,13.55,56.48,-17.13,-19.82,78.63,33.12,4.41,-35.22,24.14,7.79,21.66,-46.89,-6.24,-49.54,1.45,-49.63,62.03,-51.09,37.90,-100.00,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,,,,,,,,,,,,,,,,,
