,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,29658000,28315000,28493000,29373000,31385000,29627000,24535000,26442000,27225000,26820000,24939000,21576000,24991000,25798000,25559000,26932000,28477000,26654000,26352000,28445000,28609000,24190000,19000,1786000,12000,12000,4000,0,7000,88000,90000,0,0,,10000,420000,0,3970000,3079000,3927000,23213000,22037000,21764000,23637000,24642000,67982000
IncomeCostOfSales,35349000,23929000,22866000,21538000,32398000,25285000,19115000,22719000,22982000,24424000,24161000,24959000,24987000,,,,,,,,,,,,,,,,,,,,,,,1433000,1399000,1382000,1628000,1584000,4729000,1517000,2030000,2035000,3653000,1951000
IncomeDistributionExpenses,2220000,2301000,2354000,2098000,2559000,,,,,,,,,,,,,,,,,,,,,,,1959000,1996000,2156000,2005000,2278000,5949000,1505000,1525000,1513000,3153000,1507000,1538000,1616000,796000,1308000,1408000,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,3053000,2884000,3190000,2103000,2881000,6887000,1772000,274000,399000,-147000,-697000,-294000,-123000,-618000,192000,136000,-657000,-2013000,-509000,-326000,-2619000,-328000,-298000,-280000,-205000,-167000,-184000
IncomeGrossProfit,-150000,-158000,-85000,-150000,-69000,-63000,-78000,-123000,-43000,-67000,-104000,-76000,-64000,133000,-224000,67000,-212000,449000,61000,95000,68000,64000,77000,134000,466000,437000,385000,430000,641000,368000,118000,170000,337000,70000,33000,98000,93000,69000,7202000,-590000,2000,28000,1000,7000,0,19000
IncomeOtherOperatingIncome,2000,10000,22000,9000,14000,-2000,500000,32000,0,17000,1000,0,863000,-643000,10000,43000,11000,140000,29000,66000,35000,149000,42000,52000,111000,11000,398000,181000,94000,25000,41000,18000,19000,50000,34184000,848000,18000,35000,7000,1000,0,2000,2000,2000,890000,1000
IncomeOtherOperatingCosts,0,509000,11000,500000,0,3000,5000,4000,1000,635000,45000,35000,3103000,2839000,3229000,2101000,2923000,6872000,2196000,659000,673000,272000,-454000,-107000,-99000,-473000,488000,188000,-643000,-1965000,-34600000,-257000,3735000,-936000,-331000,-280000,-184000,-167000,-177000,-152000,-141000,-85000,-1031000,-49000,-55000,-574000
IncomeEBIT,-136000,-43000,-36000,-107000,-64000,-64000,129000,638000,-1212000,-247000,457000,24000,40000,75000,107000,94000,614000,118000,350000,96000,-68000,81000,107000,300000,147000,195000,149000,140000,110000,63000,341000,816000,75000,1014000,695000,2504000,306000,13601000,1239000,1981000,60325000,26000,2269000,14229000,-170000,-11000
IncomeFinanceIncome,156000,31000,2754000,1296000,0,0,0,769000,8000,8000,144000,207000,71000,296000,150000,604000,-536000,,164000,18000,266000,-118000,176000,80000,29000,43000,-50000,90000,326000,420000,-409000,567000,580000,0,0,5000,33913000,7501000,107000,91596000,2609000,15941000,-573000,86000,218000,164000
IncomeFinanceCosts,2744000,595000,50000,-48000,1000,148000,84000,87000,31000,90000,20000,500000,104000,398000,-274000,18000,11000,76000,75000,86000,,,-435000,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome,,3014000,2762000,3253000,2412000,2971000,2427000,1882000,2576000,1027000,780000,116000,-316000,-180000,233000,-502000,603000,308000,-546000,-1805000,-35062000,-242000,4130000,-451000,116000,-165000,2320000,139000,13419000,-32827000,-5661000,60133000,-92601000,-389000,-1767000,-171000,-234000,-104000,-170000,-96000,637000,-113000,177000,638000,-591000,-324000
IncomeNetGrossProfit,379000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,3014000,2762000,3253000,2412000,2971000,2427000,1882000,2576000,1027000,780000,116000,-316000,-180000,233000,-502000,603000,308000,-546000,-1805000,-35062000,-242000,4130000,-451000,116000,-165000,2320000,139000,13419000,-32827000,-5661000,60133000,-92601000,-389000,-1767000,-171000,-234000,-104000,-170000,-96000,637000,-113000,177000,638000,-591000,-324000
