,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,25579000,40327000,49786000,39690000,34288000,47041000,58546000,52574000,37311000,43626000,54201000,46891000,40149000,57610000,68016000,79454000,66774000,88712000,112487000,95271000,91879000,120280000,134353000,85416000,75720000,98913000,116359000,106782000,90891000,78651000,111031000,84652000,91856000,111241000
IncomeCostOfSales,,40340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22475000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5097000,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3096000,1090000,3544000,-755000,-2203000,2228000
IncomeGrossProfit,4181000,-96000,-1969000,-3743000,-4222000,-3000000,718000,2373000,-3323000,-5510000,651000,6825000,324000,-2524000,4441000,8882000,-2212000,-2334000,2396000,5248000,-294000,-3094000,2475000,2312000,-3172000,-4078000,1771000,,3091000,3299000,,149000,7000,182000
IncomeOtherOperatingIncome,462000,50000,73000,68000,67000,449000,-228000,47000,1152000,461000,-329000,93000,533000,187000,332000,79000,-1913000,99000,801000,135000,189000,276000,-149000,,909000,1100000,,445000,48000,178000,461000,35000,226000,175000
IncomeOtherOperatingCosts,185000,216000,94000,72000,564000,156000,202000,471000,-42000,125000,151000,25000,199000,49000,114000,59000,274000,27000,33000,,176000,2982000,,3814000,-2010000,-3739000,-4221000,-2985000,565000,2266000,-3441000,-5277000,329000,6800000
IncomeEBIT,912000,-2219000,3910000,8504000,-1637000,-2272000,2577000,5302000,-2406000,-3044000,3162000,2388000,-3257000,-3829000,1589000,,94000,795000,,672000,109000,105000,-3000,95000,278000,-105000,395000,31000,112000,75000,140000,7000,95000,-39000
IncomeFinanceIncome,19000,15000,30000,-16000,918000,-52000,-128000,-7000,454000,-275000,,1006000,770000,,703000,192000,832000,205000,302000,1013000,102000,530000,2075000,601000,1638000,2022000,1260000,591000,1013000,801000,1004000,794000,357000,1241000
IncomeFinanceCosts,260000,313000,624000,424000,524000,414000,,,,-6000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,-3698000,2962000,4454000,-716000,-2045000,2461000,4293000,-926000,-2093000,-2456000,83000,-4429000,-3192000,-170000,2059000,-3576000,-7321000,-160000,5237000,-970000,-3479000,3326000,7586000,-2477000,-3257000,1798000,4975000,-3663000,-2386000,2797000
IncomeNetGrossProfit,1636000,-3688000,-3899000,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,-3698000,2962000,4454000,-716000,-2045000,2461000,4293000,-926000,-2093000,-2456000,83000,-4429000,-3192000,-170000,2059000,-3576000,-7321000,-160000,5237000,-970000,-3479000,3326000,7586000,-2477000,-3257000,1798000,4975000,-3663000,-2386000,2797000
IncomeBeforeTaxProfit,1636000,-3688000,-3899000,900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,-3710000,2925000,4073000,-427000,-2063000,2191000,4296000,-483000,-2130000,-2419000,1416000,-5360000,-3231000,-280000,1641000,-4220000,-7407000,-255000,4997000,-1001000,-3562000,3130000,7477000,-3097000,-3312000,1026000,4699000,-1440000,-2514000,2887000
IncomeNetProfit,1372000,-3850000,-4068000,605000,-3710000,2867000,4131000,-632000,-2063000,2191000,4296000,-483000,-2130000,-2419000,1381000,-5262000,-2993000,-518000,2251000,-3959000,-6913000,-382000,4613000,-1189000,-3473000,2604000,6640000,-3087000,-3111000,1222000,4765000,-924000,-1942000,2344000
IncomeShareholderNetProfit,1697000,-3703000,-3523000,790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,21809000,12194000,,12649000,13705000,16299000,18443000,14926000,16285000,19322000,22463000,34297000,34511000,34392000,33574000,32197000,31469000,31212000,30208000,32738000,31837000,32227000,31764000,28452000,27107000,27103000,26993000,28715000,32862000,39863000,,127000,101000
BalanceIntangibleAssets,,151000,124000,552000,668000,640000,637000,715000,7982000,8091000,8142000,8338000,8317000,8671000,8740000,8875000,8936000,8850000,8833000,8734000,6563000,6475000,6512000,6775000,6768000,6645000,6481000,,17882000,10357000,,10771000,11869000,14663000
BalanceProperty,11912000,13272000,16358000,19740000,22637000,22736000,22576000,21544000,20176000,19056000,18579000,17491000,16031000,15231000,16128000,15765000,14910000,13656000,12995000,11721000,13643000,17324000,25625000,,32000,,,,20000,0,,0,0,27000
BalanceNoncurrentReceivables,24000,23000,2140000,2146000,2145000,2143000,2142000,2183000,2271000,2271000,6370000,6371000,6367000,6366000,4042000,4042000,4417000,5318000,4953000,5556000,4471000,,2132000,,,,0,5000,5000,0,85000,85000,42000,21000
BalanceNoncurrInvestments,13000,13000,13000,14000,13000,13000,13000,13000,13000,,,,,,,,1636000,1736000,,1707000,1707000,3228000,2261000,2261000,2261000,1964000,1525000,1525000,1516000,1535000,1549000,1546000,1609000,1558000
BalanceOtherNoncurrentAssets,1388000,1385000,899000,899000,2937000,2934000,3179000,3179000,3351000,3337000,3286000,,22182000,31737000,,39730000,34750000,36668000,37110000,33209000,37154000,44335000,44843000,57031000,54119000,68975000,67769000,66152000,61787000,75862000,67981000,61851000,62526000,66872000
BalanceCurrentAssets,71751000,79090000,75728000,65984000,63800000,69436000,77255000,68935000,,12894000,12168000,,21519000,19332000,19048000,16629000,18487000,21734000,24261000,32429000,31728000,35883000,35862000,36720000,36431000,44614000,32503000,31644000,29327000,33545000,37259000,42604000,45639000,31383000
BalanceInventory,31030000,36904000,44476000,42050000,,5075000,10606000,,9414000,10946000,13730000,12727000,13679000,16721000,15728000,16889000,15281000,23888000,22201000,21635000,18057000,24468000,26407000,22541000,24994000,21795000,23481000,26500000,23066000,24132000,20119000,20075000,21258000,16994000
BalanceCurrentReceivables,,0,,7036000,,,6045000,2989000,2446000,1099000,927000,913000,948000,934000,989000,890000,917000,918000,85000,1042000,81000,301000,600000,1701000,1702000,704000,110000,112000,114000,115000,117000,2092000,97000,
BalanceCurrentInvestments,4213000,1692000,,2752000,1483000,3233000,2926000,4075000,4932000,3920000,6724000,6220000,8287000,8788000,7712000,6257000,6699000,8770000,7066000,6504000,9830000,10307000,9876000,6911000,10355000,12536000,12340000,9429000,9794000,,,,235000,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,16757000,48061000,43991000,46899000,43932000,44534000,42569000,49330000
BalanceAssetsForSale,52379000,48455000,52967000,55553000,48135000,53439000,63657000,67306000,91328000,88630000,103367000,101343000,98349000,93256000,107074000,98189000,94589000,94363000,99099000,103515000,107542000,102835000,93087000,90793000,98151000,110117000,125555000,11221000,14107000,18312000,15951000,15730000,22553000,26873000
BalanceTotalAssets,25791000,23558000,22078000,22095000,16856000,13803000,13676000,15433000,12358000,5183000,4551000,7874000,6503000,2538000,5458000,11559000,7922000,4478000,5838000,10014000,8202000,6255000,7695000,9863000,6680000,3205000,3442000,,2678000,2678000,,2814000,2814000,2814000
BalanceCapital,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,2814000,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,-1685000,-1685000,-1685000,-2043000,-2042000,-2042000,-2042000,-2042000,-2042000,-2042000,-2042000,,12071000,12071000,,18903000,18800000,21345000,21368000,21308000,21431000
BalanceOwnShares,21374000,21276000,21014000,20764000,21878000,21416000,20924000,21240000,21156000,24255000,23922000,26748000,26517000,26547000,26542000,26311000,26109000,26402000,26450000,26849000,,57000,206000,,0,0,,37000,-61000,-299000,-498000,-671000,256000,-237000
