,2004/Q4,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,59634000,61057000,149585000,53639000,76316000,61379000,194508000,62531000,89736000,77112000,220808000,67433000,74607000,84923000,193644000,70173000,80031000,79331000,181047000,63547000,74982000,81931000,185390000,60206000,82205000,84262000,187201000,71247000,86407000,80006000,188721000,65808000,90017000,81830000,167803000,63011000,80555000,86785000,165124000,64649000,80355000,86808000,168711000,74626000,92094000,96585000,185061000,80176000,98663000,104067000,194324000,89953000,107316000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,4709000,2677000,32386000,-7687000,-2874000,-4941000,36553000,-6002000,-3927000,-3710000,39189000,-11948000,-14954000,869000,29940000,-5324000,-2042000,5567000,35449000,-2177000,-4566000,6405000,37612000,-4731000,-1606000,4217000,30864000,-3232000,-925000,5395000,35605000,-3537000,-1824000,7195000,29320000,-3352000,-1891000,5718000,31773000,-8090000,-1818000,3765000,31448000,-4172000,598000,6194000,38222000,215000,2950000,8458000,39514000,1611000,2190000
IncomeOtherOperatingIncome,-586000,754000,1961000,2316000,7561000,2896000,1992000,614000,12961000,1354000,1063000,384000,7639000,1795000,1101000,917000,761000,387000,2088000,2976000,2496000,425000,1525000,1010000,386000,706000,735000,847000,368000,347000,667000,325000,1466000,361000,808000,430000,767000,1881000,6846000,483000,1288000,918000,1544000,490000,888000,329000,686000,2043000,724000,2561000,611000,1082000,2994000
IncomeOtherOperatingCosts,1135000,372000,1007000,86000,2616000,189000,969000,431000,1875000,611000,448000,278000,4840000,339000,1588000,173000,4931000,211000,1173000,0,1413000,249000,1644000,417000,434000,398000,933000,825000,455000,405000,4391000,-120000,1800000,498000,1485000,-89000,1557000,1319000,1289000,183000,1106000,221000,1253000,282000,-262000,1024000,2680000,4324000,1296000,438000,528000,341000,682000
IncomeEBIT,2988000,3059000,33340000,-5457000,2071000,-2234000,37576000,-5819000,7159000,-2967000,39804000,-11842000,-12155000,2325000,29453000,-4580000,-6212000,5743000,36364000,799000,-3483000,6581000,37493000,-4138000,-1654000,4525000,30666000,-3210000,-1012000,5337000,31881000,-3092000,-2158000,7058000,28643000,-2833000,-2681000,6280000,37330000,-7790000,-1636000,4462000,31739000,-3964000,1748000,5499000,36228000,-2066000,2378000,10581000,39597000,2352000,4502000
IncomeFinanceIncome,678000,833000,2450000,1984000,3266000,1263000,2637000,2203000,2707000,1090000,770000,1068000,1240000,2464000,10444000,417000,-2944000,733000,493000,619000,105000,445000,327000,-678000,2018000,2561000,1443000,-428000,1213000,785000,43000,225000,502000,113000,214000,60000,47000,225000,277000,176000,347000,66000,347000,1551000,490000,536000,72000,53000,419000,179000,160000,280000,194000
IncomeFinanceCosts,1448000,1854000,4610000,1639000,184000,3200000,4449000,2055000,2014000,5734000,9200000,6032000,3539000,5632000,6545000,5342000,2024000,4377000,4318000,3839000,1960000,2393000,2790000,-396000,4298000,2570000,3355000,2531000,2506000,2353000,2582000,2353000,1147000,1391000,1991000,1720000,1060000,1146000,1008000,1325000,13000,709000,910000,2100000,1367000,435000,529000,1131000,128000,327000,713000,410000,515000
IncomeOtherIncome,0,-157000,420000,53000,,321000,,,189000,,,,,,,,,,-521000,,,-922000,,,-2683000,,,105000,,,,,,,,,,265000,,,329000,2218000,1881000,31337000,-4692000,5206000,-4171000,35764000,-5671000,8173000,-7611000,31374000,-16806000
IncomeNetGrossProfit,-14265000,-843000,33352000,-9505000,-11180000,2099000,32539000,-2421000,-5338000,4633000,35030000,-4420000,-4455000,4516000,28754000,-6169000,-3227000,3769000,29342000,-5220000,-5486000,5780000,26866000,-4493000,-3589000,5359000,36599000,-8939000,-1302000,3819000,31176000,-4513000,871000,5600000,35771000,-3144000,2934000,10433000,39044000,2222000,4510000,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218000,1881000,31337000,-4692000,5206000,-4171000,35764000,-5671000,8173000,-7611000,31374000,-16806000
IncomeBeforeTaxProfit,-14265000,-843000,33352000,-9505000,-11180000,2099000,32539000,-2421000,-5338000,4633000,35030000,-4420000,-4455000,4516000,28754000,-6169000,-3227000,3769000,29342000,-5220000,-5486000,5780000,26866000,-4493000,-3589000,5359000,36599000,-8939000,-1302000,3819000,31176000,-4513000,871000,5600000,35771000,-3144000,2934000,10433000,39044000,2222000,4510000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925000,1395000,24225000,-3768000,4156000,-3657000,28672000,-4595000,8060000,-6887000,25118000,-14425000
IncomeNetProfit,-13299000,-1048000,27976000,-9104000,-9679000,1349000,26973000,-2191000,-4974000,3085000,28055000,-4306000,-3623000,3491000,23493000,-5371000,-3092000,2792000,24129000,-3532000,-2309000,4628000,22834000,-3301000,5913000,4127000,29608000,-6149000,-933000,2736000,25858000,-3876000,570000,4425000,29168000,-3269000,2175000,8094000,28332000,2177000,3286000,1689000,1397000,18921000,-3266000,3830000,-3172000,23268000,-5308000,3633000,-6641000,21766000,-12608000
IncomeShareholderNetProfit,-11329000,-1832000,24469000,-7974000,-9569000,316000,23084000,-3170000,-5342000,3192000,23943000,-4403000,-3589000,2741000,20666000,-4788000,-2587000,1623000,20743000,-3244000,-2591000,3386000,20282000,-3396000,5775000,2434000,24348000,-6398000,-1367000,363000,22350000,-4449000,-395000,2578000,24165000,-4919000,1249000,5779000,23332000,718000,2410000,,,,,,,,,,,,
BalanceNoncurrentAssets,84047000,83868000,120647000,121936000,143626000,167701000,167765000,175135000,196754000,202986000,201845000,197494000,173777000,172826000,180559000,182446000,176693000,173064000,187853000,192432000,198600000,194824000,195860000,196835000,194799000,203400000,203020000,200178000,197696000,196593000,189333000,188539000,190342000,190381000,189112000,189133000,197279000,199070000,188654000,186530000,186515000,186640000,187158000,185178000,187762000,188219000,188121000,185824000,186826000,187590000,181616000,178660000,181808000
BalanceIntangibleAssets,14525000,14415000,23404000,24100000,24256000,24262000,24138000,29509000,40629000,39983000,45042000,44376000,45899000,45387000,45321000,45812000,45324000,45105000,45067000,49891000,54751000,55158000,55460000,55457000,56481000,57770000,58777000,60080000,60331000,62041000,58848000,58701000,59382000,58936000,58051000,57860000,57765000,57547000,57518000,60247000,60384000,60440000,60069000,60151000,60479000,60002000,60097000,59505000,59506000,59512000,59242000,59240000,59499000
BalanceProperty,55034000,55812000,83651000,84890000,104660000,128026000,128393000,129567000,139408000,145386000,139516000,136480000,110298000,110105000,115444000,117429000,112004000,108552000,129879000,126811000,127226000,128110000,127675000,130525000,128332000,134836000,133990000,129355000,129354000,126327000,125090000,125579000,127773000,128058000,127071000,127538000,127803000,129924000,118433000,116399000,115974000,116081000,115870000,116183000,118039000,118996000,118756000,117701000,118743000,119467000,118763000,117701000,120418000
BalanceNoncurrentReceivables,6361000,5475000,5408000,5837000,5895000,6051000,5430000,7171000,6695000,6979000,6463000,6529000,6285000,6191000,7254000,8112000,7806000,7887000,969000,5517000,5584000,668000,826000,795000,1797000,1941000,1904000,1895000,1028000,1015000,659000,540000,183000,178000,176000,179000,181000,,,,,,,,,,,,,5657000,5501000,4752000,3834000
BalanceNoncurrInvestments,4287000,4087000,4087000,4087000,4408000,4228000,4228000,4633000,4950000,4946000,4708000,4728000,4874000,5079000,5282000,5318000,5185000,5154000,5111000,5125000,4269000,4286000,4399000,4381000,3385000,3727000,744000,744000,505000,505000,505000,505000,345000,317000,317000,52000,660000,660000,660000,660000,706000,706000,706000,706000,678000,678000,678000,678000,676000,2470000,2665000,3432000,3275000
BalanceOtherNoncurrentAssets,4528000,5275000,5717000,4801000,5614000,6410000,6596000,5476000,6345000,6197000,7832000,6365000,6685000,6441000,6656000,4895000,5854000,5734000,6788000,4933000,3920000,4567000,3950000,4467000,3598000,3483000,3992000,2975000,2499000,2704000,3309000,3051000,11185000,11282000,12386000,9832000,9497000,9459000,10559000,8184000,8538000,8515000,8562000,7912000,7899000,7933000,2933000,1041000,1215000,177344000,246346000,362927000,245085000
BalanceCurrentAssets,263176000,248562000,383064000,265008000,274303000,297885000,424173000,293507000,261879000,266272000,388828000,243887000,228016000,251083000,354485000,222433000,208412000,243650000,332940000,203874000,203926000,227767000,368283000,217997000,241441000,266977000,369941000,221071000,229255000,246661000,347407000,223854000,221690000,237073000,335707000,202605000,208805000,220366000,322100000,211646000,223997000,234397000,320250000,216263000,225617000,246418000,336239000,239261000,268801000,68321000,71397000,75642000,90648000
BalanceInventory,93041000,103893000,77967000,98955000,100713000,135570000,113275000,128725000,139535000,152780000,127637000,118684000,114404000,131610000,95570000,93905000,99579000,115356000,91262000,98299000,101301000,122896000,109519000,113054000,126563000,150584000,108692000,116539000,111125000,132209000,120133000,119944000,115696000,121098000,99279000,96521000,101076000,106116000,97002000,97106000,107250000,114867000,95995000,94363000,105529000,115682000,107149000,102430000,116430000,98811000,110018000,235829000,106091000
