,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,42923000,44607000,61019000,123005000,56065000,57745000,94268000,131427000,70245000,76130000,96895000,218354000,101633000,347275000,-101532000,217607000,173432000,225573000,207157000,270227000,203612000,260696000,345035000,529976000,267674000,333413000,382324000,646954000,368104000,593984000,439617000,185513000,417005000,545336000,263173000,446894000,312072000,414109000,340966000,452290000,342539000,498347000,302935000,667989000,666095000,572517000,415333000,476663000,407741000,548288000
IncomeRevenues_yy,,,,,30.62,29.45,54.49,6.85,25.29,31.84,2.79,66.14,44.68,356.16,-204.79,-0.34,70.65,-35.04,304.03,24.18,17.40,15.57,66.56,96.12,31.46,27.89,10.81,22.07,37.52,78.15,14.99,-71.33,13.28,-8.19,-40.14,140.90,-25.16,-24.06,29.56,1.21,9.76,20.34,-11.15,47.69,94.46,14.88,37.10,-28.64,-38.79,-4.23
IncomeRevenues_sy,,,,,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,3.92,36.79,101.58,-54.42,3.00,63.25,39.42,-46.55,8.38,27.27,125.35,-53.46,241.70,-129.24,314.32,-20.30,30.06,-8.16,30.45,-24.65,28.04,32.35,53.60,-49.49,24.56,14.67,69.22,-43.10,61.36,-25.99,-57.80,124.79,30.77,-51.74,69.81,-30.17,32.70,-17.66,32.65,-24.27,45.49,-39.21,120.51,-0.28,-14.05,-27.46,14.77,-14.46,34.47
IncomeRevenues_sq,,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,29978000,,,,,,,239518000,46724000,56166000,62856000,199537000,84675000,134267000,13305000,129145000,76703000,116874000,125395000,193330000,110231000,163598000,208244000,343446000,165586000,223143000,304800000,488479000,266497000,335262000,309034000,324755000,261194000,238661000,284414000,340575000,132385000,204578000,257291000,327939000,200231000,223001000,202129000,497443000,451485000,325977000,331309000,394033000,329618000,330915000
IncomeCostOfSales_yy,,,,,-100.00,,,,,,,-16.69,81.22,139.05,-78.83,-35.28,-9.41,-12.95,842.44,49.70,43.71,39.98,66.07,77.65,50.22,36.40,46.37,42.23,60.94,50.25,1.39,-33.52,-1.99,-28.81,-7.97,4.87,-49.32,-14.28,-9.54,-3.71,51.25,9.01,-21.44,51.69,125.48,46.18,63.91,-20.79,-26.99,1.51
IncomeCostOfSales_sy,,,,,17.72,,,,,,,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,-100.00,,,,,,,-80.49,20.21,11.91,217.45,-57.56,58.57,-90.09,870.62,-40.61,52.37,7.29,54.18,-42.98,48.41,27.29,64.92,-51.79,34.76,36.59,60.26,-45.44,25.80,-7.82,5.09,-19.57,-8.63,19.17,19.75,-61.13,54.53,25.77,27.46,-38.94,11.37,-9.36,146.10,-9.24,-27.80,1.64,18.93,-16.35,0.39
IncomeCostOfSales_sq,,2.28,,,,,,,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
