,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,16349000,16310000,20832000,29696000,40059000,36899000,38223000,47189000,42142000,42019000,48839000,44947000,43032000,42334000,46378000,71626000,55435000,70665000,56488000,70005000,58037000,77062000,77004000,77289000,81117000,85305000,89774000,101423000,88437000,84373000,61890000,68543000,55141000,58670000,47196000,71380000,42453000,50215000,43559000,44794000,35396000,46982000,45185000,84438000,16503000,20786000,15246000,13860000,1928000,2714000,1603000,2153000
IncomeCostOfSales,14061000,16324000,17528000,25079000,33141000,29328000,33632000,37178000,35304000,36818000,35142000,35597000,35835000,30092000,34347000,60043000,46195000,57562000,41697000,58681000,43740000,61107000,59045000,63777000,62067000,71510000,72898000,92386000,69095000,74116000,50100000,59902000,41041000,48636000,35298000,65748000,33859000,43427000,37696000,37925000,26527000,46114000,39972000,106436000,14655000,19783000,12862000,15079000,3641000,4446000,2123000,6082000
IncomeDistributionExpenses,372000,400000,366000,917000,1502000,1991000,410000,4762000,1879000,916000,851000,540000,787000,4022000,3949000,1815000,1852000,2102000,4070000,3119000,3095000,2283000,2029000,1444000,2961000,1207000,2535000,2766000,3993000,3618000,3116000,3581000,2452000,2731000,2384000,2861000,2368000,2823000,2722000,3528000,2195000,2486000,3012000,2287000,1491000,1243000,1313000,1161000,373000,449000,714000,0
IncomeAdministrativExpenses,698000,727000,612000,2123000,1592000,1986000,2507000,2086000,1862000,2619000,2434000,5095000,1855000,1943000,1483000,1463000,1078000,1094000,942000,2100000,1939000,4417000,4818000,900000,3244000,2916000,3300000,3661000,3068000,1876000,3257000,2803000,2440000,2763000,2536000,3191000,2525000,2531000,1569000,91000,1492000,1857000,2878000,1520000,917000,1104000,1023000,1939000,362000,433000,192000,253000
IncomeGrossProfit,1218000,-1141000,2326000,1577000,3824000,3594000,1674000,3163000,3097000,1666000,10412000,3715000,4555000,6277000,6599000,8305000,6310000,9907000,9779000,6105000,9263000,9255000,11112000,11168000,12845000,9672000,11041000,2610000,12281000,4763000,5417000,2257000,9208000,4540000,6978000,-420000,3701000,1434000,1572000,3250000,5182000,-3475000,-677000,-25805000,-560000,-1344000,48000,-4319000,-2448000,-2614000,-1426000,-4182000
IncomeOtherOperatingIncome,4900000,643000,2547000,27532000,857000,1331000,1563000,240000,502000,2586000,475000,5738000,498000,6131000,2713000,1359000,348000,390000,413000,7284000,5338000,11703000,9359000,11742000,3775000,9710000,8255000,13503000,640000,1273000,938000,4885000,383000,879000,1236000,12175000,2353000,3964000,523000,14686000,153000,14819000,319000,10212000,2067000,6044000,942000,59434000,6000,2147000,1198000,2841000
IncomeOtherOperatingCosts,863000,291000,385000,4024000,412000,923000,590000,2104000,602000,317000,2065000,2880000,309000,2356000,484000,2023000,571000,-273000,511000,880000,403000,925000,1041000,6718000,1231000,14000000,1911000,-1539000,845000,1842000,994000,2701000,2458000,2133000,284000,3239000,1849000,853000,816000,13304000,806000,127000,1253000,23483000,85000,105000,24000,129666000,3876000,31802000,-1264000,12974000
IncomeEBIT,5255000,-789000,4488000,25085000,4269000,4002000,2647000,1299000,2997000,3935000,8822000,6573000,4744000,10052000,8828000,7641000,6087000,10570000,9681000,12509000,14198000,20033000,19430000,16192000,15389000,5382000,17385000,17652000,12076000,4194000,5361000,4441000,7133000,3286000,7930000,8516000,4205000,4545000,1279000,4632000,4529000,11217000,-1611000,-39076000,1422000,4595000,966000,-74551000,-6318000,-32269000,1036000,-14315000
IncomeFinanceIncome,32000,11000,5000,410000,159000,344000,1555000,-932000,314000,523000,337000,1457000,190000,298000,394000,379000,888000,1537000,5178000,-3386000,551000,1837000,94000,4519000,5705000,6595000,626000,-11489000,297000,9013000,114000,-1558000,129000,941000,1549000,859000,556000,658000,648000,587000,147000,362000,74000,1310000,211000,279000,471000,-295000,1000000,886000,3420000,-3696000
IncomeFinanceCosts,185000,349000,380000,896000,1323000,1352000,2748000,-60000,1192000,2022000,1112000,2737000,972000,3740000,1926000,689000,1946000,2362000,4108000,-2164000,3929000,1357000,1656000,9975000,3703000,4572000,3857000,6450000,4494000,8580000,5237000,4251000,2621000,4448000,4896000,14976000,5075000,2887000,2238000,17516000,1512000,1510000,2477000,3356000,1015000,904000,993000,11648000,200000,2553000,1123000,774000
