,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,167876000,205737000,173885000,172868000,159020000,195739000,182410000,182021000,172036000,223434000,193900000,162539000,145230000,178740000,182300000,164118000
IncomeCostOfSales,135992000,167282000,141414000,135957000,122746000,156167000,148280000,149542000,137846000,181995000,155867000,125109000,102574000,130749000,136705000,117907000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,27320000,31038000,24792000,34562000,31756000,30099000,27241000,30310000,28593000,30344000,31189000,27071000,32654000,39507000,36441000,36607000
IncomeGrossProfit,4564000,7416000,7679000,2349000,4518000,9473000,6889000,2168000,5597000,11095000,6845000,10359000,10001000,8484000,9153000,9604000
IncomeOtherOperatingIncome,42000,7604000,1071000,826000,1695000,5105000,124000,1319000,-1578000,7105000,-1577000,9034000,,,4330000,
IncomeOtherOperatingCosts,,8101000,,,9397000,-367000,-841000,9589000,644000,-35000,4606000,10690000,8750000,3175000,6214000,6477000
IncomeEBIT,7013000,3487000,4019000,8804000,7212000,11200000,7192000,7929000,8510000,9639000,54000,2707000,9417000,193000,-242000,3609000
IncomeFinanceIncome,1639000,429000,1289000,3172000,3178000,-199000,-349000,1668000,593000,820000,2313000,4885000,1051000,679000,1119000,3703000
IncomeFinanceCosts,674000,2430000,-250000,2743000,658000,2773000,745000,17000,715000,3742000,798000,933000,225000,0,0,51000
IncomeOtherIncome,,,-239000,,,-92000,,3144000,9445000,17341000,2689000,4853000,6435000,7978000,1487000,5558000
IncomeNetGrossProfit,8994000,9731000,8229000,6097000,9489000,8388000,6717000,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,3144000,9445000,17341000,2689000,4853000,6435000,7978000,1487000,5558000
IncomeBeforeTaxProfit,8994000,9731000,8229000,6097000,9489000,8388000,6717000,-238000,-887000,-732000,256000,7706000,-643000,,,
IncomeDiscontinuedProfit,,,,2773000,5004000,13154000,2672000,12483000,3980000,6104000,982000,3566000,-5366000,7887000,6395000,4494000
IncomeNetProfit,7199000,6755000,5081000,2639000,5076000,13277000,2710000,13826000,4027000,6223000,1248000,3678000,-5344000,7764000,6509000,4594000
IncomeShareholderNetProfit,7107000,6641000,5121000,,,,,,,,,,,,,
BalanceNoncurrentAssets,,310197000,290454000,285160000,299443000,308810000,321437000,316147000,285202000,273992000,273890000,273684000,278020000,282264000,289475000,
BalanceIntangibleAssets,110423000,115946000,119105000,121180000,121316000,139797000,141214000,166449000,160306000,160315000,163448000,164613000,166505000,169932000,,84871000
BalanceProperty,84177000,80665000,81199000,80327000,81522000,81678000,83021000,79362000,79327000,77129000,77345000,78893000,81950000,,82365000,67551000
BalanceNoncurrentReceivables,60434000,74082000,69212000,74986000,55694000,23974000,21956000,21466000,19098000,24154000,24456000,24599000,,9522000,944000,954000
BalanceNoncurrInvestments,1014000,14474000,1053000,14825000,814000,776000,778000,1508000,676000,682000,707000,,23016000,21836000,24003000,21968000
BalanceOtherNoncurrentAssets,23480000,24079000,22737000,10945000,11592000,12003000,12501000,11232000,11729000,12287000,,265972000,270195000,281346000,281054000,301900000
BalanceCurrentAssets,289981000,281647000,325018000,323549000,195176000,207858000,196629000,216548000,234139000,,4880000,6480000,6409000,6435000,6082000,7572000
BalanceInventory,7520000,7109000,6617000,6247000,6330000,6227000,7356000,8073000,,191774000,184835000,194522000,183509000,220510000,189345000,189004000
BalanceCurrentReceivables,166280000,172965000,130303000,143734000,142336000,160508000,155443000,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,56953000,53059000,53457000,71840000,68124000,84678000,77827000,133919000
BalanceCash,137565000,50760000,50425000,32521000,39867000,58402000,,12365000,25821000,26957000,19271000,7184000,8386000,7296000,17709000,6401000
BalanceOtherCurrentAssets,7866000,7369000,15545000,8817000,12221000,,9982000,21815000,,,,,,,,
BalanceAssetsForSale,,,586151000,582464000,566506000,580497000,610710000,611418000,597794000,610220000,597541000,469065000,481542000,474648000,498812000,523614000
BalanceTotalAssets,,275379000,283441000,293977000,298880000,306160000,305125000,301232000,304438000,298530000,222031000,230688000,230626000,238786000,209213000,
BalanceCapital,39021000,38450000,40195000,40412000,40477000,41967000,40891000,41953000,40016000,40080000,40863000,39553000,39909000,41361000,,
BalanceShareCapital,,,,,,,,,,,,,,,,97104000
BalanceOwnShares,96412000,89045000,88814000,89530000,93396000,91255000,94364000,90388000,89881000,91362000,88661000,88900000,83900000,,2557000,2353000
BalanceReserve,1886000,1849000,1733000,1540000,1388000,1402000,1460000,1496000,1426000,1476000,1603000,1623000,,92918000,85088000,86489000
BalanceNonshareCapital,78105000,88262000,89470000,90177000,114272000,108521000,105160000,104323000,97378000,96598000,41736000,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,69919000,7726000,70916000,55634000
BalanceNoncurrentTradeLiabilities,64982000,66635000,63895000,79623000,73226000,70156000,67748000,60941000,58048000,3258000,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,7092000,,,7078000,7589000
BalanceNoncurrentObligations,8072000,9228000,8967000,8655000,9797000,11230000,11332000,13846000,15597000,,15907000,77362000,15573000,15393000,15691000,14763000
BalanceNoncurrentLeasing,17054000,25681000,26640000,25207000,25346000,25105000,24704000,22881000,,203201000,187104000,184154000,201663000,214555000,215283000,204997000
BalanceNoncurrentOtherLiabilities,190108000,189030000,140379000,145105000,145168000,161825000,271043000,,,,63201000,59302000,71368000,67303000,62106000,67918000
BalanceCurrentLiabilities,52717000,52188000,64727000,52051000,,113296000,28824000,26826000,98066000,25107000,23221000,26868000,96103000,13267000,13859000,14349000
BalanceCurrentTradePayablesv,75910000,14401000,95214000,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,3508000,,,4547000,3863000,3054000,2415000,4415000,3089000,2650000,1676000,4150000
BalanceCurrentObligations,3148000,2953000,,98493000,119557000,98026000,99050000,114218000,121706000,113608000,89590000,104757000,71153000,76892000,65108000,79549000
BalanceCurrentLeasing,120825000,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,0,574055000,0,557985000,566506000,580497000,610710000,611418000,597794000,610220000,597541000,469065000,481542000,474648000,498812000
BalanceReckoning,523614000,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,6631000,17258000,-7867000,7118000,4849000,27798000,5186000,36617000,12367000,64918000,17132000,4966000,7636000,-1393000,15841000,-22000
CashflowAmortization,3975000,5984000,3868000,4383000,4501000,4696000,4392000,4797000,4929000,4734000,4587000,4708000,4537000,4734000,4995000,5278000
CashflowInvestingCashflow,-4008000,-13055000,9581000,-2051000,432000,-2872000,-13813000,-2877000,-18636000,-6813000,-1637000,-5296000,-3624000,-5047000,-3977000,-4274000
CashflowCapex,4652000,6291000,6158000,3955000,4879000,5110000,1357000,17892000,5757000,22315000,2241000,4624000,7450000,7324000,5189000,4388000
CashflowFinancingCashflow,-2873000,-4271000,-86000,-10159000,-4637000,-6435000,4550000,-19875000,1354000,-4747000,-5612000,-87222000,-5632000,-8392000,-4667000,21804000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,
CashflowDividend,0,0,,3976000,0,0,,13989000,0,0,,82831000,0,0,,-251000
CashflowNetCashflow,-68000,1627000,-5092000,644000,18491000,-4076000,13865000,-4916000,53358000,9883000,-87552000,-1620000,-14832000,7197000,17507000,
