,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7669000,9376000,6004000,7271000,7398000,10412000,8706000,8877000,8821000,12047000,15486000,15361000,16003000,15090000,19415000,19623000,25734000,25255000,25974000,25746000,27102000,26651000,25966000,24241000,21664000,28929000,27146000,26243000,22126000,23686000,11611000,9721000,11951000,11721000,21694000,22402000,18761000,19420000,20464000,20757000,14904000,21460000,17214000,17867000
IncomeRevenues_yy,,,,,-3.53,11.05,45.00,22.09,19.23,15.70,77.88,73.04,81.42,25.26,25.37,27.75,60.81,67.36,33.78,31.20,5.32,5.53,-0.03,-5.85,-20.06,8.55,4.54,8.26,2.13,-18.12,-57.23,-62.96,-45.99,-50.52,86.84,130.45,56.98,65.69,-5.67,-7.34,-20.56,10.50,-15.88,-13.92
IncomeRevenues_sy,,,,,-24.64,-12.32,-38.31,22.09,-74.94,-21.67,-3.16,15.67,138.06,238.01,86.99,20.62,30.50,10.60,18.46,4.01,29.94,5.53,8.04,5.39,-5.64,7.96,-5.28,6.98,2.13,25.62,-1.58,13.69,26.72,-10.38,17.27,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,22.26,-35.96,21.10,1.75,40.74,-16.38,1.96,-0.63,36.57,28.55,-0.81,4.18,-5.71,28.66,1.07,31.14,-1.86,2.85,-0.88,5.27,-1.66,-2.57,-6.64,-10.63,33.53,-6.16,-3.33,-15.69,7.05,-50.98,-16.28,22.94,-1.92,85.09,3.26,-16.25,3.51,5.38,1.43,-28.20,43.99,-19.79,3.79
IncomeRevenues_sq,,5.70,0.16,14.33,-10.21,-10.33,-16.38,1.96,-64.59,36.57,21.56,88.74,-11.08,12.94,-11.75,5.88,22.48,-9.38,5.22,-0.88,11.13,3.22,-2.48,-7.32,6.69,13.75,-3.96,2.63,-4.16,18.52,-21.54,5.26,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,4042000,6001000,3899000,4543000,4445000,6528000,5005000,4948000,4931000,7730000,7981000,11462000,9130000,7057000,10086000,13940000,14681000,13148000,14008000,16322000,15571000,15178000,12919000,14164000,12133000,21335000,15379000,14867000,13864000,16169000,8522000,7193000,9109000,8908000,14132000,13999000,11874000,11008000,13447000,12726000,8483000,11784000,10657000,10704000
IncomeCostOfSales_yy,,,,,9.97,8.78,28.37,8.91,10.93,18.41,59.46,131.65,85.16,-8.71,26.38,21.62,60.80,86.31,38.89,17.09,6.06,15.44,-7.77,-13.22,-22.08,40.57,19.04,4.96,14.27,-24.21,-44.59,-51.62,-34.30,-44.91,65.83,94.62,30.35,23.57,-4.85,-9.09,-28.56,7.05,-20.75,-15.89
IncomeCostOfSales_sy,,,,,-5.35,8.78,28.37,2.80,-50.13,-0.62,7.06,-9.35,85.16,7.21,10.52,21.62,28.24,-6.10,28.37,-0.62,0.38,18.90,9.08,-5.39,-22.08,4.67,2.94,4.96,2.54,-13.97,12.41,11.81,16.82,-5.44,12.21,8.00,-11.31,11.25,-1.21,-25.91,-28.56,7.05,-19.78,-13.33
IncomeCostOfSales_qq,,48.47,-35.03,16.52,-2.16,46.86,-23.33,-1.14,-0.34,56.76,3.25,43.62,-20.35,-22.71,42.92,38.21,5.32,-10.44,6.54,16.52,-4.60,-2.52,-14.88,9.64,-14.34,75.84,-27.92,-3.33,-6.75,16.63,-47.29,-15.59,26.64,-2.21,58.64,-0.94,-15.18,-7.29,22.16,-5.36,-33.34,38.91,-9.56,0.44
IncomeCostOfSales_sq,,2.80,-19.36,26.82,-22.15,46.86,-23.33,39.00,-45.00,56.76,3.25,25.68,-8.98,-15.20,-10.76,38.21,4.28,-23.50,10.08,16.52,-4.60,-2.52,-14.88,9.64,0.75,7.90,-20.07,7.00,-0.31,38.87,-18.54,7.39,-6.21,-1.91,3.40,7.41,-1.59,-7.29,2.55,-5.36,6.16,12.28,-5.56,-8.08
IncomeDistributionExpenses,2103000,1105000,985000,1147000,1465000,2347000,1823000,1747000,2144000,1976000,4076000,701000,3977000,9608000,4695000,1157000,4299000,9369000,6384000,3075000,4901000,9012000,9056000,3195000,7904000,7426000,7793000,8954000,7422000,3137000,2861000,3083000,2405000,2838000,6472000,5938000,6257000,7085000,6083000,6462000,5723000,6243000,5672000,6026000
IncomeDistributionExpenses_yy,,,,,-30.34,112.40,85.08,52.31,46.35,-15.81,123.59,-59.87,85.49,386.23,15.19,65.05,8.10,-2.49,35.97,165.77,14.00,-3.81,41.85,3.90,61.27,-17.60,-13.95,180.25,-6.10,-57.76,-63.29,-65.57,-67.60,-9.53,126.21,92.60,160.17,149.65,-6.01,8.82,-8.53,-11.88,-6.76,-6.75
IncomeDistributionExpenses_sy,,,,,3.40,12.68,-39.48,48.91,-45.37,-31.98,19.80,-59.25,85.49,77.78,30.87,65.05,31.50,31.80,39.91,42.03,14.00,-15.08,-14.63,1.60,2.32,7.77,5.06,29.39,-6.10,9.05,-1.56,-1.03,2.88,-7.38,17.12,14.60,17.22,4.14,-3.05,0.80,-11.90,-3.06,-7.07,-6.75
