,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1645000,2225000,2919000,3115000,3687000,5258000,7310000,8066000,9131000,11334000,10874000,8641000,20952000,18371000,17596000,15957000,14234000,23614000,22781000,25571000,23689000,27047000,32670000,32536000,23483000,23869000,27798000,21782000,21545000,25680000,26597000,26198000,19892000,26530000,31816000,45774000,28824000,35280000,48374000,43226000,22853000,33342000,37055000,34491000,28158000,34052000,33454000,33144000,28888000,31792000
IncomeRevenues_yy,,,,,124.13,136.31,150.43,158.94,147.65,115.56,48.76,7.13,129.46,62.09,61.82,84.67,-32.06,28.54,29.47,60.25,66.43,14.54,43.41,27.24,-0.87,-11.75,-14.91,-33.05,-8.25,7.59,-4.32,20.27,-7.67,3.31,19.62,74.72,44.90,32.98,52.04,-5.57,-20.72,-5.49,-23.40,-20.21,23.21,2.13,-9.72,-3.91,2.59,-6.64
IncomeRevenues_sy,,,,,99.18,59.27,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,35.26,31.19,6.71,18.36,42.61,39.03,10.34,13.20,24.13,-4.06,-20.54,142.47,-12.32,-4.22,-9.31,-10.80,65.90,-3.53,12.25,-7.36,14.18,20.79,-0.41,-27.82,1.64,16.46,-21.64,-1.09,19.19,3.57,-1.50,-24.07,33.37,19.92,43.87,-37.03,22.40,37.11,-10.64,-47.13,45.90,11.14,-6.92,-18.36,20.93,-1.76,-0.93,-12.84,10.05
IncomeRevenues_sq,,43.69,26.67,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,1055000,1543000,1876000,1906000,2153000,3026000,3950000,4686000,4646000,6627000,5287000,5137000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,104.08,96.11,110.55,145.86,115.79,119.00,33.85,9.62,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,94.54,63.64,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,46.26,21.58,1.60,12.96,40.55,30.54,18.63,-0.85,42.64,-20.22,-2.84,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,38.82,19.76,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,51000,27000,76000,75000,64000,70000,91000,127000,148000,193000,326000,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,25.49,159.26,19.74,69.33,131.25,175.71,258.24,-81.10,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,28.08,-2.80,5.86,18.37,6.28,14.80,20.71,14.54,0.06,-3.68,-2.70,16.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,-47.06,181.48,-1.32,-14.67,9.38,30.00,39.56,16.54,30.41,68.91,-92.64,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,16.92,11.05,9.97,-12.28,1.22,-1.30,20.37,-10.10,22.80,6.24,3.70,-31.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,257000,272000,312000,299000,424000,502000,513000,700000,735000,788000,1027000,849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,64.98,84.56,64.42,134.11,73.35,56.97,100.19,21.29,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,29.53,28.26,29.53,23.91,25.35,31.68,25.71,31.07,13.11,2.69,-0.05,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,5.84,14.71,-4.17,41.81,18.40,2.19,36.45,5.00,7.21,30.33,-17.33,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
