,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,44220000,25346000,29779000,33438000,52985000,36315000,36976000,40938000,53001000,37535000,43265000,46060000,48573000,33962000,33252000,42344000,41237000,29571000,38866000,45409000,48457000,33776000,36462000,49874000,49549000,34485000,38073000,43769000,52996000,34165000,36571000,42022000,53661000,33897000,40181000,46920000,48018000,37423000,44801000,50185000,51751000,40640000,42424000,44662000,54405000,41083000,51114000,43787000,53715000,41703000,49699000
IncomeCostOfSales,28987000,16739000,19864000,20548000,36074000,23020000,23179000,25653000,34107000,23395000,26356000,27681000,28778000,19172000,22444000,26750000,25713000,18568000,24156000,28527000,30741000,21335000,23317000,30534000,30435000,21938000,23752000,29638000,35199000,21559000,23740000,26393000,35306000,21158000,25030000,28618000,31603000,24559000,27092000,30457000,33198000,25847000,26625000,27783000,34559000,25513000,31941000,27181000,33286000,24681000,29577000
IncomeDistributionExpenses,8588000,4019000,3895000,7084000,7572000,5860000,5951000,5628000,7683000,6447000,6921000,7255000,7748000,6919000,6239000,5816000,7402000,5518000,6007000,6537000,8827000,6044000,6813000,7253000,8662000,7381000,8256000,7129000,8573000,7247000,6965000,7969000,8841000,7471000,9470000,8722000,8611000,8757000,9459000,9509000,10235000,9703000,9768000,10095000,10338000,9866000,10589000,10814000,11833000,11797000,11412000
IncomeAdministrativExpenses,4277000,3058000,4025000,2618000,3880000,3994000,5645000,4721000,5612000,5264000,5393000,5218000,5758000,4950000,4643000,4543000,4896000,4960000,5100000,5159000,5295000,5041000,5251000,5842000,6733000,5844000,5368000,5341000,5722000,5129000,4819000,5019000,5592000,5720000,5113000,5116000,5628000,5033000,4861000,5003000,5295000,5199000,5031000,4982000,5585000,5198000,5285000,5241000,6464000,5408000,5297000
IncomeGrossProfit,2368000,1530000,1995000,3188000,5459000,3441000,2201000,4936000,5599000,2429000,4595000,5906000,6289000,2921000,-74000,5235000,3226000,525000,3603000,5186000,3594000,1356000,1081000,6245000,3719000,-678000,697000,1661000,3502000,230000,1047000,2641000,3922000,-452000,568000,4464000,2176000,-926000,3389000,5216000,3023000,-109000,1000000,1802000,3923000,506000,3299000,551000,2132000,-183000,3413000
IncomeOtherOperatingIncome,647000,353000,36000,62000,676000,765000,778000,590000,1421000,1231000,861000,864000,1278000,1256000,789000,613000,1311000,782000,878000,927000,-761000,423000,277000,5871000,761000,600000,631000,403000,1080000,293000,287000,260000,1647000,1749000,-32000,384000,870000,281000,230000,192000,903000,266000,133000,288000,1581000,411000,939000,147000,2145000,601000,852000
IncomeOtherOperatingCosts,1750000,269000,-33000,308000,1205000,724000,685000,778000,1480000,689000,980000,1015000,2766000,842000,694000,861000,1077000,959000,1193000,1527000,-2053000,385000,589000,3485000,864000,537000,623000,1415000,-275000,952000,227000,492000,3801000,1530000,507000,256000,625000,122000,652000,615000,1021000,1308000,803000,318000,2922000,319000,620000,319000,1205000,231000,500000
IncomeEBIT,1265000,1614000,2064000,2942000,4930000,3482000,2294000,4748000,5540000,2971000,4476000,5755000,4801000,3335000,21000,4987000,3460000,348000,3288000,4586000,4886000,1394000,769000,8631000,3616000,-615000,705000,649000,4857000,-429000,1107000,2409000,1768000,-233000,29000,4592000,2421000,-767000,2967000,4793000,2905000,-1151000,330000,1772000,2582000,598000,3618000,379000,3072000,187000,3765000
IncomeFinanceIncome,287000,153000,61000,84000,223000,13000,424000,309000,463000,468000,284000,132000,874000,1417000,-414000,1774000,-1827000,384000,403000,15000,132000,179000,14000,774000,-72000,283000,164000,240000,257000,270000,228000,-18000,-35000,161000,101000,140000,73000,172000,62000,32000,41000,169000,176000,-76000,195000,77000,18000,44000,55000,60000,180000
IncomeFinanceCosts,416000,447000,304000,266000,242000,285000,183000,218000,445000,333000,512000,-111000,643000,528000,-101000,1862000,-1863000,436000,-400000,56000,39000,36000,54000,237000,51000,260000,-38000,154000,45000,55000,122000,-50000,132000,45000,30000,-2000,137000,160000,-6000,11000,38000,128000,-15000,26000,-12000,303000,42000,-174000,409000,12000,14000
