,2005/Q1,2007/Q1,2007/Q2,2008/Q1,2008/Q2,2009/Q1,2009/Q2,2010/Q1,2010/Q2,2011/Q1,2011/Q2,2012/Q1,2012/Q2,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,6362000,13118000,26734000,6621000,36866000,7988000,42180000,10029000,44510000,12577000,48389000,12213000,45989000,13255000,51996000,20850000,18138000,12618000,40871000,29430000,15903000,17698000,52153000,36968000,28965000,28382000,72580000,47071000,30530000,27047000,73427000,49399000
IncomeCostOfSales,4259000,9095000,18309000,4198000,23988000,5375000,26755000,6610000,30364000,8955000,35051000,8559000,32378000,9215000,37688000,14688000,12531000,8868000,29202000,21484000,11690000,13267000,38682000,27829000,23807000,20553000,53352000,35099000,22471000,19393000,53326000,34748000
IncomeDistributionExpenses,875000,2306000,4342000,1968000,6041000,2087000,5926000,2805000,8666000,2862000,7756000,2772000,7066000,2877000,7075000,4219000,4498000,2970000,6547000,4783000,3884000,3652000,7487000,5155000,2137000,3995000,7953000,6066000,3955000,4236000,8984000,7278000
IncomeAdministrativExpenses,348000,427000,484000,541000,807000,615000,1265000,700000,1163000,1029000,1249000,1036000,1380000,1076000,1849000,1233000,1331000,1118000,1465000,1384000,1103000,1313000,1673000,1572000,1673000,1609000,2671000,2141000,2149000,1834000,2834000,2441000
IncomeGrossProfit,880000,1290000,3599000,-86000,6030000,-89000,8234000,-86000,4317000,-269000,4333000,-154000,5165000,87000,5384000,710000,-222000,-338000,3657000,1779000,-774000,-534000,4311000,2412000,1348000,2225000,8604000,3765000,1955000,1584000,8283000,4932000
IncomeOtherOperatingIncome,,1000,14000,17000,11000,0,,3000,70000,4000,-68000,0,16000,2000,40000,1000,7000,-2000,-719000,11000,92000,246000,-301000,14000,-179000,218000,152000,46000,83000,21000,,8000
IncomeOtherOperatingCosts,624000,69000,40000,6000,211000,108000,157000,30000,288000,74000,666000,180000,231000,102000,352000,62000,426000,431000,188000,103000,381000,396000,847000,386000,231000,257000,846000,44000,145000,103000,880000,1283000
IncomeEBIT,2989000,-155000,6007000,-84000,8023000,-194000,4160000,-296000,4115000,-224000,4431000,-93000,5169000,610000,-534000,-399000,3238000,1346000,-1681000,-626000,4022000,2262000,200000,1853000,8194000,3726000,1261000,1586000,8221000,4850000,,15000
IncomeFinanceIncome,41000,51000,-49000,3000,60000,1000,211000,132000,33000,31000,35000,0,80000,98000,519000,6000,51000,191000,-2000,7000,42000,16000,172000,52000,51000,65000,17000,12000,237000,-174000,101000,163000
IncomeFinanceCosts,77000,81000,307000,105000,150000,231000,220000,429000,938000,433000,543000,262000,272000,251000,153000,136000,191000,281000,182000,108000,436000,278000,152000,158000,895000,190000,283000,220000,331000,317000,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,-138000,-36000,-33000,-30000,779000,1135000
