,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
IncomeRevenues,5127000,7076000,5004000,7274000,3772000,4937000,4351000,6461000,4614000,4460000,5782000,7348000,5127000,4565000,11329000,15710000,12637000,10218000,9343000,10283000,8102000,8685000,11660000,13164000,8861000,6437000,4667000,4047000,3662000,5340000,2888000,3729000,4141000,3136000,1985000,-1186000,235000,150000,137000,148000,150000,146000,119000,117000,117000,129000,133000,134000,133000
IncomeCostOfSales,4112000,6767000,5363000,6505000,3203000,4032000,3281000,5308000,3864000,3915000,4581000,6585000,4332000,4397000,8974000,12286000,10136000,9248000,7875000,7722000,7132000,7323000,6727000,7491000,6685000,5389000,3118000,3966000,2088000,4001000,2022000,2903000,3655000,2647000,1836000,-1694000,233000,86000,84000,89000,81000,88000,76000,63000,75000,88000,34000,133000,73000
IncomeDistributionExpenses,194000,184000,169000,710000,444000,242000,615000,330000,483000,438000,581000,270000,429000,507000,2101000,4383000,1570000,1830000,1770000,2530000,1813000,2247000,2823000,3190000,1285000,1253000,480000,202000,562000,-78000,346000,1138000,541000,272000,392000,83000,34000,0,0,0,,,,,,,,,963000
IncomeAdministrativExpenses,721000,864000,-47000,547000,505000,275000,800000,449000,512000,526000,823000,581000,519000,827000,1005000,805000,1143000,717000,521000,787000,901000,1541000,1358000,1292000,1661000,879000,1157000,1139000,1448000,1304000,347000,714000,1059000,743000,403000,712000,-10000,283000,654000,279000,498000,365000,539000,251000,246000,311000,252000,246000,-142000
IncomeGrossProfit,-596000,-1392000,106000,-422000,158000,180000,23000,-182000,-405000,94000,-330000,-215000,-858000,-573000,-1964000,126000,-2003000,-1019000,-490000,-1630000,-1786000,569000,1125000,-401000,-1866000,190000,-1278000,-127000,-31000,-784000,-659000,-769000,-842000,-986000,22000,-744000,74000,-230000,-595000,-210000,-440000,-322000,-485000,-209000,-205000,-212000,-251000,-186000,42000
IncomeOtherOperatingIncome,134000,123000,317000,377000,173000,30000,358000,252000,413000,-175000,712000,132000,826000,370000,697000,494000,1857000,605000,-599000,458000,686000,482000,12459000,11842000,18580000,7718000,1199000,690000,6757000,2363000,-210922000,2873000,-1741000,374000,30305000,9000,-1000,36000,165000,71000,-1000,138000,118000,93000,106000,119000,91000,57000,86000
IncomeOtherOperatingCosts,-29000,511000,33000,149000,71000,994000,1075000,28000,50000,272000,11000,478000,194000,1530000,368000,35000,568000,1083000,94000,339000,401000,3082000,174000,1809000,296000,795000,328000,2472000,1036000,32513000,380000,674000,17000,15286000,110000,509000,17000,353000,390000,90000,3016000,11000,181000,-53000,7401000,54000,-157000,-548000,-1240000
IncomeEBIT,-88000,-78000,182000,139000,-613000,-1005000,-20000,-131000,110000,-94000,-510000,-397000,-2797000,252000,-181000,-982000,-2172000,-1266000,-1439000,650000,10502000,11267000,14905000,7612000,-874000,235000,4254000,543000,-244094000,1724000,-3257000,-629000,15041000,-845000,-436000,-211000,-783000,-139000,-831000,-274000,-3383000,-220000,-293000,-53000,-7533000,-149000,50000,8000,17000
IncomeFinanceIncome,1671000,0,1400000,-2000,617000,4809000,183000,376000,-15000,77000,894000,18575000,514000,195000,306000,62000,776000,22000,996000,18052000,-675000,309000,1135000,482000,1331000,1065000,1263000,1659000,2549000,2232000,2109000,1263000,2859000,430000,695000,682000,857000,624000,1330000,506000,1610000,475000,474000,562000,724000,449000,74000,405000,178000
IncomeFinanceCosts,2798000,14000,194000,64000,818000,1128000,23000,326000,22000,32000,90000,138000,1426000,316000,266000,246000,428000,131000,10385000,762000,3178000,1177000,1562000,1547000,4335000,2365000,4006000,3442000,18555000,1836000,16253000,6189000,-5516000,13668000,2123000,967000,1133000,579000,-42000,507000,816000,376000,337000,483000,423000,288000,,,
