,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,68175000,66352000,51622000,84165000,56583000,58477000,60449000,86586000,39476000,23919000,25344000,34056000,21819000,43114000,53861000,76003000,70690000,84033000,110527000,105714000,109502000,121066000,119993000,146631000,118451000,134966000,115996000,118561000,103983000,104747000,105731000,124570000,110807000,122546000,131908000,105703000,134048000,151442000,142644000,122036000,127131000,118197000,132471000,106104000,120380000,147639000
IncomeCostOfSales,58089000,48926000,38268000,67493000,48632000,47608000,46415000,57029000,24986000,19525000,20623000,23765000,21026000,33099000,39648000,57859000,56189000,66871000,74887000,80807000,84339000,90896000,87995000,114912000,91212000,93042000,89694000,100126000,76560000,80476000,78725000,98052000,80771000,93528000,100921000,100651000,106441000,117663000,110056000,90095000,106745000,109708000,114385000,91480000,95902000,115797000
IncomeDistributionExpenses,2778000,3020000,2395000,2969000,2451000,2666000,2676000,2591000,2475000,2200000,2403000,2319000,2750000,2515000,2637000,3195000,4372000,4987000,4578000,6170000,5394000,5995000,5910000,7904000,5481000,7998000,7185000,9407000,6565000,8103000,7321000,8684000,7575000,8597000,8581000,9921000,8777000,7649000,8346000,10644000,9858000,10208000,8665000,9652000,8905000,9305000
IncomeAdministrativExpenses,6260000,5911000,5367000,6557000,6171000,6169000,6049000,6901000,6759000,6376000,5660000,5650000,6496000,6793000,7600000,9066000,9429000,10327000,8974000,13779000,11171000,13844000,12079000,16991000,12936000,20714000,15797000,15610000,14647000,15799000,14141000,12471000,15214000,14095000,14379000,10525000,13570000,15131000,13792000,7981000,12154000,12468000,15877000,7998000,11078000,14023000
IncomeGrossProfit,1048000,8495000,5592000,7146000,-671000,2034000,5309000,20065000,5256000,-4182000,-3342000,2322000,-8453000,707000,3976000,5883000,700000,1848000,22088000,4958000,8598000,10331000,14009000,6824000,8822000,13212000,3320000,-6582000,6211000,369000,5544000,5363000,7247000,6326000,8027000,-15394000,5260000,10999000,10450000,13316000,-1626000,-14187000,-6456000,-3026000,4495000,8514000
IncomeOtherOperatingIncome,273000,106000,200000,403000,156000,115000,265000,783000,647000,965000,290000,312000,173000,254000,526000,729000,297000,835000,990000,-256000,524000,910000,857000,692000,1189000,1565000,1394000,154000,1863000,1659000,1375000,1105000,950000,1624000,328000,2638000,1848000,1807000,-446000,74000,736000,2654000,3779000,-1289000,731000,2069000
IncomeOtherOperatingCosts,209000,16000,359000,366000,223000,407000,122000,1916000,153000,1016000,541000,-55000,124000,224000,236000,2430000,650000,1092000,1303000,-610000,237000,519000,898000,1621000,827000,2875000,-37000,2589000,574000,2833000,7868000,27307000,1027000,1544000,1312000,47460000,1376000,296000,4144000,790000,392000,87000,623000,4799000,530000,313000
IncomeEBIT,1112000,8585000,5433000,7183000,-738000,1742000,5452000,18932000,5750000,-4233000,-3593000,2689000,-8404000,737000,4266000,4182000,347000,1591000,21775000,5312000,8885000,10722000,13968000,5895000,9184000,11902000,4751000,-9017000,7500000,-805000,-949000,-20839000,7170000,6406000,7043000,-60216000,5732000,12510000,5860000,12600000,-1282000,-11620000,-3300000,-9114000,4696000,10270000
IncomeFinanceIncome,1239000,-26000,1143000,1160000,665000,23000,992000,1029000,3104000,527000,5619000,-7812000,3183000,-1346000,988000,10383000,638000,1418000,118000,-1708000,5477000,-77000,1986000,881000,1981000,1944000,1281000,-126000,938000,2834000,31000,2653000,2710000,-1965000,295000,1453000,1440000,-1012000,2054000,-2394000,4456000,3364000,1041000,3308000,2274000,381000
IncomeFinanceCosts,231000,255000,546000,407000,156000,2704000,1892000,12194000,8673000,2843000,5002000,-8217000,1888000,-1327000,886000,-30000,952000,1028000,3495000,4316000,6030000,592000,1702000,217000,1468000,2539000,1259000,-2578000,1612000,976000,2190000,2061000,1814000,1260000,2666000,2853000,1679000,5828000,542000,4001000,1084000,1332000,1302000,3997000,1275000,3125000
