,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4455000,3418000,3824000,3434000,5660000,4475000,7139000,4331000,7963000,6161000,9304000,6037000,10622000,8082000,8215000,6927000,8349000,7039000,6863000,3682000,4049000,4225000,5343000,4814000,10411000,8589000,9393000,8110000,12063000,9615000,13231000,9685000,16670000,11397000,15047000
IncomeRevenues_yy,,,,,27.05,30.92,86.69,26.12,40.69,37.68,30.33,39.39,33.39,31.18,-11.70,14.74,-21.40,-12.91,-16.46,-46.85,-51.50,-39.97,-22.14,30.75,157.11,103.29,75.79,68.48,15.86,11.94,40.86,19.42,38.20,18.53,13.72
IncomeRevenues_sy,,,,,12.88,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,-23.28,11.88,-10.20,64.82,-20.94,59.53,-39.33,83.86,-22.63,51.01,-35.11,75.95,-23.91,1.65,-15.68,20.52,-15.69,-2.50,-46.36,9.99,4.35,26.46,-9.91,116.28,-17.50,9.36,-13.66,48.73,-20.29,37.61,-26.80,72.12,-31.63,32.03
IncomeRevenues_sq,,-15.36,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,2454000,1353000,1797000,1618000,3175000,2497000,3140000,2959000,4079000,3749000,5232000,4171000,6193000,5367000,5129000,4820000,6282000,4624000,4675000,4254000,6449000,2752000,3880000,3584000,7006000,6734000,6978000,6595000,8871000,6550000,8101000,6837000,10598000,7791000,8717000
IncomeCostOfSales_yy,,,,,29.38,84.55,74.74,82.88,28.47,50.14,66.62,40.96,51.83,43.16,-1.97,15.55,1.44,-13.84,-8.85,-11.73,2.66,-40.48,-17.00,-15.76,8.64,144.67,79.83,84.02,26.61,-2.74,16.09,3.67,19.47,18.95,7.61
IncomeCostOfSales_sy,,,,,6.03,9.00,2.34,22.62,30.44,3.22,3.80,3.41,-3.00,10.85,1.17,-1.46,-2.72,6.22,-5.17,-6.56,-4.30,-6.78,9.56,2.20,10.21,10.36,-0.86,4.67,22.18,-1.68,9.22,-2.52,-6.60,-4.56,4.28
IncomeCostOfSales_qq,,-44.87,32.82,-9.96,96.23,-21.35,25.75,-5.76,37.85,-8.09,39.56,-20.28,48.48,-13.34,-4.44,-6.03,30.33,-26.39,1.10,-8.99,51.58,-57.32,40.98,-7.64,95.49,-3.88,3.62,-5.49,34.50,-26.16,23.68,-15.60,55.01,-26.49,11.89
IncomeCostOfSales_sq,,-12.54,21.03,-1.01,35.08,-15.54,16.16,-2.12,20.40,-17.63,7.47,-3.52,6.05,-15.02,0.08,-1.14,3.36,-11.56,8.34,-8.06,23.16,-18.75,23.04,-8.38,22.81,-12.13,5.24,-2.34,27.63,-20.56,-0.74,-4.68,30.71,-14.52,-9.44
IncomeDistributionExpenses,146000,68000,88000,68000,89000,85000,109000,77000,130000,98000,181000,232000,172000,167000,163000,208000,194000,176000,207000,167000,188000,221000,325000,760000,691000,454000,816000,1036000,678000,973000,748000,936000,964000,786000,902000
IncomeDistributionExpenses_yy,,,,,-39.04,25.00,23.86,13.24,46.07,15.29,66.06,201.30,32.31,70.41,-9.98,-10.29,12.58,5.64,27.07,-19.58,-3.00,25.03,57.07,354.16,267.93,105.98,150.97,36.34,-1.88,114.21,-8.32,-9.66,42.13,-19.25,20.61
IncomeDistributionExpenses_sy,,,,,-39.04,3.90,-6.27,31.46,-0.76,-3.46,3.18,-1.74,-17.11,-1.16,-49.20,-15.65,4.58,24.47,-5.59,-24.72,5.03,15.55,4.36,13.50,-3.27,6.68,-12.00,-11.03,-13.09,4.67,-8.32,-9.66,-8.32,-19.25,22.42
IncomeDistributionExpenses_qq,,-53.42,29.41,-22.73,30.88,-4.49,28.24,-29.36,68.83,-24.62,84.69,28.18,-25.86,-2.91,-2.44,27.74,-6.96,-8.89,17.35,-19.15,12.22,17.43,47.43,133.75,-9.09,-34.26,79.63,26.99,-34.57,43.53,-23.12,25.13,2.93,-18.45,14.83
IncomeDistributionExpenses_sq,,-60.00,22.08,-34.10,40.26,-23.02,13.40,-19.78,31.67,-41.55,5.56,-9.05,6.96,-32.08,0.12,-9.23,49.24,-37.60,17.35,-12.65,58.88,-45.44,38.68,5.67,23.83,-34.26,20.50,5.63,23.82,-51.56,-6.92,10.17,26.97,-19.88,14.83
IncomeAdministrativExpenses,485000,459000,445000,475000,528000,594000,531000,456000,561000,590000,596000,551000,644000,681000,672000,699000,572000,563000,533000,452000,740000,526000,500000,524000,775000,941000,1052000,1143000,990000,936000,1005000,938000,1868000,1133000,1217000
IncomeAdministrativExpenses_yy,,,,,8.87,29.41,19.33,-4.00,6.25,-0.67,12.24,20.83,14.80,15.42,12.82,26.95,-11.17,-17.31,-20.68,-35.31,29.32,-6.62,-6.19,15.81,4.70,78.96,110.32,118.12,27.83,-0.53,-4.47,-17.94,88.67,21.02,21.07
IncomeAdministrativExpenses_sy,,,,,-10.60,16.60,3.52,14.66,-14.66,-0.67,12.24,-2.83,14.80,-1.11,-1.44,7.92,-2.68,5.46,-3.84,-39.19,-21.00,-8.60,-7.26,15.83,6.49,9.10,6.04,-10.63,31.00,0.56,-2.78,-0.62,2.15,6.32,12.78
IncomeAdministrativExpenses_qq,,-5.36,-3.05,6.74,11.16,12.50,-10.61,-14.12,23.03,5.17,1.02,-7.55,16.88,5.75,-1.26,4.03,-18.22,-1.56,-5.29,-15.16,63.50,-28.92,-4.85,4.73,47.81,21.50,11.83,8.61,-13.38,-5.46,7.41,-6.71,99.17,-39.36,7.45
IncomeAdministrativExpenses_sq,,-24.62,3.07,-11.71,25.54,-5.45,3.58,-4.82,5.35,-4.64,2.03,-6.19,16.88,-0.50,4.30,-3.75,20.98,-18.88,-0.68,-16.68,41.74,-21.54,1.80,1.18,19.27,-12.98,2.99,-1.56,25.70,-11.86,3.08,-7.42,18.59,-8.68,2.18
IncomeGrossProfit,1370000,1538000,1494000,1273000,1868000,1299000,3359000,839000,3193000,1724000,3295000,1083000,3613000,1867000,2251000,1200000,1301000,1675000,1448000,-1193000,-3327000,726000,637000,-54000,1939000,460000,547000,-664000,1524000,1156000,3377000,974000,3240000,1687000,4210000
IncomeGrossProfit_yy,,,,,36.35,-15.54,124.83,-34.09,70.93,32.72,-1.91,29.08,13.15,8.29,-31.69,10.78,-63.98,-10.27,-35.69,-199.43,-355.71,-56.64,-55.96,95.43,158.27,-36.73,-14.25,-1119.86,-21.42,151.50,517.73,246.55,112.67,45.94,24.68
