,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,260283000,183799000,183902000,213692000,346159000,233426000,246392000,233700000,334822000,255849000,339022000,286502000,385202000,290180000,382533000,200119000,366271000,488956000,553800000,396196000,529187000,557195000,587795000,514315000,689889000,636509000,758407000,515833000,769073000,649652000,665726000
IncomeCostOfSales,206060000,147417000,157193000,189823000,321462000,198722000,213947000,195770000,320757000,234879000,289698000,259509000,327952000,263384000,345627000,169705000,351787000,466414000,508390000,367932000,671238000,517200000,507263000,467679000,641335000,579801000,700564000,449105000,666320000,587459000,597263000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,54223000,36382000,26709000,23869000,24697000,34704000,32445000,37931000,14066000,20970000,49323000,26993000,57249000,26796000,36906000,30414000,14484000,22542000,45410000,28263000,-142051000,39995000,80532000,46636000,48554000,56708000,57843000,66728000,102753000,62193000,68463000
IncomeOtherOperatingIncome,-450000,-240000,,,,,,,,,,,,,,,,,,,,,,,,,,,35774000,22445000,26202000
IncomeOtherOperatingCosts,22473000,45101000,24848000,19461000,23173000,29925000,21882000,23029000,27745000,38114000,25048000,26021000,29513000,37384000,26738000,28711000,32331000,41009000,30401000,30508000,33271000,43257000,37462000,39682000,30583000,51863000,43258000,44923000,17999000,13697000,746000
IncomeEBIT,1396000,-20404000,9856000,12983000,14757000,-15859000,-912000,26294000,-752000,19135000,1749000,10884000,901000,-22900000,-4196000,16699000,-4068000,-183060000,9594000,50024000,13365000,5297000,19246000,18161000,36146000,50890000,18935000,23540000,166000,213000,320000
IncomeFinanceIncome,370000,47000,77000,74000,67000,299000,64000,29000,84000,1978000,43000,104000,96000,283000,109000,129000,401000,222000,103000,118000,84000,104000,522000,160000,62000,51000,26000,65000,5275000,12105000,3616000
IncomeFinanceCosts,7224000,8771000,7217000,6732000,6948000,7377000,6739000,6961000,6886000,6179000,6646000,7833000,6287000,8157000,7468000,10778000,9761000,9829000,9679000,11956000,12534000,14311000,16137000,13145000,17139000,18716000,17566000,18054000,,,
IncomeOtherIncome,,,,,,,,-4000,0,,-4000,-2000,-4000,-4000,-2000,0,-2000,-17000,-2000,-5000,-2000,-32000,-6000,22000,-1141000,-1412000,336000,1757000,12891000,1805000,-2550000
IncomeNetGrossProfit,-5458000,-29128000,2715000,6325000,7877000,-22937000,-7587000,19357000,-7554000,14939000,-4859000,3153000,-5295000,-30778000,-11557000,6050000,-13430000,-192684000,15000,38181000,913000,-8941000,3625000,5197000,17927000,30814000,1730000,7308000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12891000,1805000,-2550000
IncomeBeforeTaxProfit,-5458000,-29128000,2715000,6325000,7877000,-22937000,-7587000,19357000,-7554000,14939000,-4859000,3153000,-5295000,-30778000,-11557000,6050000,-13430000,-192684000,15000,38181000,913000,-8941000,3625000,5197000,17927000,30814000,1730000,7308000,,,
IncomeDiscontinuedProfit,,,,,-7934000,-3717000,-2770000,-3079000,-52000,-2000,,,,,,,,,,,,,,,9630000,1805000,-2550000,-5485000,-1834000,2715000,-163000
IncomeNetProfit,6264000,-27199000,-10357000,16274000,-7608000,9137000,-4859000,3149000,-5295000,-31999000,-11557000,6045000,-13432000,-157347000,46000,38174000,758000,-15860000,3431000,5048000,17789000,26476000,1730000,7303000,11809000,2088000,-2925000,-3963000,4284000,619000,-845000
IncomeShareholderNetProfit,4243000,-23269000,-9562000,16296000,-6506000,5113000,-3690000,3766000,-3926000,-29645000,-9824000,3742000,-11371000,-122796000,-1220000,35651000,-97000,-15107000,1092000,3252000,13640000,21266000,-523000,4864000,,,,,,,
BalanceNoncurrentAssets,875441000,,,1072905000,999245000,1004826000,957373000,980403000,999563000,999599000,963287000,980201000,1003007000,992985000,1003392000,953232000,1037345000,1040104000,1053312000,1042734000,1073429000,1158604000,1142740000,1269629000,1303948000,1264228000,1505143000,1624645000,1640695000,1697333000,357986000
BalanceIntangibleAssets,,,430863000,405997000,415728000,401341000,398810000,407510000,422316000,411307000,404572000,406919000,405908000,407320000,415791000,398887000,409151000,413463000,413967000,414632000,429888000,418869000,429759000,409942000,410588000,418606000,404795000,408421000,423283000,,
