,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,35327000,38167000,42214000,49336000,55071000,62346000,60081000,67456000,74289000,81554000,77736000,86424000,90003000,98639000,91732000,103016000,108601000,114452000,109750000,119537000,128043000,147724000,141642000,164047000,172081000,184284000,183663000,203790000,222266000,235377000,240400000,266743000,284694000,303416000
IncomeCostOfSales,30682000,29170000,29782000,37866000,46613000,47466000,43491000,51785000,65274000,62050000,54314000,67243000,78489000,77841000,64056000,78307000,94599000,87581000,74759000,88465000,109033000,106435000,100135000,115689000,140243000,135462000,124233000,137740000,174605000,166995000,166690000,190837000,214132000,218611000
IncomeDistributionExpenses,1077000,1227000,1342000,1566000,2190000,3346000,3120000,4265000,3342000,4786000,4381000,6185000,5058000,5898000,4880000,6695000,5098000,6625000,5536000,7232000,6079000,8925000,7829000,12436000,8999000,10750000,9198000,13787000,12554000,15593000,12191000,17409000,17048000,20886000
IncomeAdministrativExpenses,1710000,2079000,1631000,4646000,1461000,2909000,2584000,4767000,2838000,5089000,3967000,5876000,4984000,6742000,6310000,12008000,5969000,7644000,8076000,10984000,8195000,12631000,9947000,20488000,12276000,15312000,14426000,25905000,16030000,22868000,18668000,30378000,24114000,27762000
IncomeGrossProfit,1858000,5691000,9459000,5258000,4807000,8625000,10886000,6639000,2835000,9629000,15074000,7120000,1472000,8158000,16486000,6006000,2935000,12602000,21379000,12856000,4736000,19733000,23731000,15434000,10563000,22760000,35806000,26358000,19077000,29921000,42851000,28119000,29400000,36157000
IncomeOtherOperatingIncome,17000,1000,79000,35000,106000,117000,94000,101000,97000,1664000,778000,121000,2009000,-234000,232000,1007000,754000,166000,140000,147000,225000,209000,252000,2177000,514000,1076000,236000,7076000,2011000,978000,1365000,4532000,1876000,5812000
IncomeOtherOperatingCosts,38000,723000,-272000,1068000,205000,314000,229000,350000,161000,327000,438000,291000,314000,155000,305000,1294000,832000,879000,-785000,267000,406000,6470000,611000,4111000,855000,1345000,1370000,7644000,2656000,2043000,1790000,954000,2743000,5910000
IncomeEBIT,1837000,4969000,9810000,4225000,4708000,8428000,10751000,6390000,2771000,10966000,15414000,6950000,3167000,7769000,16413000,5719000,2857000,11889000,22304000,12736000,4555000,13472000,23372000,13500000,10222000,22491000,34672000,25790000,18432000,28856000,42426000,31697000,28533000,36059000
IncomeFinanceIncome,63000,14000,2000,124000,198000,422000,609000,656000,716000,1377000,749000,768000,4331000,-2485000,1095000,1362000,1149000,1370000,1327000,1315000,1266000,774000,862000,824000,687000,1072000,269000,920000,646000,942000,948000,1379000,973000,4088000
IncomeFinanceCosts,296000,1000,13000,36000,30000,25000,3000,255000,46000,406000,378000,87000,3385000,-3179000,462000,470000,258000,427000,537000,449000,679000,815000,1183000,1357000,1102000,1341000,1154000,3262000,2079000,2638000,1005000,6379000,2259000,4385000
IncomeOtherIncome,,,,,,0,0,-158000,0,,443000,-809000,-151000,-502000,,-3629000,4927000,354000,629000,2423000,828000,553000,391000,7803000,603000,1182000,-132000,1413000,574000,-1181000,1604000,4982000,9799000,4313000
IncomeNetGrossProfit,4876000,8825000,11357000,6633000,3441000,11937000,16228000,6822000,3962000,7961000,17699000,6611000,3748000,12832000,23094000,9973000,10069000,13785000,23680000,15390000,10635000,22775000,34178000,31251000,17602000,28342000,42237000,28110000,27821000,34581000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604000,4982000,9799000,4313000
IncomeBeforeTaxProfit,4876000,8825000,11357000,6633000,3441000,11937000,16228000,6822000,3962000,7961000,17699000,6611000,3748000,12832000,23094000,9973000,10069000,13785000,23680000,15390000,10635000,22775000,34178000,31251000,17602000,28342000,42237000,28110000,27821000,34581000,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003000,2131000,8364000,3004000
IncomeNetProfit,3791000,7173000,8952000,17229000,2302000,9674000,12157000,4982000,2853000,6182000,12648000,4051000,2548000,9129000,17641000,9229000,7754000,10433000,18537000,11935000,8316000,16688000,25881000,24708000,13925000,22402000,32548000,17833000,21642000,24562000,3003000,2133000,8363000,3007000
IncomeShareholderNetProfit,3799000,7168000,8949000,17230000,2363000,9811000,12179000,5039000,2924000,6179000,12649000,4495000,2709000,9176000,17670000,9008000,7754000,10515000,18595000,12228000,8620000,17450000,27170000,27279000,14093000,23140000,32870000,18000000,21704000,24279000,,,,
