,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,85943000,84675000,71680000,72907000,78869000,78718000,81942000,102203000,113830000,118601000,113083000,119023000,115092000,116630000,102786000,99558000,88891000,70493000,84105000,70518000,74289000,70593000,61138000,59343000,65533000,65758000,70857000,85278000,65023000,59506000,61837000,61623000,63071000,57773000,52179000,50321000,58566000,50983000,49263000,58872000,60349000,62039000,49655000,62256000,62469000,58576000,53612000,69449000,67488000,65101000,70269000,74186000,88967000,93431000,92082000
IncomeRevenues_yy,,,,,-8.23,-7.04,14.32,40.18,44.33,50.67,38.00,16.46,1.11,-1.66,-9.11,-16.35,-22.77,-39.56,-18.17,-29.17,-16.43,0.14,-27.31,-15.85,-11.79,-6.85,15.90,43.70,-0.78,-9.51,-12.73,-27.74,-3.00,-2.91,-15.62,-18.34,-7.14,-11.75,-5.59,16.99,3.04,21.69,0.80,5.75,3.51,-5.58,7.97,11.55,8.03,11.14,31.07,6.82,31.83,43.52,31.04
IncomeRevenues_sy,,,,,4.60,18.64,2.50,8.28,44.33,30.55,29.30,37.24,13.94,11.44,17.92,3.05,-8.82,0.16,-3.18,-9.53,-2.84,-3.50,17.77,15.21,21.65,10.32,11.86,13.64,7.99,4.76,-7.34,-5.72,-9.79,-4.06,-3.12,0.29,7.52,-5.84,-3.02,-1.30,1.99,4.55,2.46,-4.82,2.73,3.65,0.15,10.97,10.84,8.17,8.92,6.62,7.89,7.27,31.04
IncomeRevenues_qq,,-1.48,-15.35,1.71,8.18,-0.19,4.10,24.73,11.38,4.19,-4.65,5.25,-3.30,1.34,-11.87,-3.14,-10.71,-20.70,19.31,-16.15,5.35,-4.98,-13.39,-2.94,10.43,0.34,7.75,20.35,-23.75,-8.48,3.92,-0.35,2.35,-8.40,-9.68,-3.56,16.38,-12.95,-3.37,19.51,2.51,2.80,-19.96,25.38,0.34,-6.23,-8.47,29.54,-2.82,-3.54,7.94,5.57,19.92,5.02,-1.44
IncomeRevenues_sq,,28.38,38.78,-12.38,-15.28,29.20,24.98,-8.80,13.16,23.69,19.48,5.08,-6.36,29.60,9.48,-9.11,-20.79,32.42,16.96,-16.15,-18.31,31.46,15.03,-19.95,-12.09,45.80,9.19,-15.94,-13.88,16.16,3.14,-16.12,-9.82,32.26,5.54,-20.16,0.16,20.59,2.31,-20.64,-4.62,19.87,6.17,-23.60,2.58,17.34,4.68,-14.71,2.76,6.55,9.34,-17.77,13.99,5.02,-1.44
IncomeCostOfSales,75421000,74115000,61904000,63279000,70848000,68480000,71203000,86766000,97002000,98301000,96073000,103324000,94721000,98110000,88989000,94327000,71985000,66881000,70004000,71961000,65476000,62330000,45006000,53408000,56206000,56812000,58646000,66875000,52737000,48573000,49881000,49547000,49577000,44645000,40202000,39780000,46712000,40149000,39171000,45961000,47523000,47786000,40041000,48977000,49505000,46214000,42497000,55192000,53605000,52115000,54553000,56470000,66381000,67880000,69279000
IncomeCostOfSales_yy,,,,,-6.06,-7.60,15.02,37.12,36.92,43.55,34.93,19.08,-2.35,-0.19,-7.37,-8.71,-24.00,-31.83,-21.33,-23.71,-9.04,-6.80,-35.71,-25.78,-14.16,-8.85,30.31,25.22,-6.17,-14.50,-14.95,-25.91,-5.99,-8.09,-19.40,-19.71,-5.78,-10.07,-2.56,15.54,1.74,19.02,2.22,6.56,4.17,-3.29,6.13,12.69,8.28,12.77,28.37,2.32,23.83,30.25,26.99
IncomeCostOfSales_sy,,,,,-2.12,20.88,2.81,12.67,38.34,35.41,16.04,26.59,5.31,8.84,21.73,15.26,-6.00,1.90,-0.13,5.64,4.50,-1.98,11.69,11.04,21.96,11.62,10.10,5.38,2.89,3.44,-4.96,-7.10,-7.59,-6.58,-4.09,-6.80,6.98,-8.21,-4.03,-2.88,-1.80,1.26,8.21,-15.19,4.17,7.24,-2.33,12.69,5.78,12.77,10.00,8.10,10.81,4.79,26.99
IncomeCostOfSales_qq,,-1.73,-16.48,2.22,11.96,-3.34,3.98,21.86,11.80,1.34,-2.27,7.55,-8.33,3.58,-9.30,6.00,-23.69,-7.09,4.67,2.80,-9.01,-4.80,-27.79,18.67,5.24,1.08,3.23,14.03,-21.14,-7.90,2.69,-0.67,0.06,-9.95,-9.95,-1.05,17.43,-14.05,-2.44,17.33,3.40,0.55,-16.21,22.32,1.08,-6.65,-8.04,29.87,-2.88,-2.78,4.68,3.51,17.55,2.26,2.06
IncomeCostOfSales_sq,,15.03,40.19,-14.62,-10.30,28.80,20.63,-5.64,13.02,22.91,9.33,6.74,-6.96,30.30,12.80,-2.64,-23.36,39.04,15.38,-11.52,-27.15,41.16,14.88,-14.62,-9.36,16.85,9.80,-18.16,-13.09,15.86,2.44,-21.16,-8.06,30.41,4.15,-18.51,-0.86,24.12,4.73,-14.53,-15.33,24.30,7.45,-21.42,0.26,29.01,0.31,-8.46,-2.88,7.07,7.95,-13.40,10.76,7.66,2.06
IncomeDistributionExpenses,4148000,1309000,4231000,5035000,4564000,3252000,4674000,7095000,5751000,7088000,3423000,7293000,5946000,7090000,4159000,6729000,3283000,5835000,9109000,2963000,5929000,4925000,10055000,7286000,5300000,6637000,4352000,5769000,5773000,4661000,4866000,6123000,5893000,3967000,4066000,4313000,3726000,3474000,3052000,3979000,4124000,4779000,3247000,4907000,4388000,4352000,3396000,5211000,4160000,4538000,5172000,5476000,5501000,6038000,6060000
IncomeDistributionExpenses_yy,,,,,10.03,148.43,10.47,40.91,26.01,117.96,-26.77,2.79,3.39,0.03,21.50,-7.73,-44.79,-17.70,119.02,-55.97,80.60,-15.60,10.39,145.90,-10.61,34.76,-56.72,-20.82,8.92,-29.77,11.81,6.14,2.08,-14.89,-16.44,-29.56,-36.77,-12.43,-24.94,-7.74,10.68,37.56,6.39,23.32,6.40,-8.93,4.59,6.20,-5.20,4.27,52.30,5.09,32.24,33.05,17.17
IncomeDistributionExpenses_sy,,,,,14.16,90.76,9.78,5.58,32.87,20.08,37.80,22.17,12.94,40.02,21.50,-7.73,-2.82,6.15,-4.41,1.27,-1.83,3.99,10.39,41.84,15.00,3.37,10.30,9.31,7.08,4.36,-2.62,6.43,-3.70,-2.82,1.81,-1.80,10.90,4.31,-13.84,-8.18,-11.77,-6.26,2.79,5.79,0.18,21.48,17.06,3.20,13.68,6.49,5.90,11.68,6.93,-3.06,17.17
IncomeDistributionExpenses_qq,,-68.44,223.22,19.00,-9.35,-28.75,43.73,51.80,-18.94,23.25,-51.71,113.06,-18.47,19.24,-41.34,61.79,-51.21,77.73,56.11,-67.47,100.10,-16.93,104.16,-27.54,-27.26,25.23,-34.43,32.56,0.07,-19.26,4.40,25.83,-3.76,-32.68,2.50,6.07,-13.61,-6.76,-12.15,30.37,3.64,15.88,-32.06,51.12,-10.58,-0.82,-21.97,53.45,-20.17,9.09,13.97,5.88,0.46,9.76,0.36
