,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,54731000,69047000,51411000,55350000,53379000,74006000,67419000,98019000,129216000,126660000,60598000,85749000,107917000,122899000,56058000,94588000,112630000,206374000,95576000,120632000,154288000,145113000,65975000,54815000,48164000,24334000,23351000,24241000,34116000,24352000,17432000,19167000,28570000,24239000,18210000,18516000,17936000,20666000,8379000,9077000,16478000,17611000,9000000,15870000,17522000,15654000,10226000,12112000
IncomeRevenues_yy,,,,,-2.47,7.18,31.14,77.09,142.07,71.15,-10.12,-12.52,-16.48,-2.97,-7.49,10.31,4.37,67.92,70.49,27.53,36.99,-29.68,-30.97,-54.56,-68.78,-83.23,-64.61,-55.78,-29.17,0.07,-25.35,-20.93,-16.26,-0.46,4.46,-3.40,-37.22,-14.74,-53.99,-50.98,-8.13,-14.78,7.41,74.84,6.34,-11.11,13.62,-23.68
IncomeRevenues_sy,,,,,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,26.16,-25.54,7.66,-3.56,38.64,-8.90,45.39,31.83,-1.98,-52.16,41.50,25.85,13.88,-54.39,68.73,19.07,83.23,-53.69,26.22,27.90,-5.95,-54.54,-16.92,-12.13,-49.48,-4.04,3.81,40.74,-28.62,-28.42,9.95,49.06,-15.16,-24.87,1.68,-3.13,15.22,-59.46,8.33,81.54,6.88,-48.90,76.33,10.41,-10.66,-34.67,18.44
IncomeRevenues_sq,,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,49924000,62322000,46529000,49413000,-239567000,356873000,59810000,89987000,115304000,111590000,56712000,79317000,96041000,108715000,51080000,86172000,103505000,187482000,96399000,120388000,150154000,148662000,82565000,55753000,48846000,15952000,21517000,30543000,29907000,20677000,16045000,17544000,26677000,26135000,18014000,18875000,18319000,19356000,9188000,9796000,16139000,16837000,8474000,15304000,16511000,15853000,9757000,11620000
IncomeCostOfSales_yy,,,,,-579.86,472.63,28.54,82.11,148.13,-68.73,-5.18,-11.86,-16.71,-2.58,-9.93,8.64,7.77,72.45,88.72,39.71,45.07,-20.71,-14.35,-53.69,-67.47,-89.27,-73.94,-45.22,-38.77,29.62,-25.43,-42.56,-10.80,26.40,12.27,7.59,-31.33,-25.94,-49.00,-48.10,-11.90,-13.01,-7.77,56.23,2.30,-5.84,15.14,-24.07
IncomeCostOfSales_sy,,,,,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,24.83,-25.34,6.20,-584.83,248.97,-83.24,50.45,28.13,-3.22,-49.18,39.86,21.09,13.20,-53.01,68.70,20.11,81.13,-48.58,24.89,24.73,-0.99,-44.46,-32.47,-12.39,-67.34,34.89,41.95,-2.08,-30.86,-22.40,9.34,52.06,-2.03,-31.07,4.78,-2.95,5.66,-52.53,6.62,64.75,4.32,-49.67,80.60,7.89,-3.99,-38.45,19.09
IncomeCostOfSales_sq,,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
IncomeDistributionExpenses,1000,2000,0,0,1000,277000,75000,408000,271000,272000,228000,201000,274000,411000,327000,452000,524000,644000,600000,584000,762000,694000,353000,453000,440000,294000,162000,227000,255000,227000,111000,377000,345000,18000,173000,205000,205000,530000,114000,131000,142000,105000,129000,95000,169000,132000,96000,177000
IncomeDistributionExpenses_yy,,,,,,13750.00,,,27000.00,-1.81,204.00,-50.74,1.11,51.10,43.42,124.88,91.24,56.69,83.49,29.20,45.42,7.76,-41.17,-22.43,-42.26,-57.64,-54.11,-49.89,-42.05,-22.79,-31.48,66.08,35.29,-92.07,55.86,-45.62,-40.58,2844.44,-34.10,-36.10,-30.73,-80.19,13.16,-27.48,19.01,25.71,-25.58,86.32
