,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,886000,1736000,3644000,4511000,3264000,3539000,4141000,6816000,5455000,6703000,8449000,10268000,7402000,9508000,9580000,10059000,7625000,8041000,6010000,6812000,7543000,6638000,6487000,6250000,5363000,5530000,5684000,8329000,4734000,4775000,5140000,6173000,4928000,9121000,7083000,11458000,6876000,11056000,9342000,12411000,9713000,10112000,9908000,14934000,12296000,15540000,13197000,15446000,11333000,15961000,13974000,13081000,10198000,7877000
IncomeCostOfSales,970000,1774000,2234000,3513000,2534000,2334000,2760000,3710000,3354000,3931000,5524000,5664000,4404000,5661000,5989000,5823000,4982000,4723000,3369000,4218000,5844000,4498000,4308000,2883000,2651000,2527000,2344000,4298000,2352000,1924000,2356000,3409000,1780000,2953000,2574000,124000,3408000,2446000,3124000,10197000,4879000,3743000,5347000,5801000,5261000,6274000,5569000,12303000,5194000,8039000,6873000,6905000,5831000,4128000
IncomeDistributionExpenses,105000,461000,792000,1490000,1142000,1458000,1603000,2563000,2092000,2422000,2740000,3770000,2929000,3408000,2960000,3905000,2912000,3082000,2597000,3040000,2725000,3112000,2628000,2805000,2147000,2300000,2556000,3087000,2490000,2467000,2528000,2745000,2300000,4824000,3665000,9306000,2599000,7686000,7661000,8154000,4086000,5056000,4335000,5646000,5714000,7172000,6552000,8627000,6806000,9098000,8241000,7211000,5985000,5070000
IncomeAdministrativExpenses,363000,887000,767000,982000,570000,979000,698000,1162000,746000,1038000,697000,1315000,815000,1486000,751000,1323000,988000,1312000,867000,806000,862000,839000,683000,846000,664000,702000,723000,817000,550000,666000,565000,657000,680000,707000,626000,1165000,813000,997000,-1418000,994000,36000,423000,238000,3031000,1640000,680000,795000,340000,1121000,1569000,1614000,4495000,2310000,1647000
IncomeGrossProfit,-552000,-1386000,-149000,-1474000,-982000,-1232000,-920000,-619000,-737000,-688000,-512000,-481000,-746000,-1047000,-120000,-992000,-1257000,-1076000,-823000,-1252000,-1888000,-1811000,-1132000,-284000,-99000,1000,61000,127000,-658000,-282000,-309000,-638000,168000,637000,218000,863000,56000,-73000,-25000,-6934000,712000,890000,-12000,456000,-319000,1414000,281000,-5824000,-1788000,-2745000,-2754000,-5529000,-3928000,-2968000
IncomeOtherOperatingIncome,27000,520000,77000,468000,28000,11000,1015000,142000,531000,191000,262000,902000,246000,162000,638000,1910000,675000,1872000,2021000,699000,758000,497000,214000,5707000,397000,101000,288000,203000,186000,275000,159000,6911000,595000,-319000,142000,1178000,38000,1662000,440000,636000,66000,417000,442000,4006000,1525000,669000,905000,-1610000,262000,83000,831000,-717000,329000,552000
IncomeOtherOperatingCosts,56000,138000,-6000,501000,134000,989000,213000,1168000,878000,770000,205000,2820000,277000,30000,108000,2572000,497000,1565000,754000,1044000,704000,383000,199000,224000,292000,151000,186000,211000,172000,245000,218000,4400000,491000,-418000,76000,868000,21000,1884000,418000,1508000,245000,201000,25000,3990000,1240000,575000,795000,-1570000,359000,2402000,691000,42775000,56000,1477000
IncomeEBIT,-581000,-1004000,-66000,-1507000,-1088000,-2210000,-118000,-1645000,-1084000,-1267000,-455000,-2399000,-777000,-915000,410000,-1654000,-1079000,-769000,444000,-1597000,-1834000,-1697000,-1117000,5199000,6000,-49000,163000,119000,-644000,-252000,-368000,1873000,272000,736000,284000,1173000,73000,-295000,-3000,-7806000,533000,1106000,405000,472000,-34000,1508000,391000,-5864000,-1885000,-5064000,-2614000,-49021000,-3655000,-3893000
IncomeFinanceIncome,120000,101000,55000,-12000,1000,161000,121000,55000,51000,805000,1000,-727000,-23000,544000,-69000,551000,4000,5000,117000,11000,1000,38000,124000,55000,37000,23000,-4000,2000,1000,0,58000,67000,63000,255000,1537000,1254000,18000,587000,15000,-462000,60000,-6000,0,79000,42000,566000,80000,320000,22000,89000,-47000,25000,16000,-3000
IncomeFinanceCosts,281000,227000,-2000,91000,10000,334000,37000,345000,39000,279000,53000,214000,58000,1024000,-796000,1150000,200000,-1000,56000,28000,95000,689000,-137000,30000,4000,10000,151000,112000,34000,63000,27000,280000,42000,460000,271000,405000,83000,343000,39000,605000,144000,261000,280000,488000,330000,341000,389000,473000,397000,2293000,370000,615000,634000,748000
IncomeOtherIncome,,,124000,73000,78000,137000,5000,-2847000,755000,249000,-827000,-144000,-187000,-248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-742000,-1130000,115000,-1537000
IncomeNetGrossProfit,-1019000,-2246000,-29000,-4782000,-317000,-492000,-1334000,-3484000,-1045000,-1208000,889000,-2005000,-1275000,-763000,505000,-1614000,-1928000,-2348000,-856000,5224000,39000,-36000,8000,9000,-677000,-315000,-337000,1660000,293000,531000,1550000,2022000,8000,-51000,-27000,-8873000,449000,839000,125000,63000,-322000,1733000,82000,-6017000,-2260000,-7268000,-3031000,-49611000,-4273000,-4644000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-742000,-1130000,115000,-1537000
IncomeBeforeTaxProfit,-1019000,-2246000,-29000,-4782000,-317000,-492000,-1334000,-3484000,-1045000,-1208000,889000,-2005000,-1275000,-763000,505000,-1614000,-1928000,-2348000,-856000,5224000,39000,-36000,8000,9000,-677000,-315000,-337000,1660000,293000,531000,1550000,2022000,8000,-51000,-27000,-8873000,449000,839000,125000,63000,-322000,1733000,82000,-6017000,-2260000,-7268000,-3031000,-49611000,-4273000,-4644000,,,,
IncomeDiscontinuedProfit,,,,,,,,0,,0,0,-1782000,0,-99000,-35000,-7000,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-742000,-1130000,115000,-1537000,-1019000,-2303000,-29000,-4836000
IncomeNetProfit,-317000,-531000,-1334000,-3503000,-1045000,-1225000,885000,-3802000,-1275000,-778000,470000,-1575000,-1932000,-2344000,-856000,5249000,39000,-36000,8000,18000,-677000,-315000,-337000,1604000,293000,481000,1268000,2524000,8000,-406000,-27000,-8389000,-298000,198000,6000,258000,776000,1562000,45000,-5182000,-2306000,-6737000,-3297000,-52164000,-4281000,-4548000,-742000,-1130000,115000,-1537000,-1019000,-2303000,-29000,-4836000
IncomeShareholderNetProfit,-317000,-531000,-1334000,-3503000,-1045000,-1225000,885000,-3802000,-1275000,-778000,470000,-1575000,-1932000,-2344000,-856000,5249000,39000,-36000,8000,18000,-677000,-315000,-337000,1604000,287000,472000,1174000,2495000,8000,-408000,-27000,-8387000,-290000,187000,4000,261000,774000,1562000,46000,-5189000,-2299000,-6698000,-3292000,-52215000,-4281000,-4548000,,,,,,,,
BalanceNoncurrentAssets,4036000,4703000,4553000,5417000,5170000,5675000,8468000,9549000,9939000,10267000,10014000,9757000,7820000,7845000,7931000,8796000,8458000,8361000,13157000,12807000,12608000,11535000,11453000,11544000,12932000,16644000,50852000,42999000,46721000,50523000,50915000,51283000,52057000,48279000,47264000,46567000,46769000,49278000,51557000,50814000,51283000,51926000,55516000,52077000,51440000,9745000,9630000,2107000,1000,64000,64000,78000,66000,57000
BalanceIntangibleAssets,76000,71000,69000,52000,54000,44000,22000,27000,17000,33000,28000,22000,11000,7000,4000,0,0,0,0,25126000,23085000,23040000,25126000,25079000,25485000,25486000,25416000,25370000,27526000,27601000,25873000,25713000,27811000,27778000,27977000,31494000,28551000,28483000,1820000,1755000,4035000,4639000,4419000,5289000,5071000,5441000,8215000,8421000,8724000,9034000,8764000,8513000,6661000,6524000
BalanceProperty,6585000,7195000,6915000,6606000,11204000,10954000,10748000,10763000,10681000,10772000,12160000,13670000,19640000,16938000,18444000,19311000,19751000,20173000,21130000,16983000,16865000,14835000,15148000,17976000,18758000,18064000,18504000,19582000,19721000,19150000,18839000,6856000,6858000,1302000,,,,,,,,603000,692000,,890000,905000,909000,999000,1156000,1241000,1163000,1110000,1328000,1179000
BalanceNoncurrentReceivables,1083000,1093000,,,,,,,,,,,,,,3066000,3099000,1509000,1595000,70000,71000,72000,73000,,,70000,50000,33000,177000,177000,454000,454000,291000,291000,291000,138000,138000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,,,,,1000,1000
BalanceNoncurrInvestments,1000,1000,1000,4000,2000,2000,1000,2000,2000,2000,2000,2000,,,,,,,,,,,,,,,,0,0,,,317000,317000,317000,675000,675000,675000,684000,684000,684000,684000,2974000,6086000,2976000,5237000,6086000,6085000,5625000,5441000,5879000,5028000,4205000,4019000,2362000
BalanceOtherNoncurrentAssets,3983000,3428000,3404000,4296000,4228000,4302000,4043000,1067000,1015000,805000,2093000,11481000,11152000,10065000,9404000,27837000,25529000,22195000,23062000,17182000,15569000,15638000,15937000,15236000,12336000,18679000,16115000,16362000,16560000,17500000,17560000,23315000,22433000,21415000,21346000,12370000,32474000,25386000,32006000,32474000,32020000,34207000,32318000,14720000,13395000,18564000,20874000,19540000,20195000,22153000,24481000,24555000,24748000,18116000
BalanceCurrentAssets,17142000,18419000,14425000,9232000,1187000,2365000,4018000,4104000,4119000,5468000,7454000,9710000,12538000,12038000,11702000,11699000,12086000,13196000,10842000,16461000,14435000,12687000,15176000,15785000,15958000,19207000,19075000,19456000,19797000,10028000,17363000,12115000,13202000,17363000,20349000,23562000,23277000,5169000,5433000,6478000,6424000,11114000,11892000,15829000,16030000,15290000,16941000,13943000,13122000,12138000,9861000,3125000,887000,1775000
BalanceInventory,3724000,4802000,4602000,3988000,4738000,3921000,3100000,2605000,1974000,2342000,1598000,1025000,709000,1248000,830000,2534000,804000,914000,910000,3471000,2830000,1293000,1150000,1876000,4247000,4927000,4055000,4247000,4502000,4891000,5633000,5987000,5620000,8926000,13109000,4580000,6140000,4421000,5088000,5889000,5392000,2456000,2432000,3678000,3410000,3851000,,,1445000,445000,22000,22000,22000,7000
