,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,19622000,20865000,19772000,17604000,19317000,20237000,21872000,19563000,22491000,22069000,21495000,20006000,46606000,56890000,59654000,52468000,50620000,50693000,48215000,44740000,51817000,50076000,49337000,45192000,58076000,61558000,60449000,59086000,73066000,71414000,71786000,60903000,76009000,75158000,76327000,64377000,77331000,80763000,78508000,69733000,83720000,83136000,90679000,119602000,147473000,150857000,138077000,131844000,156425000,157656000,150553000,152848000,178914000,182407000,179680000
IncomeRevenues_yy,,,,,-1.55,-3.01,10.62,11.13,16.43,9.05,-1.72,2.26,107.22,157.78,177.53,162.26,8.61,-10.89,-19.18,-14.73,2.36,-1.22,2.33,1.01,12.08,22.93,22.52,30.74,25.81,16.01,18.75,3.08,4.03,5.24,6.33,5.70,1.74,7.46,2.86,8.32,8.26,2.94,15.50,71.51,76.15,81.46,52.27,10.24,6.07,4.51,9.04,15.93,14.38,15.70,19.35
IncomeRevenues_sy,,,,,35.28,48.79,17.95,26.68,22.89,19.42,12.64,12.68,9.37,9.93,0.66,3.49,-19.80,-14.82,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35,7.76
IncomeRevenues_qq,,6.33,-5.24,-10.97,9.73,4.76,8.08,-10.56,14.97,-1.88,-2.60,-6.93,132.96,22.07,4.86,-12.05,-3.52,0.14,-4.89,-7.21,15.82,-3.36,-1.48,-8.40,28.51,6.00,-1.80,-2.25,23.66,-2.26,0.52,-15.16,24.80,-1.12,1.56,-15.66,20.12,4.44,-2.79,-11.18,20.06,-0.70,9.07,31.90,23.30,2.29,-8.47,-4.51,18.64,0.79,-4.51,1.52,17.05,1.95,-1.50
IncomeRevenues_sq,,10.45,15.71,2.95,11.49,5.44,9.18,-6.28,13.35,3.62,2.81,-6.58,8.02,4.32,-0.18,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52,4.95
IncomeCostOfSales,14971000,14733000,15074000,13087000,14761000,14529000,16680000,15176000,17579000,16738000,16897000,15965000,39193000,45731000,50060000,44085000,40095000,40239000,40353000,37428000,42348000,40543000,38897000,36799000,45508000,47557000,46997000,47221000,54504000,54514000,56159000,48333000,59489000,56425000,58174000,49196000,58241000,59796000,60015000,53024000,63583000,63749000,72548000,94422000,111652000,112938000,105569000,105457000,121875000,125097000,120039000,121919000,139864000,140093000,136926000
IncomeCostOfSales_yy,,,,,-1.40,-1.38,10.65,15.96,19.09,15.20,1.30,5.20,122.95,173.22,196.27,176.14,2.30,-12.01,-19.39,-15.10,5.62,0.76,-3.61,-1.68,7.46,17.30,20.82,28.32,19.77,14.63,19.49,2.35,9.15,3.51,3.59,1.79,-2.10,5.97,3.16,7.78,9.17,6.61,20.88,78.07,75.60,77.16,45.52,11.69,9.16,10.77,13.71,15.61,14.76,11.99,14.07
IncomeCostOfSales_sy,,,,,21.36,14.80,12.31,25.76,20.66,16.67,13.74,13.24,12.79,15.89,4.96,0.20,-17.44,-17.84,-20.42,-4.28,-1.58,13.06,28.41,27.44,34.70,26.88,26.06,14.72,14.73,9.38,0.67,-1.58,-10.53,-1.52,0.30,2.70,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94,-6.03
IncomeCostOfSales_qq,,-1.59,2.31,-13.18,12.79,-1.57,14.80,-9.02,15.83,-4.78,0.95,-5.52,145.49,16.68,9.47,-11.94,-9.05,0.36,0.28,-7.25,13.15,-4.26,-4.06,-5.39,23.67,4.50,-1.18,0.48,15.42,0.02,3.02,-13.94,23.08,-5.15,3.10,-15.43,18.39,2.67,0.37,-11.65,19.91,0.26,13.80,30.15,18.25,1.15,-6.52,-0.11,15.57,2.64,-4.04,1.57,14.72,0.16,-2.26
IncomeCostOfSales_sq,,10.70,8.98,-0.06,12.33,2.74,11.50,-8.14,8.44,2.72,4.77,3.69,-0.34,6.49,1.51,-19.82,-8.75,0.64,3.58,1.75,9.64,6.32,8.59,3.55,10.69,2.71,3.12,6.31,9.92,-0.93,1.40,-2.52,2.43,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26,3.18
