,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,16879000,22312000,28582000,41448000,26803000,21559000,26172000,37014000,19262000,26621000
IncomeRevenues_yy,,,,,58.79,-3.37,-8.43,-10.70,-28.13,23.48
IncomeRevenues_sy,,,,,-19.28,-2.78,-5.57,-2.78,-3.83,-4.68
IncomeRevenues_qq,,32.19,28.10,45.01,-35.33,-19.56,21.40,41.43,-47.96,38.20
IncomeRevenues_sq,,1.14,8.42,-4.41,-3.96,-3.69,5.35,18.86,-6.87,-0.15
IncomeCostOfSales,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,
IncomeGrossProfit,2096000,3120000,4650000,7920000,2749000,937000,2740000,5187000,1737000,2662000
IncomeGrossProfit_yy,,,,,31.15,-69.97,-41.08,-34.51,-36.81,184.10
IncomeGrossProfit_sy,,,,,-26.96,-65.74,-41.08,27.82,9.86,50.55
IncomeGrossProfit_qq,,48.85,49.04,70.32,-65.29,-65.91,192.42,89.31,-66.51,53.25
IncomeGrossProfit_sq,,-18.80,8.62,-128.39,52.40,-10.60,45.45,-99.92,127.59,9.38
IncomeOtherOperatingIncome,8000,47000,28000,41000,19000,73000,136000,220000,4000,196000
IncomeOtherOperatingIncome_yy,,,,,137.50,55.32,385.71,436.59,-78.95,168.49
IncomeOtherOperatingIncome_sy,,,,,-19.46,73.96,-13.85,81.47,3.81,-39.49
IncomeOtherOperatingIncome_qq,,487.50,-40.43,46.43,-53.66,284.21,86.30,61.76,-98.18,4800.00
IncomeOtherOperatingIncome_sq,,2.05,-39.70,46.43,-49.52,236.95,-60.06,352.67,-69.37,28.70
IncomeOtherOperatingCosts,12000,30000,43000,908000,21000,20000,169000,217000,55000,33000
IncomeOtherOperatingCosts_yy,,,,,75.00,-33.33,293.02,-76.10,161.90,65.00
IncomeOtherOperatingCosts_sy,,,,,-45.84,-22.08,18.29,-24.84,122.29,67.60
IncomeOtherOperatingCosts_qq,,150.00,43.33,2011.63,-97.69,-4.76,745.00,28.40,-74.65,-40.00
IncomeOtherOperatingCosts_sq,,32.60,-23.44,2011.63,-97.35,56.46,18.92,62.91,-42.79,-8.68
IncomeEBIT,2092000,3137000,4635000,7053000,2747000,990000,2707000,5190000,1686000,2825000
IncomeEBIT_yy,,,,,31.31,-68.44,-41.60,-26.41,-38.62,185.35
IncomeEBIT_sy,,,,,-75.91,-19.42,-6.57,85.61,2.68,9.10
IncomeEBIT_qq,,49.95,47.75,52.17,-61.05,-63.96,173.43,91.73,-67.51,67.56
IncomeEBIT_sq,,-22.46,8.63,-398.83,92.06,-15.54,100.00,-19.10,-10.68,13.67
IncomeFinanceIncome,,1000,0,,42000,684000,192000,-687000,62000,874000
IncomeFinanceIncome_yy,,,,,,68300.00,,,47.62,27.78
IncomeFinanceIncome_sy,,,,,,86.27,,,33.33,33.33
IncomeFinanceIncome_qq,,,-100.00,,,1528.57,-71.93,-457.81,109.02,1309.68
IncomeFinanceIncome_sq,,,44.41,,,-9.40,4.81,-129.38,-38.46,274.70
IncomeFinanceCosts,180000,232000,160000,723000,263000,295000,243000,192000,150000,71000
IncomeFinanceCosts_yy,,,,,46.11,27.16,51.88,-73.44,-42.97,-75.93
IncomeFinanceCosts_sy,,,,,-23.93,-23.45,11.76,-60.79,-34.43,-1.81
IncomeFinanceCosts_qq,,28.89,-31.03,351.87,-63.62,12.17,-17.63,-20.99,-21.88,-52.67
IncomeFinanceCosts_sq,,18.94,-8.84,194.94,-50.86,2.56,0.09,-20.99,-21.88,-0.76
IncomeOtherIncome,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,
IncomeNetGrossProfit,1912000,2906000,4475000,6329000,2526000,1379000,2656000,4311000,1598000,3628000
IncomeNetGrossProfit_yy,,,,,32.11,-52.55,-40.65,-31.88,-36.74,163.09
IncomeNetGrossProfit_sy,,,,,-70.16,50.74,-31.03,60.30,-36.74,26.15
IncomeNetGrossProfit_qq,,51.99,53.99,41.43,-60.09,-45.41,92.60,62.31,-62.93,127.03
IncomeNetGrossProfit_sq,,-7.15,51.05,-544.19,89.90,-19.90,92.60,-10.56,-14.62,17.71
IncomeExtraordinarProfit,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,
IncomeBeforeTaxProfit,1912000,2906000,4475000,6329000,2526000,1379000,2656000,4311000,1598000,3628000
IncomeBeforeTaxProfit_yy,,,,,32.11,-52.55,-40.65,-31.88,-36.74,163.09
IncomeBeforeTaxProfit_sy,,,,,-70.16,50.74,-31.03,60.30,-36.74,26.15
IncomeBeforeTaxProfit_qq,,51.99,53.99,41.43,-60.09,-45.41,92.60,62.31,-62.93,127.03
IncomeBeforeTaxProfit_sq,,-7.15,51.05,-544.19,89.90,-19.90,92.60,-10.56,-14.62,17.71
IncomeDiscontinuedProfit,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,
IncomeNetProfit,1528000,2320000,3578000,4812000,2120000,1496000,2108000,3425000,1272000,2934000
IncomeNetProfit_yy,,,,,38.74,-35.52,-41.08,-28.82,-40.00,96.12
IncomeNetProfit_sy,,,,,-73.34,25.62,-24.32,-16.63,-40.00,-15.00
IncomeNetProfit_qq,,51.83,54.22,34.49,-55.94,-29.43,40.91,62.48,-62.86,130.66
IncomeNetProfit_sq,,-14.78,66.59,-560.71,89.92,-9.40,40.91,-78.25,7.04,30.61
IncomeShareholderNetProfit,1530000,2322000,3579000,4817000,2121000,1498000,2110000,3427000,1274000,2954000
IncomeShareholderNetProfit_yy,,,,,38.63,-35.49,-41.04,-28.86,-39.93,97.20
IncomeShareholderNetProfit_sy,,,,,-73.34,25.62,-24.32,-16.65,-39.93,-15.00
IncomeShareholderNetProfit_qq,,51.76,54.13,34.59,-55.97,-29.37,40.85,62.42,-62.82,131.87
IncomeShareholderNetProfit_sq,,-14.78,66.54,-560.71,90.24,-9.37,40.85,-78.25,7.04,30.61
BalanceNoncurrentAssets,1306000,1197000,1236000,2004000,2156000,2280000,2340000,2164000,2415000,5238000
BalanceNoncurrentAssets_yy,,,,,65.08,90.48,89.32,7.98,12.01,129.74
BalanceNoncurrentAssets_sy,,,,,-8.06,-4.58,-7.59,-5.43,-2.28,1.22
BalanceNoncurrentAssets_qq,,-8.35,3.26,62.14,7.58,5.75,2.63,-7.52,11.60,116.89
BalanceNoncurrentAssets_sq,,-2.68,-1.35,-3.72,-1.62,-0.32,-0.30,-3.78,-0.65,1.33
BalanceIntangibleAssets,3000,3000,2000,7000,5000,4000,3000,1000,421000,1054000
BalanceIntangibleAssets_yy,,,,,66.67,33.33,50.00,-85.71,8320.00,26250.00
BalanceIntangibleAssets_sy,,,,,-19.81,-22.13,-23.13,-21.14,-2.28,-3.76
BalanceIntangibleAssets_qq,,,-33.33,250.00,-28.57,-20.00,-25.00,-66.67,42000.00,150.36
BalanceIntangibleAssets_sq,,,-3.41,-6.34,-4.07,-6.54,-10.48,-0.64,-1.76,-1.18
BalanceProperty,1215000,1074000,1099000,1178000,1235000,1358000,1385000,1366000,1300000,3440000
BalanceProperty_yy,,,,,1.65,26.44,26.02,15.96,5.26,153.31
BalanceProperty_sy,,,,,-0.52,-1.32,-2.19,-0.98,2.87,10.13
BalanceProperty_qq,,-11.60,2.33,7.19,4.84,9.96,1.99,-1.37,-4.83,164.62
BalanceProperty_sq,,-1.48,-1.34,-0.24,-1.74,-2.36,-0.70,-0.54,-1.43,1.98
BalanceNoncurrentReceivables,,,,425000,472000,472000,472000,472000,472000,472000
BalanceNoncurrentReceivables_yy,,,,,,,,11.06,,
BalanceNoncurrentReceivables_sy,,,,,,,,-6.82,,
BalanceNoncurrentReceivables_qq,,,,,11.06,,,,,
BalanceNoncurrentReceivables_sq,,,,,3.92,,,,,
BalanceNoncurrInvestments,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,
