,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,19082000,5412000,16705000,10192000,19245000,7400000,6072000,7826000,23926000,4826000,5200000,5106000,2653000,949000,4937000,9450000,7355000,6240000,8884000,11277000,14415000,10750000,10691000,8435000,13547000,10921000,11927000,5479000,9098000,4444000,13056000,11241000,19858000,8140000,9211000
IncomeCostOfSales,8927000,4569000,10562000,7074000,11947000,5228000,1709000,5869000,17482000,3568000,3658000,3532000,945000,826000,3455000,6433000,5232000,4310000,6214000,7827000,10009000,7356000,7519000,6286000,9265000,8508000,8755000,4440000,7373000,3565000,10466000,10338000,14883000,6364000,6862000
IncomeDistributionExpenses,4196000,106000,1226000,515000,552000,163000,13000,160000,112000,151000,163000,175000,231000,195000,151000,200000,176000,257000,204000,270000,253000,254000,271000,229000,272000,269000,233000,258000,248000,225000,262000,322000,255000,257000,174000
IncomeAdministrativExpenses,1176000,708000,887000,1171000,1143000,1331000,892000,1484000,1261000,1238000,1244000,1156000,1074000,1115000,1158000,1078000,1144000,1081000,1195000,1065000,1054000,1138000,1104000,1051000,999000,1064000,1044000,996000,1092000,1331000,1209000,1161000,1039000,1122000,1173000
IncomeGrossProfit,4784000,29000,4030000,1432000,5603000,678000,3458000,313000,5071000,-131000,135000,243000,403000,-1187000,173000,1739000,803000,592000,1271000,2115000,3099000,2002000,1797000,869000,3011000,1080000,1895000,-215000,385000,-677000,1119000,-580000,3681000,397000,1002000
IncomeOtherOperatingIncome,183000,1609000,17000,1000,223000,17000,184000,52000,-11000,196000,51000,41000,56000,111000,42000,30000,94000,141000,61000,98000,151000,179000,56000,40000,266000,308000,71000,227000,35000,154000,28000,861000,-543000,295000,59000
IncomeOtherOperatingCosts,189000,5000,5000,2646000,2000,18000,12000,29000,34000,48000,11000,71000,87000,104000,115000,123000,131000,435000,872000,647000,173000,56000,44000,594000,170000,52000,223000,1694000,172000,23000,30000,356000,123000,77000,4778000
IncomeEBIT,1638000,4042000,1428000,3180000,693000,3624000,353000,5031000,31000,138000,273000,388000,-1163000,111000,1654000,774000,602000,897000,1341000,2603000,2008000,1797000,865000,2683000,1218000,1914000,-211000,-1274000,-695000,1124000,251000,2782000,569000,984000,-327000
IncomeFinanceIncome,13000,63000,72000,116000,158000,225000,356000,326000,209000,138000,120000,22000,12000,9000,6000,9000,30000,307000,-211000,70000,28000,130000,23000,114000,39000,53000,23000,-40000,17000,34000,34000,115000,45000,62000,17000
IncomeFinanceCosts,1000,1000,144000,1820000,182000,70000,396000,67000,81000,15000,13000,20000,103000,9000,22000,40000,113000,362000,-214000,3000,3000,5000,207000,122000,85000,51000,52000,271000,84000,107000,93000,101000,144000,79000,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4434000
IncomeNetGrossProfit,1650000,4104000,1356000,1476000,669000,3779000,313000,5290000,159000,261000,380000,390000,-1254000,111000,1638000,743000,519000,842000,1344000,2670000,2033000,1922000,681000,2675000,1172000,1916000,-240000,-1585000,-762000,1051000,192000,2796000,470000,967000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4434000
IncomeBeforeTaxProfit,1650000,4104000,1356000,1476000,669000,3779000,313000,5290000,159000,261000,380000,390000,-1254000,111000,1638000,743000,519000,842000,1344000,2670000,2033000,1922000,681000,2675000,1172000,1916000,-240000,-1585000,-762000,1051000,192000,2796000,470000,967000,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6363000
IncomeNetProfit,1846000,2452000,1272000,378000,132000,3926000,728000,4312000,117000,205000,315000,309000,-972000,31000,1329000,593000,419000,683000,1033000,2161000,1585000,1563000,501000,2171000,931000,1553000,-207000,-1338000,-627000,830000,149000,2212000,361000,772000,6363000
IncomeShareholderNetProfit,1846000,2452000,1272000,378000,132000,3926000,728000,4312000,117000,205000,315000,309000,-972000,31000,1329000,593000,419000,683000,1033000,2161000,1585000,1563000,501000,2171000,931000,1553000,-207000,-1338000,-627000,830000,149000,2212000,361000,772000,
BalanceNoncurrentAssets,6844000,7942000,536000,865000,733000,1741000,1016000,1652000,1845000,2009000,2199000,2440000,2476000,1554000,1814000,2074000,2544000,2801000,3124000,3520000,3780000,1754000,1748000,1980000,2202000,2405000,891000,1926000,2139000,2400000,2608000,2006000,2020000,0,4000
BalanceIntangibleAssets,3000,2000,2000,1000,,,,,,,,,,,,,,,,,,,,,,,,,192000,168000,299000,470000,486000,464000,403000
BalanceProperty,865000,811000,757000,710000,658000,527000,389000,358000,328000,334000,304000,275000,444000,424000,381000,345000,312000,270000,229000,186000,889000,804000,718000,632000,566000,509000,,,234000,242000,245000,244000,,,
BalanceNoncurrentReceivables,,,,,22000,22000,22000,23000,23000,24000,,22000,22000,43000,23000,44000,225000,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,6652000,7770000,0,,151000,0,1032000,613000,787000,1034000,1252000,1489000,1782000,1949000,1165000,1456000,1746000,2188000
BalanceOtherNoncurrentAssets,2475000,2827000,3053000,3333000,1349000,1403000,1668000,1932000,2176000,705000,1015000,1313000,1639000,1953000,1396000,1286000,40229000,48167000,74204000,119895000,126196000,148713000,75004000,72705000,72788000,71322000,68485000,69690000,73959000,67092000,74555000,80540000,100312000,107895000,116942000
BalanceCurrentAssets,127132000,142078000,98414000,106190000,112678000,124597000,128809000,69893000,74678000,85844000,95024000,117788000,114305000,87180000,2855000,2855000,3835000,4053000,4212000,4374000,3653000,3653000,3653000,3653000,12828000,12949000,12715000,12056000,11709000,11709000,10963000,10419000,9924000,9924000,9271000
BalanceInventory,8265000,7624000,6646000,6248000,5855000,5265000,4897000,4897000,3792000,2543000,1072000,188000,1238000,3387000,69808000,96117000,104170000,110069000,48869000,52997000,57611000,61740000,54285000,54064000,58456000,53383000,58300000,63212000,77793000,88187000,102673000,112614000,122230000,81773000,90166000
BalanceCurrentReceivables,17552000,15922000,14770000,27511000,25352000,22042000,19581000,13972000,9341000,9045000,0,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,1220000,954000,448000,19641000,17750000,32079000,21337000,15105000,11363000,5822000,1298000,2581000,2563000,1559000,4479000,5554000,11509000,9244000,4291000,4548000,10532000,8307000,8343000,9066000,11361000,11877000,3260000
BalanceCash,6356000,7729000,10225000,21159000,34150000,36053000,34917000,40971000,113000,84000,64000,2191000,1145000,950000,161000,107000,74000,96000,225000,94000,67000,65000,47000,45000,54000,46000,45000,69000,57000,79414000,91066000,96307000,33857000,38073000,51176000
BalanceOtherCurrentAssets,61426000,80114000,69742000,41894000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,47073000,56109000,74740000,120760000,126929000,150454000,76020000,74357000,74633000,73331000,70684000,72130000,76435000,68646000,76369000,82614000,102856000,110696000,120066000,130652000,145858000,100168000,107938000,114658000,126799000,131214000,70784000,76604000,87983000,97424000,120396000
BalanceTotalAssets,116311000,89200000,25821000,27667000,21095000,42196000,42328000,44348000,49258000,48753000,46773000,46979000,45587000,44615000,44026000,45354000,45947000,46366000,46306000,47338000,49499000,51084000,49674000,50174000,52345000,53276000,53591000,53384000,52046000,51419000,51765000,51914000,54126000,54487000,53896000
BalanceCapital,500000,500000,500000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,635000,,
BalanceShareCapital,,,0,0,0,,-130000,-752000,-1079000,-1188000,-1188000,-1188000,-1189000,-1190000,-1190000,-1190000,-1190000,-1191000,-1191000,-1191000,-1191000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,-1192000,16001000,16001000
BalanceOwnShares,25321000,44637000,44637000,55083000,55083000,55083000,46895000,46895000,46895000,46895000,47109000,47109000,47109000,47109000,45759000,45759000,45759000,45759000,47082000,47082000,47082000,47082000,51664000,51664000,51664000,51664000,52119000,52119000,52119000,52119000,53320000,,,,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11890000,17664000,25875000,10297000
BalanceNonshareCapital,9104000,9592000,3726000,3091000,3394000,3743000,3728000,3706000,4010000,3962000,6605000,18106000,36382000,25766000,20741000,24089000,29914000,27402000,8341000,8737000,9672000,10926000,3888000,9544000,9938000,10565000,11028000,7900000,6549000,,10000,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,165000,3076000,2618000,2167000,1234000,354000,300000
BalanceNoncurrentTradeLiabilities,261000,235000,209000,182000,154000,125000,8270000,13968000,13852000,196000,180000,164000,2875000,2546000,2289000,2031000,1771000,1981000,1713000,1687000,494000,555000,396000,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,6606000,6596000,5285000,5295000,,2634000,2635000,2635000,2636000,2637000,2611000,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,11880000,17654000,25710000,7221000,6486000,7425000,2492000,2737000,3094000,3482000,3493000,3497000,3828000,3808000,6480000,9836000
BalanceNoncurrentLeasing,22414000,11914000,14135000,17297000,24449000,21943000,5466000,6191000,7383000,8895000,2117000,4929000,5590000,6243000,7898000,4708000,3542000,9363000,10778000,27770000,68267000,75497000,96514000,23036000,22513000,24466000,22609000,21369000,23809000,28399000,19330000,23817000,18142000,20168000,37592000
BalanceNoncurrentOtherLiabilities,49826000,55479000,66270000,22592000,47252000,52645000,63536000,66904000,14850000,15641000,26280000,34945000,55242000,53924000,28755000,2563000,10611000,22709000,17608000,15138000,10977000,18723000,21110000,20813000,20713000,18047000,15391000,15782000,17219000,16059000,16735000,18241000,19548000,17164000,16267000
