,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,265667000,233489000,274434000,456598000,342516000,819107000,649821000,-8451000,1621252000,622076000,946786000,658632000,654615000,753548000,1156439000,853448000,798721000,944466000,1428972000,1000945000,968104000,1122742000,1647234000,1354561000,1305896000,1255568000,1637094000,1348370000,1517152000,1494569000,2078042000,1692423000,1528128000,1504993000,2354464000,1706813000,1986798000,1874661000,2568099000,1854937000,1980320000,1859233000,2786580000,1806770000,1783980000,263987000
IncomeCostOfSales,213915000,262822000,432116000,330653000,773116000,614302000,1415000,1488550000,595003000,886509000,624467000,604680000,719289000,1092807000,804339000,750867000,886770000,1358296000,944828000,927632000,1078773000,1593009000,1300722000,1247894000,1206550000,1547674000,1295720000,1434527000,1436835000,1997489000,1611125000,1447513000,1445931000,2257052000,1629938000,1885630000,1800316000,2462738000,1775966000,1899908000,1786952000,2686102000,1724182000,1695053000,4652000,6540000
IncomeDistributionExpenses,6123000,9051000,7181000,17592000,16944000,-2669000,44781000,15432000,23526000,19599000,16524000,20456000,17739000,23915000,17875000,23939000,26745000,29023000,24120000,27734000,17495000,37206000,25163000,23626000,34519000,33728000,35964000,29772000,36383000,41408000,32542000,31668000,50714000,49648000,54031000,45757000,56191000,48227000,40038000,41762000,56045000,54347000,51687000,1022000,1376000,1068000
IncomeAdministrativExpenses,1853000,1044000,6149000,3539000,-1104000,10608000,4531000,7358000,3130000,9497000,4913000,7739000,4352000,10519000,6439000,9776000,5777000,8331000,5466000,10716000,4765000,10760000,5880000,9414000,3885000,14170000,5729000,9870000,6579000,12016000,6763000,9134000,7045000,12977000,7140000,10754000,7254000,12186000,6241000,10743000,6469000,13808000,-3994000,11658000,4421000,13578000
IncomeGrossProfit,3638000,22250000,15036000,-6093000,77313000,7110000,29393000,11436000,23914000,8890000,38154000,20842000,19460000,27318000,34155000,21317000,8021000,10769000,26014000,11868000,22079000,19512000,45487000,15037000,32491000,22233000,34300000,33311000,36057000,20631000,37564000,20182000,34160000,21448000,38416000,23490000,28188000,24278000,33690000,21772000,23432000,171000,240000,69000,367000,63000
IncomeOtherOperatingIncome,364000,324000,100000,2004000,2001000,-596000,1370000,4256000,1217000,9616000,1811000,2495000,1659000,2704000,833000,890000,1587000,1074000,1329000,2434000,1529000,-478000,2872000,421000,1286000,2325000,139000,1379000,935000,2731000,3510000,-229000,3093000,4483000,7622000,-8046000,3383000,7028000,5137000,-3261000,644000,1759000,1542000,7348000,393000,7424000
IncomeOtherOperatingCosts,8653000,-7467000,20023000,2264000,6227000,5130000,6987000,5630000,11430000,14374000,9640000,7220000,2866000,10507000,-5010000,478000,1278000,563000,10680000,2848000,14056000,1657000,13004000,2879000,1938000,11025000,15037000,1549000,4578000,2678000,12045000,3553000,2522000,10329000,537000,6527000,4691000,8604000,-2393000,-4467000,10139000,2948000,6597000,3308000,15190000,6707000
IncomeEBIT,1474000,59294000,6847000,22570000,7676000,21183000,4477000,36340000,8279000,12315000,21757000,33993000,11643000,13921000,11878000,25810000,12634000,13833000,18193000,30953000,16252000,19908000,20640000,34687000,22425000,22399000,20017000,35717000,21014000,21886000,20988000,40377000,20783000,19605000,21134000,36027000,18305000,22564000,789000,-499000,196000,878000,125000,5685000,6140000,-5902000
IncomeFinanceIncome,1694000,7218000,-4493000,19798000,-20802000,12138000,-4467000,23121000,-13538000,232000,747000,16964000,-16701000,3754000,86000,885000,930000,692000,-44000,299000,821000,638000,1976000,-379000,1194000,751000,1375000,2773000,1009000,1182000,1436000,3111000,1980000,1043000,3072000,1827000,-1571000,1808000,1045000,739000,918000,2783000,6182000,8813000,-3947000,34968000
IncomeFinanceCosts,7056000,-2530000,19714000,-9636000,6548000,-412000,22079000,-13540000,9264000,8453000,17557000,-13185000,4045000,5246000,5947000,2599000,2685000,4526000,2795000,3418000,2403000,4603000,1865000,5780000,4780000,5879000,7636000,3510000,4885000,7206000,6609000,5231000,6432000,7091000,7004000,5372000,,,,,,,,,,
