,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,120266000,101246000,104750000,123405000,139399000,122847000,183589000,210273000,217053000,220877000,186047000,184386000,183627000,198216000,176330000,171808000,174883000,189089000,219548000,213675000,206362000,227426000,226662000,251230000
IncomeRevenues_yy,,,,,15.91,21.34,75.26,70.39,55.71,79.80,1.34,-12.31,-15.40,-10.26,-5.22,-6.82,-4.76,-4.60,24.51,24.37,18.00,20.27,3.24,17.58
IncomeRevenues_sy,,,,,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,-15.81,3.46,17.81,12.96,-11.87,49.45,14.53,3.22,1.76,-15.77,-0.89,-0.41,7.94,-11.04,-2.56,1.79,8.12,16.11,-2.68,-3.42,10.21,-0.34,10.84
IncomeRevenues_sq,,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,99825000,85776000,92634000,101131000,118548000,106270000,163796000,187062000,184881000,190882000,159186000,161256000,161738000,181601000,151952000,149320000,153229000,170926000,190973000,197989000,185506000,219259000,198272000,223450000
IncomeCostOfSales_yy,,,,,18.76,23.89,76.82,84.97,55.96,79.62,-2.81,-13.80,-12.52,-4.86,-4.54,-7.40,-5.26,-5.88,25.68,32.59,21.06,28.28,3.82,12.86
IncomeCostOfSales_sy,,,,,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,-14.07,8.00,9.17,17.22,-10.36,54.13,14.20,-1.17,3.25,-16.60,1.30,0.30,12.28,-16.33,-1.73,2.62,11.55,11.73,3.67,-6.30,18.20,-9.57,12.70
IncomeCostOfSales_sq,,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,1864000,781000,1148000,1805000,1729000,-71000,2060000,2156000,2296000,2261000,2467000,2106000,2420000,2568000,2531000,2911000,3393000,3424000,4318000,4076000,4134000,6604000,7642000,9031000
IncomeDistributionExpenses_yy,,,,,-7.20,-109.08,79.40,19.48,32.75,3289.25,19.78,-2.35,5.43,13.62,2.59,38.25,40.20,33.33,70.63,40.02,21.84,92.84,76.95,121.58
IncomeDistributionExpenses_sy,,,,,3.44,-3.02,-2.34,-18.11,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,-2.35,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,-58.09,46.99,57.21,-4.18,-104.10,3005.73,4.70,6.47,-1.53,9.14,-14.65,14.95,6.11,-1.45,15.01,16.57,0.92,26.11,-5.62,1.43,59.73,15.72,18.18
IncomeDistributionExpenses_sq,,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,-0.34,-7.29,2.06,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,9781000,8451000,9266000,12941000,12558000,12615000,13524000,14171000,15907000,18322000,14201000,15748000,14837000,15400000,15147000,16097000,16254000,19723000,17476000,12671000,13765000,29599000,19971000,23546000
IncomeAdministrativExpenses_yy,,,,,28.39,49.27,45.95,9.50,26.66,45.24,5.01,11.13,-6.73,-15.95,6.66,2.21,9.55,28.07,15.37,-21.28,-15.31,50.08,14.27,85.83
IncomeAdministrativExpenses_sy,,,,,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-13.60,9.64,39.67,-2.96,0.45,7.20,4.79,12.25,15.18,-22.49,10.89,-5.79,3.80,-1.64,6.27,0.98,21.34,-11.39,-27.50,8.64,115.02,-32.53,17.91
IncomeAdministrativExpenses_sq,,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,8796000,6238000,1702000,7528000,6564000,4034000,4210000,6884000,13969000,9413000,10193000,5276000,4632000,-1354000,6700000,3480000,2007000,-4983000,6781000,-1061000,2956000,-28036000,778000,-4797000
IncomeGrossProfit_yy,,,,,-25.37,-35.34,147.37,-8.56,112.82,133.37,142.10,-23.35,-66.84,-114.39,-34.27,-34.05,-56.66,-267.91,1.21,-130.50,47.28,-462.61,-88.52,-352.04
IncomeGrossProfit_sy,,,,,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-29.08,-72.72,342.33,-12.81,-38.55,4.38,63.51,102.92,-32.62,8.29,-48.24,-12.22,-129.24,594.63,-48.06,-42.32,-348.28,236.07,-115.65,378.57,-1048.39,102.78,-716.49
IncomeGrossProfit_sq,,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,2042000,10675000,1588000,3547000,457000,19926000,1553000,8958000,1157000,14743000,884000,2280000,1627000,14647000,3619000,2000000,1399000,23403000,3737000,1872000,12436000,37679000,3006000,3898000
IncomeOtherOperatingIncome_yy,,,,,-77.62,86.66,-2.18,152.55,153.22,-26.01,-43.10,-74.54,40.60,-0.65,309.43,-12.29,-13.99,59.78,3.26,-6.43,788.75,61.00,-19.56,108.30
IncomeOtherOperatingIncome_sy,,,,,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,422.71,-85.12,123.36,-87.12,4260.32,-92.20,476.69,-87.08,1174.01,-94.00,157.99,-28.65,800.25,-75.29,-44.73,-30.04,1572.49,-84.03,-49.92,564.49,202.98,-92.02,29.68
IncomeOtherOperatingIncome_sq,,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,885000,-1083000,566000,807000,1292000,-780000,692000,6950000,1174000,-765000,1350000,3558000,980000,-2307000,1827000,1143000,83000,75000,1205000,2967000,271000,3030000,612000,5328000
IncomeOtherOperatingCosts_yy,,,,,45.89,27.94,22.29,760.70,-9.12,2.03,95.02,-48.80,-16.50,-201.72,35.36,-67.87,-91.52,103.25,-34.02,159.46,225.53,3943.66,-49.20,79.61
IncomeOtherOperatingCosts_sy,,,,,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,-222.31,152.26,42.66,59.97,-160.41,188.70,904.06,-83.11,-165.13,276.56,163.60,-72.45,-335.33,179.21,-37.42,-92.73,-9.86,1508.64,146.09,-90.88,1019.70,-79.79,770.04
IncomeOtherOperatingCosts_sq,,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,9952000,17996000,2724000,10268000,5729000,24740000,5071000,8892000,13952000,24920000,9727000,3999000,5278000,15599000,8492000,4337000,3323000,18345000,9312000,-2156000,15122000,6613000,3172000,-6227000
IncomeEBIT_yy,,,,,-42.43,37.48,86.18,-13.40,143.54,0.73,91.80,-55.03,-62.17,-37.40,-12.70,8.45,-37.04,17.60,9.67,-149.72,355.03,-63.95,-65.94,-188.79
IncomeEBIT_sy,,,,,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,80.82,-84.86,276.94,-44.20,331.84,-79.50,75.34,56.90,78.61,-60.97,-58.89,32.00,195.54,-45.56,-48.93,-23.37,452.02,-49.24,-123.15,801.33,-56.27,-52.04,-296.31
IncomeEBIT_sq,,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,294000,688000,758000,1119000,-260000,85000,388000,256000,305000,105000,1996000,-259000,-203000,46000,176000,173000,146000,115000,66000,480000,12029000,-7121000,123000,219000
IncomeFinanceIncome_yy,,,,,-188.62,-87.60,-48.86,-77.10,217.14,22.86,414.77,-200.90,-166.47,-55.90,-91.17,166.96,171.88,149.33,-62.77,177.40,8154.39,-6278.92,88.12,-54.48
IncomeFinanceIncome_sy,,,,,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,134.15,10.17,47.67,-123.26,132.76,354.40,-33.87,18.98,-65.64,1803.83,-112.96,21.63,122.80,281.09,-1.67,-15.87,-20.91,-43.10,632.70,2403.50,-159.20,101.73,77.28
IncomeFinanceIncome_sq,,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
IncomeFinanceCosts,3588000,2562000,3102000,2133000,3081000,2316000,3077000,3454000,4186000,3873000,3464000,3408000,3795000,3855000,3834000,3862000,4349000,4785000,4827000,7728000,7342000,7500000,9863000,18316000
IncomeFinanceCosts_yy,,,,,-14.15,-9.60,-0.81,61.98,35.89,67.22,12.59,-1.33,-9.33,-0.45,10.67,13.30,14.58,24.11,25.91,100.13,68.82,56.75,104.31,136.99
