,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,20851000,34534000,39723000,43221000,55226000,66917000,58288000,79301000,128285000,105684000,102671000,122781000,107988000,88803000,65916000,60720000,40145000,47273000,51769000,70482000,34306000,56447000,59930000,59378000,53452000,110922000,118075000,97429000,171948000,155481000,93448000,143119000,210451000,186153000
IncomeCostOfSales,17922000,30230000,34041000,35617000,46981000,56042000,50240000,67683000,116756000,95578000,89808000,105780000,97250000,79604000,60675000,53539000,35979000,44904000,48195000,65196000,30794000,51589000,57848000,55291000,49603000,103912000,111271000,92174000,164710000,144282000,84150000,130531000,191385000,168695000
IncomeDistributionExpenses,272000,480000,544000,495000,624000,845000,840000,1168000,1694000,387000,2071000,3648000,1823000,1624000,901000,1355000,438000,442000,419000,386000,278000,465000,282000,794000,279000,1662000,2043000,288000,2161000,3670000,2016000,-184000,8750000,6295000
IncomeAdministrativExpenses,1902000,2073000,2371000,2607000,2471000,2467000,2325000,2917000,3090000,2746000,2970000,3589000,2872000,3126000,2908000,3168000,2680000,2678000,2560000,2823000,2334000,2602000,2503000,2745000,2471000,3521000,3150000,3242000,3484000,3492000,3777000,4797000,5058000,5681000
IncomeGrossProfit,755000,1751000,2767000,4502000,5150000,7563000,4883000,7533000,6745000,6973000,7822000,9764000,6043000,4449000,1432000,2658000,1048000,-751000,595000,2077000,900000,1791000,-703000,548000,1099000,1827000,1611000,1725000,1593000,4037000,3505000,7975000,5258000,5482000
IncomeOtherOperatingIncome,294000,1051000,320000,122000,443000,381000,192000,386000,436000,279000,305000,286000,582000,429000,253000,335000,357000,1754000,253000,512000,269000,257000,251000,302000,624000,411000,325000,24000,889000,52000,664000,413000,311000,306000
IncomeOtherOperatingCosts,1000,101000,6000,323000,154000,19000,15000,677000,452000,-431000,27000,3415000,166000,84000,-137000,163000,280000,136000,-363000,524000,22000,449000,-383000,101000,389000,893000,-588000,99000,189000,105000,105000,234000,21000,1200000
IncomeEBIT,1048000,2701000,3081000,4301000,5439000,7925000,5060000,7242000,6729000,7683000,8100000,6635000,6459000,4794000,1822000,2830000,1125000,867000,1211000,2065000,1147000,1599000,-69000,749000,1334000,1345000,2524000,1650000,2293000,3984000,4064000,8154000,5548000,4588000
IncomeFinanceIncome,349000,-232000,35000,532000,298000,192000,581000,706000,854000,320000,185000,366000,166000,883000,1311000,1608000,1359000,498000,126000,499000,266000,287000,1014000,174000,341000,564000,732000,2306000,202000,148000,149000,570000,162000,171000
IncomeFinanceCosts,501000,881000,975000,920000,775000,551000,42000,2302000,372000,1912000,2396000,986000,538000,572000,423000,1958000,383000,381000,321000,505000,409000,298000,778000,580000,1080000,-137000,353000,734000,587000,1488000,875000,5202000,1171000,500000
