,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,50240000,44687000,45172000,52351000,53351000,50005000,44488000,60232000,66784000,57211000,53018000,59454000,59974000,61146000,52951000,58521000,60588000,57156000,50464000,52742000,58443000,61945000,42169000,49340000,52192000,55589000,49096000,56012000,49563000,48203000,61270000,45331000,68224000,68678000,57391000
IncomeCostOfSales,27501000,37537000,29170000,31346000,34944000,38884000,36984000,46591000,47793000,43295000,37774000,41828000,41988000,42057000,36882000,39748000,41924000,38809000,35189000,35683000,40949000,41474000,29285000,34610000,36874000,40476000,37115000,42133000,36651000,34278000,50062000,35851000,57200000,55183000,47252000
IncomeDistributionExpenses,8007000,-1002000,7427000,9064000,8513000,6758000,5785000,7920000,7019000,5616000,8061000,7259000,8077000,7823000,7978000,9825000,8067000,7964000,7972000,9334000,7286000,8553000,7846000,8197000,8968000,6782000,7977000,7399000,6915000,8639000,7425000,6662000,8297000,8995000,8132000
IncomeAdministrativExpenses,5756000,3388000,5448000,4495000,5506000,2997000,5132000,4789000,5648000,3310000,5700000,5369000,5655000,6101000,5264000,5656000,6271000,6100000,5343000,5788000,4841000,4788000,5166000,5773000,5245000,5182000,5734000,4733000,5909000,7086000,3258000,7370000,5049000,5522000,4901000
IncomeGrossProfit,8976000,4764000,3127000,7446000,4388000,1366000,-3413000,932000,6324000,4990000,1483000,4998000,4254000,5165000,2827000,3292000,4326000,4283000,1961000,1937000,5366000,7130000,-129000,760000,1105000,3149000,-1730000,1747000,88000,-1800000,525000,-4552000,-2322000,-1022000,-2894000
IncomeOtherOperatingIncome,905000,486000,994000,1068000,586000,3479000,516000,1159000,284000,791000,647000,1506000,1093000,312000,741000,1664000,509000,651000,858000,1464000,1234000,-1378000,280000,255000,339000,667000,2762000,409000,236000,721000,2728000,377000,3531000,659000,1028000
IncomeOtherOperatingCosts,402000,-116000,47000,113000,378000,542000,84000,1792000,83000,534000,583000,763000,1010000,820000,435000,213000,346000,330000,704000,816000,1619000,979000,205000,373000,284000,691000,567000,1222000,1320000,515000,2963000,1234000,734000,888000,1090000
IncomeEBIT,9479000,5366000,4074000,8401000,4596000,4303000,-2981000,299000,6525000,5247000,1547000,5741000,4337000,4657000,3133000,4744000,4488000,4605000,2115000,2585000,4981000,4773000,-54000,642000,1160000,3124000,465000,934000,-996000,-1594000,290000,-5408000,475000,-1250000,-2956000
IncomeFinanceIncome,921000,1959000,2655000,252000,139000,-421000,158000,-156000,232000,-195000,670000,-467000,268000,88000,318000,-290000,2000,2000,1000,363000,140000,47000,306000,161000,398000,-567000,127000,-96000,3000,37000,317000,297000,-444000,1036000,1370000
IncomeFinanceCosts,2296000,2714000,1841000,3056000,1689000,2089000,2562000,3927000,2057000,2057000,2166000,2140000,1681000,1407000,1291000,1904000,515000,673000,821000,1536000,1043000,877000,1566000,1826000,633000,926000,1565000,916000,1669000,1593000,1111000,1433000,1306000,2751000,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2726000,0,0,0,9030000,5029000
IncomeNetGrossProfit,4015000,6812000,1679000,2193000,-4912000,-2419000,2830000,2995000,160000,3108000,2465000,3064000,2044000,3163000,2587000,4092000,1443000,2127000,3585000,3776000,-624000,-763000,-268000,1924000,-334000,-728000,-1909000,-3226000,1739000,-6222000,-1402000,-1520000,-5707000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9030000,5029000
IncomeBeforeTaxProfit,4015000,6812000,1679000,2193000,-4912000,-2419000,2830000,2995000,160000,3108000,2465000,3064000,2044000,3163000,2587000,4092000,1443000,2127000,3585000,3776000,-624000,-763000,-268000,1924000,-334000,-728000,-1909000,-3226000,1739000,-6222000,-1402000,-1520000,-5707000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7229000,3888000
IncomeNetProfit,3589000,5008000,2152000,2691000,-3600000,-1823000,2361000,3120000,414000,2933000,2286000,2622000,1666000,3292000,2240000,3180000,16348000,2305000,3930000,6713000,-1354000,-1183000,-100000,1231000,33000,-735000,-1691000,-2640000,2377000,-6235000,-751000,-2076000,-5384000,7229000,3888000
IncomeShareholderNetProfit,3589000,5008000,2152000,2691000,-3600000,-1823000,2361000,3120000,414000,2933000,2286000,2622000,1666000,3292000,2240000,3180000,16348000,2305000,3930000,6713000,-1354000,-1183000,-100000,1231000,33000,-735000,-1691000,-2640000,2377000,-6235000,-751000,-2076000,-5384000,,
BalanceNoncurrentAssets,,109728000,93366000,95060000,72484000,73246000,73898000,74158000,75895000,84534000,89224000,88566000,89524000,100808000,118026000,150428000,175326000,181130000,183576000,191006000,189734000,191161000,192630000,188048000,187236000,184919000,182200000,180651000,175491000,175491000,171676000,169036000,173691000,,1008000
BalanceIntangibleAssets,963000,470000,1844000,2115000,2078000,2321000,2623000,2318000,2335000,2351000,2139000,2220000,2161000,2242000,2009000,1847000,1669000,1495000,1445000,1416000,1441000,1499000,1516000,1428000,1288000,1302000,1286000,1286000,1172000,1132000,1083000,,55651000,57241000,58669000
BalanceProperty,70507000,70730000,70867000,71147000,71837000,80951000,85013000,86050000,87276000,98588000,115851000,148092000,159741000,165508000,167768000,170898000,170315000,171920000,172983000,171056000,169744000,167531000,164745000,162633000,155889000,155889000,151535000,149681000,149045000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,1507000,1583000,1838000,2036000,,891000,891000,893000,712000,5233000,,53045000,35140000,35902000,0,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,20000,,24000,22000,19000,133000,401000,953000,690000,1435000,1265000,1876000,165000,109000
BalanceOtherNoncurrentAssets,15000,95000,13576000,13775000,14139000,17106000,16391000,15987000,16171000,15493000,15976000,15960000,16167000,16716000,17424000,17424000,18075000,17510000,18310000,,69885000,69346000,76804000,72767000,81530000,80256000,75027000,72652000,87546000,87313000,92069000,82756000,88438000,84246000,68485000
BalanceCurrentAssets,84909000,74649000,69273000,67483000,62283000,62718000,60067000,60924000,60132000,53523000,54672000,54617000,72232000,72232000,79198000,79607000,70247000,,18336000,17245000,20242000,19664000,22278000,22755000,24198000,23583000,25924000,20979000,19804000,24228000,25799000,27129000,19682000,21941000,26008000
BalanceInventory,23941000,23069000,27385000,24746000,27414000,21462000,23180000,19642000,21098000,21145000,28543000,28543000,31008000,31788000,31053000,,46337000,42468000,50130000,49091000,53115000,51166000,42578000,42781000,40305000,39579000,42343000,38249000,46244000,40113000,34562000,36535000,32896000,34662000,36235000
BalanceCurrentReceivables,26806000,27340000,27036000,24858000,31839000,29085000,28321000,27150000,38082000,38082000,46612000,42986000,30603000,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,5012000,8667000,5449000,3249000,4991000,4938000,7145000,4799000,19454000,24781000,28117000,18017000,13552000,14657000,12491000,23805000,13495000,8879000,6860000,6068000,8465000
BalanceCash,3984000,13431000,3418000,3197000,4026000,5213000,3834000,3834000,351000,3372000,658000,,200000,966000,983000,763000,1146000,1397000,1106000,1489000,1863000,1974000,1805000,2262000,2843000,2346000,1751000,2629000,2250000,1790000,1319000,2025000,2166000,1634000,1172000
BalanceOtherCurrentAssets,1694000,1600000,1228000,1109000,1774000,1774000,1228000,1462000,7933000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,179613000,162712000,171864000,145251000,154776000,154154000,149185000,148547000,172080000,176537000,180635000,172280000,189246000,202272000,218913000,260235000,255779000,252849000,258489000,252017000,253878000,252697000,248971000,247368000,238442000
BalanceTotalAssets,236872000,235268000,247723000,247723000,250874000,248643000,243938000,,21651000,6475000,10975000,17726000,14369000,13020000,17202000,17743000,43351000,45595000,47878000,49415000,53091000,55706000,59698000,75964000,78848000,82497000,87881000,86507000,85913000,84974000,86155000,86155000,85682000,84473000,82383000
BalanceCapital,78771000,78771000,78024000,75985000,66952000,,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1421000,1545000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000,1546000
BalanceShareCapital,1546000,1546000,1546000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,3092000,3898000,957000,5298000,16548000,9772000,8472000,8599000,31150000,31107000,30769000,30640000,38487000,38863000,39675000,39592000,50831000,50551000,49221000,49202000,78827000,77988000,77938000,77905000,78167000,78201000,78741000,73606000,73606000,73609000,73646000
BalanceReserve,73644000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,106048000,106535000,103225000,73274000,72592000,68915000,64795000,64239000,61658000,61951000,58532000,58563000,58360000,58109000,60004000,86676000,62272000,61631000,54262000,35807000,85152000,85388000,8028000,7813000,56961000,52667000,59855000,50793000,50793000,51182000,41984000,45177000,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,104879000,104975000,101150000,72074000,72434000,68775000,64690000,64136000,61597000,61890000,57677000,57400000,57446000,57299000,57774000,85895000,61505000,60874000,31338000,28774000,84262000,79518000,3166000,3877000,53429000,50500000,58000000,48000000,48000000,48000000,38000000,38890000,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,15070000,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,6933000,6127000,5007000,4053000,3127000,2246000,1385000,1090000,194000,194000,128000,68000,2351000,,1169000,1560000,2075000,1200000,158000
BalanceNoncurrentLeasing,140000,105000,103000,61000,61000,855000,1163000,914000,811000,2231000,781000,767000,758000,920000,906000,890000,863000,809000,809000,1286000,783000,765000,2599000,2599000,3054000,3916000,3936000,,51914000,49702000,57664000,54251000,67815000,72219000,67188000
BalanceNoncurrentOtherLiabilities,66565000,67071000,68991000,74225000,64302000,77795000,88456000,99211000,97595000,114659000,108720000,116346000,129703000,82814000,82335000,154789000,153400000,95799000,99731000,93030000,118159000,118159000,121667000,130674000,131810000,,21522000,20454000,27850000,23659000,29250000,33431000,42020000,42608000,41025000
BalanceCurrentLiabilities,46971000,54858000,50660000,54879000,57570000,52762000,56852000,73143000,71187000,60768000,49632000,54484000,54416000,60515000,51805000,53175000,57574000,62803000,80644000,80644000,84827000,92058000,96844000,,22886000,21898000,22927000,23585000,32818000,32667000,25168000,23957000,13689000,20435000,18371000
BalanceCurrentTradePayablesv,12736000,22139000,29743000,46028000,40334000,41437000,37290000,39553000,50035000,28313000,22986000,89709000,96877000,38564000,38043000,26801000,35358000,35358000,35509000,37578000,33698000,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,14891000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,15784000,14747000,4583000,4181000,4067000,4057000,3671000,3177000,2157000,2157000,1331000,1038000,1166000,,,,163000,,,0,,0,0,697000,1585000,996000,906000,777000,1144000,422000
BalanceCurrentLeasing,410000,79000,244000,241000,398000,17000,351000,384000,652000,3000,443000,248000,102000,,7506000,7350000,6724000,7007000,5747000,6121000,11660000,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,0,179613000,162712000,171864000,0,145251000,154776000,154154000,0,149185000,148547000,172080000,176537000,180635000,172280000,189246000,202272000,218913000,260235000,255779000,252849000,258489000,252017000,253878000,252697000,248971000,247368000,238442000
BalanceReckoning,236872000,235268000,247723000,247723000,250874000,248643000,243938000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,7549000,4383000,9557000,3070000,5491000,-787000,-4442000,7961000,9276000,11967000,3619000,16384000,5511000,13685000,127000,8037000,6581000,14311000,2877000,8919000,6159000,6392000,-4675000,5243000,721000,25901000,-15050000,10465000,3690000,7483000,11920000,-4463000,-3689000,17803000,7348000
CashflowAmortization,1308000,1306000,1391000,1417000,1426000,1550000,1580000,1552000,1663000,1699000,1692000,1771000,1802000,1816000,1823000,1796000,1943000,2070000,2154000,2327000,2460000,2329000,2398000,2496000,2487000,2674000,3536000,2961000,3188000,2936000,3280000,3039000,2778000,2544000,2434000
CashflowInvestingCashflow,-47879000,-745000,-3358000,18449000,32560000,-21825000,-1260000,-475000,-489000,-3392000,-2271000,-7420000,-4185000,-2495000,-2169000,-11958000,-9523000,-5178000,-18086000,-7886000,-3893000,-13588000,-1104000,-2183000,-3374000,-8903000,-193000,-910000,-514000,-789000,-680000,-2701000,1919000,-5427000,-322000
CashflowCapex,179000,1276000,3358000,551000,3529000,2902000,1260000,475000,629000,3395000,2301000,7891000,4347000,2286000,2215000,11971000,9523000,12395000,18183000,7927000,4076000,13644000,1176000,2354000,3375000,8750000,193000,979000,538000,789000,692000,2701000,3049000,650000,668000
CashflowFinancingCashflow,37368000,893000,-2541000,-24740000,-30882000,13244000,7445000,-7540000,-9040000,-6114000,-3693000,5690000,4000000,-7853000,-8058000,-543000,4047000,-11299000,26522000,-11342000,-6882000,5178000,4987000,-663000,-1829000,-7551000,5230000,-9777000,-2347000,-5506000,-8436000,2982000,-1713000,-9354000,-6927000
CashflowShareCapitalCash,,,,,,,,0,0,0,,22968000,0,0,,,,,,15000000,,,15000000,,,,,,,,,34918000,0,,19000000
CashflowDividend,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2962000,4531000,3658000,-3221000,7169000
