,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,979000,5512000,1216000,1318000,1164000,1174000,701000,1834000,1415000,1203000,454000,1253000,189000,194000,93000,13113000,3684000,4797000,3975000,4222000,13269000,15279000,18358000,-28652000,3091000,2432000,2935000,-4799000,2028000,927000,2316000,632000,2442000,510000,2010000,780000,2063000,982000,1938000,653000,2000000,897000,1269000,573000,1537000,2358000
IncomeCostOfSales,407000,756000,1003000,1145000,938000,932000,682000,1568000,1279000,860000,539000,1162000,168000,197000,178000,8613000,2052000,2079000,2304000,2457000,6872000,9279000,11497000,-17777000,1862000,1047000,1817000,-1890000,1420000,699000,1613000,523000,1824000,328000,1353000,640000,1413000,580000,1481000,505000,1399000,690000,929000,432000,1167000,1633000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,4130000,1166000,1344000,1550000,1585000,5948000,5895000,6292000,-11232000,980000,1041000,724000,201000,,,191000,42000,32000,45000,114000,74000,45000,2000,90000,114000,-7000,421000,675000,419000,846000,772000
IncomeAdministrativExpenses,793000,744000,932000,769000,730000,732000,666000,468000,458000,512000,769000,733000,742000,527000,548000,1346000,1400000,1902000,-1903000,624000,481000,788000,244000,580000,500000,609000,375000,661000,694000,699000,473000,659000,735000,664000,591000,559000,568000,614000,972000,628000,1595000,151000,4081000,-206000,-673000,-546000
IncomeGrossProfit,-551000,-725000,-666000,-633000,-387000,-817000,-575000,-447000,-461000,-597000,-399000,-267000,632000,-406000,-368000,-897000,-1295000,-1333000,2260000,-375000,-137000,-394000,-408000,28000,-272000,94000,-467000,-43000,-512000,-42000,-524000,-51000,-365000,-252000,-557000,-32000,-406000,-276000,-921000,-372000,-863000,3000,5000,13000,46000,25000
IncomeOtherOperatingIncome,902000,9000,36000,21000,386000,47000,33000,75000,170000,179000,32000,53000,33000,70000,106000,58058000,699000,375000,-58838000,133000,107000,20000,63000,33000,128000,-19000,55000,27000,5000,9000,96000,4000,2000,1000,73000,26000,-20000,-7000,14953000,141000,,19000,60000,938000,2000,61000
IncomeOtherOperatingCosts,3000,66000,1000,22000,85000,23000,70000,16000,36000,11000,83000,30000,43000,4791000,458000,425000,-5456000,5000,635000,0,373000,56000,15000,5000,1068000,1000,10000,0,185000,9000,0,126000,35000,-20000,4000,65000,1037000,154000,4067000,-253000,-1565000,-523000,290000,-719000,-696000,-613000
IncomeEBIT,-23000,-855000,-565000,-372000,-361000,-434000,-403000,-225000,582000,-366000,-305000,52370000,-1054000,-1383000,-51122000,-247000,-665000,-374000,-718000,5000,-159000,70000,-1480000,-17000,-517000,-33000,-613000,-47000,-372000,-251000,-610000,-41000,-406000,-287000,13967000,-372000,-1759000,13000,7000,7000,77000,87000,126000,273000,1244000,156000
IncomeFinanceIncome,-126000,2153000,-2017000,29000,23000,34000,94000,92000,124000,126000,147000,163000,164000,88000,121000,66000,102000,55000,67000,43000,35000,22000,437000,19000,18000,17000,269000,12000,10000,11000,365000,8000,90000,58000,440000,167000,181000,97000,15000,48000,496000,102000,54000,58000,45000,5639000
IncomeFinanceCosts,-5565000,1405000,-1318000,16000,17000,6000,58000,40000,24000,17000,5000,1995000,-28000,475000,-2377000,19000,841000,-838000,-10000,19000,-3000,9000,-22000,30000,17000,-3000,-27000,19000,58000,38000,28000,45000,650000,-450000,1039000,150000,16926000,7790000,21732000,-18051000,27068000,-3528000,-3420000,-9771000,-11846000,640000
IncomeOtherIncome,5135000,2819000,-3295000,1191000,305000,-149000,-181000,-833000,-758000,521000,-71000,-52000,-1701000,-4000,-844000,842000,-8787000,-44000,0,0,,-22000,0,0,,-673000,-1329000,,7860000,25791000,-18345000,25084000,-4066000,-3058000,-10275000,-11343000,-6096000,6056000,-747000,3871000,2460000,-3650000,785000,-62000,-322000,501000
IncomeNetGrossProfit,-1090000,-921000,51059000,-933000,-1822000,-50325000,-200000,-1408000,-325000,201000,29000,-121000,83000,-9808000,-28000,-560000,-13000,-317000,-54000,-442000,-278000,-273000,-78000,-966000,-452000,12039000,-355000,-18504000,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860000,25791000,-18345000,25084000,-4066000,-3058000,-10275000,-11343000,-6096000,6056000,-747000,3871000,2460000,-3650000,785000,-62000,-322000,501000
IncomeBeforeTaxProfit,-1090000,-921000,51059000,-933000,-1822000,-50325000,-200000,-1408000,-325000,201000,29000,-121000,83000,-9808000,-28000,-560000,-13000,-317000,-54000,-442000,-278000,-273000,-78000,-966000,-452000,12039000,-355000,-18504000,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6367000,20905000,-14886000,20114000,-3292000,-2386000,-8217000,-9387000,-5100000,4848000,-473000,3084000,1916000,-3037000,532000,235000,-397000,443000
IncomeNetProfit,-551000,-1306000,50975000,-795000,-1833000,-50417000,-455000,-1414000,-281000,109000,150000,-133000,45000,-7793000,-93000,-534000,-77000,-2214000,-93000,-498000,-285000,-177000,-128000,-914000,-449000,8928000,-371000,-18304000,6367000,20905000,-14886000,20114000,-3292000,-2474000,-8130000,-9632000,-5107000,4813000,-468000,3094000,1888000,-3050000,556000,252000,-369000,450000
IncomeShareholderNetProfit,-536000,-1293000,42371000,-893000,-1613000,-41935000,-454000,-1423000,-267000,122000,161000,-150000,9000,-7782000,-5000,-606000,-89000,-2223000,-105000,134000,-918000,-190000,-157000,-892000,-448000,8930000,-362000,-18278000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,1484000,606000,2277000,9589000,1275000,11622000,11822000,13109000,11606000,11909000,18404000,18376000,18353000,18323000,18520000,18502000,18616000,18741000,18772000,81903000,81342000,80843000,18723000,18685000,19186000,19195000,18653000,18642000,18636000,18632000,25923000,20410000,25943000,25936000,23653000,24234000,23866000,24112000,24185000,24168000,55008000,50517000,66730000,66715000,29300000,5000
BalanceIntangibleAssets,4000,21000,17000,14000,11000,16000,17000,14000,11000,9000,8000,7000,7000,6000,6000,98000,92000,86000,49795000,49760000,49732000,65000,60000,55000,51000,51000,46000,40000,35000,33000,28000,22000,16000,11000,6000,1000,6000,5000,4000,4000,6681000,477000,500000,2254000,9503000,1187000
BalanceProperty,11599000,11794000,13076000,11499000,11794000,18255000,18216000,18177000,18138000,18289000,18249000,18225000,18195000,18178000,30187000,29841000,29681000,18189000,18158000,18127000,18095000,18070000,18039000,18019000,18005000,17977000,17958000,17966000,17945000,17919000,17894000,17869000,17844000,17824000,17770000,48350000,43820000,50328000,50313000,20553000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,1575000,1337000,1091000,79000,79000,596000,621000,79000,79000,79000,79000,,,,,,,181000,164000,147000,130000,118000,1000000,100000,,63000,,,0,,,13000
BalanceNoncurrInvestments,15000,,,,,,,,6000,6000,,0,,0,5491000,2000,5493000,5493000,5366000,5951000,5595000,5611000,5979000,6000000,6049000,6094000,16208000,16225000,1948000,2000,2000,2000,69000,11000,12000,12000,16000,93000,104000,127000,137000,169000,178000,225000,247000,293000
BalanceOtherNoncurrentAssets,454000,508000,346000,404000,339000,384000,382000,408000,428000,453000,478000,498000,513000,2422000,2422000,2462000,2482000,357000,383000,401000,657000,382000,398000,422000,434000,43000,43000,33195000,59154000,38958000,66638000,82156000,62688000,51970000,40442000,31416000,36961000,32034000,34097000,30964000,30293000,31966000,31851000,31853000,31304000,29954000
BalanceCurrentAssets,51483000,50358000,47958000,27997000,27598000,24395000,29672000,22294000,22138000,20378000,20475000,5356000,10874000,4794000,5074000,5750000,5055000,4703000,4812000,4452000,4575000,6305000,6257000,6339000,5879000,4914000,84000,234000,268000,174000,257000,63000,61000,149000,110000,68000,,2844000,3849000,3265000,4213000,3954000,20954000,20057000,18052000,4196000
BalanceInventory,3034000,1980000,6494000,982000,646000,1359000,857000,1546000,921000,1451000,869000,1551000,1276000,1555000,1055000,1703000,1449000,1351000,1071000,1576000,1201000,1281000,671000,5470000,722000,2753000,2555000,3645000,2841000,3764000,2302000,1320000,4292000,1107000,1110000,1355000,1705000,14725000,7904000,7798000,1739000,10546000,10111000,10746000,3193000,3439000
BalanceCurrentReceivables,1618000,2700000,1566000,2854000,2211000,3401000,1364000,2441000,1231000,2151000,1489000,1971000,1105000,2048000,999000,1794000,4161000,1803000,1369000,1356000,2344000,29452000,51967000,32098000,60739000,68696000,54932000,46819000,35050000,28418000,33898000,26895000,32081000,25940000,22094000,12683000,3657000,12078000,12012000,14422000,11650000,11228000,11167000,9414000,14205000,14315000
