,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4161000,4849000,4375000,4200000,3982000,4278000,4337000,4382000,4402000,4615000,4456000,4769000
IncomeRevenues_yy,,,,,-4.30,-11.78,-0.87,4.33,10.55,7.88,2.74,8.83
IncomeRevenues_sy,,,,,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,16.53,-9.78,-4.00,-5.19,7.43,1.38,1.04,0.46,4.84,-3.45,7.02
IncomeRevenues_sq,,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,
IncomeGrossProfit,1835000,2109000,1612000,1833000,1753000,1552000,1460000,1816000,1888000,1631000,1659000,1637000
IncomeGrossProfit_yy,,,,,-4.47,-26.41,-9.43,-0.93,7.70,5.09,13.63,-9.86
IncomeGrossProfit_sy,,,,,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,14.93,-23.57,13.71,-4.36,-11.47,-5.93,24.38,3.96,-13.61,1.72,-1.33
IncomeGrossProfit_sq,,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,1837000,-4302000,884000,6274000,-4372000,2536000,-7677000,2590000,3111000,-3255000,950000,11322000
IncomeOtherOperatingIncome_yy,,,,,-338.00,158.95,-968.44,-58.72,171.16,-228.35,112.37,337.14
IncomeOtherOperatingIncome_sy,,,,,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,-334.19,120.55,609.73,-169.68,158.01,-402.72,133.74,20.12,-204.63,129.19,1091.79
