,2013/Q3,2013/Q4,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,25919000,86183000,245606000,74719000,51275000,57140000,73937000,44495000,117959000,136699000,195829000,56353000,198752000,220664000,227681000,218698000,300970000,337040000
IncomeRevenues_yy,,,847.58,-13.30,,,-69.90,-40.45,130.05,139.24,164.86,26.65,68.49,61.42,16.27,288.09,51.43,52.74
IncomeRevenues_sy,,,12.74,-14.98,,,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,232.50,,-69.58,-31.38,11.44,29.40,-39.82,165.11,15.89,43.26,-71.22,252.69,11.02,3.18,-3.95,37.62,11.98
IncomeRevenues_sq,,12.70,,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,181706000,145134000,56420000,35398000,41715000,53708000,33231000,85444000,100653000,140436000,43445000,141779000,148962000,168103000,159359000,219971000,237994000
IncomeCostOfSales_yy,,,,-68.95,,,-62.99,-41.10,141.38,141.29,161.48,30.74,65.93,48.00,19.70,266.81,55.15,59.77
IncomeCostOfSales_sy,,,,-22.65,,,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,,,-61.13,-37.26,17.85,28.75,-38.13,157.12,17.80,39.52,-69.06,226.34,5.07,12.85,-5.20,38.03,8.19
IncomeCostOfSales_sq,,,,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,,9396000,3026000,2710000,2357000,2656000,2045000,3734000,2717000,4733000,1676000,3098000,3342000,3644000,3564000,3869000,3767000,3690000
IncomeDistributionExpenses_yy,,,,-71.16,,,-32.42,37.79,15.27,78.20,-18.04,-17.03,23.00,-23.01,112.65,24.89,12.72,1.26
IncomeDistributionExpenses_sy,,,,-7.24,,,-1.53,5.54,12.98,28.32,6.22,0.65,18.53,-3.42,19.50,11.68,9.45,-5.26
IncomeDistributionExpenses_qq,,,,-10.44,-13.03,12.69,-23.00,82.59,-27.24,74.20,-64.59,84.84,7.88,9.04,-2.20,8.56,-2.64,-2.04
IncomeDistributionExpenses_sq,,,,19.80,-28.26,7.80,-10.70,12.06,-18.56,23.49,-4.66,26.06,-13.48,23.16,-3.36,22.15,-18.91,12.12
IncomeAdministrativExpenses,,4808000,1961000,2685000,1884000,2441000,2911000,3511000,2539000,3054000,2906000,3440000,3080000,3271000,3692000,3743000,3729000,3854000
IncomeAdministrativExpenses_yy,,,,-44.16,,,48.44,30.76,34.77,25.11,-0.17,-2.02,21.31,7.11,27.05,8.81,21.07,17.82
IncomeAdministrativExpenses_sy,,,,9.94,,,-0.07,10.66,2.95,-4.05,2.17,2.84,5.68,8.12,11.50,12.50,14.73,2.54
IncomeAdministrativExpenses_qq,,,,36.92,-29.83,29.56,19.25,20.61,-27.68,20.28,-4.85,18.38,-10.47,6.20,12.87,1.38,-0.37,3.35
