,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,53974000,51558000,53983000,57494000,53971000,60181000,69164000,68305000,70421000,60907000,63938000,70110000,65663000,74114000,79358000,64557000,69000000,70847000,86507000,69255000,77869000,83930000,88167000,77171000,78733000,83819000,81031000,74461000,73658000,81712000,91034000,87635000,81119000,92168000,85936000,86647000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,26024000,15332000,25539000,27042000,23374000,17333000,38081000,34226000,36816000,25708000,28929000,30784000,31225000,34397000,42513000,20527000,28759000,25739000,42570000,24846000,35946000,32599000,48076000,32125000,35388000,37910000,34909000,36435000,45387000,43976000,44519000,49870000,48614000,43190000,37576000,46654000
IncomeOtherOperatingIncome,134000,1613000,216000,184000,83000,656000,500000,-379000,8000,309000,6748000,1589000,209000,1959000,1266000,232000,227000,1499000,221000,477000,191000,367000,687000,172000,234000,869000,349000,203000,205000,979000,330000,31000,1731000,1767000,-632000,-82000
IncomeOtherOperatingCosts,944000,533000,42000,140000,1382000,1113000,64000,30000,2608000,-1089000,27000,999000,99000,9458000,728000,83000,491000,824000,905000,1048000,85000,-177000,652000,1146000,311000,42000,564000,46000,360000,3583000,4414000,868000,308000,559000,2200000,295000
IncomeEBIT,25214000,16412000,25713000,27086000,22075000,16876000,38517000,33817000,34216000,27106000,35650000,31374000,31335000,26898000,43051000,20676000,28495000,26414000,41886000,24275000,36052000,33143000,48111000,31151000,35311000,38737000,34694000,36592000,45232000,41372000,40435000,49033000,50037000,44398000,34744000,46277000
IncomeFinanceIncome,7145000,8080000,3435000,2982000,1300000,2590000,2596000,2062000,7936000,1790000,3885000,3788000,3221000,3180000,4225000,2790000,2200000,1702000,2558000,2971000,2657000,2174000,1675000,4406000,1997000,1863000,1963000,5246000,3430000,2311000,1394000,1538000,1334000,1284000,1867000,48191000
IncomeFinanceCosts,46000,113000,1109000,-958000,414000,318000,30000,51000,133000,234000,4755000,4099000,4463000,4483000,3344000,3520000,2561000,2790000,2522000,2583000,2528000,2723000,2526000,2152000,1940000,5499000,2981000,2927000,2971000,3200000,7551000,2497000,-1339000,2438000,2208000,2124000
