,2005/Q1,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1635000,65522000,78189000,74517000,110005000,97078000,82857000,84387000,86358000,91471000,118878000,138562000,156531000,138732000,143106000,162432000,179064000,163991000,227596000
IncomeRevenues_yy,,,,,,48.16,5.97,13.25,-21.50,-5.78,43.47,64.20,81.26,51.67,20.38,17.23,14.40,18.21,59.04
IncomeRevenues_sy,,,,,,1.99,4.55,2.46,-4.82,2.73,3.65,0.15,10.97,10.84,8.17,8.92,6.62,7.89,7.27
IncomeRevenues_qq,,,19.33,-4.70,47.62,-11.75,-14.65,1.85,2.34,5.92,29.96,16.56,12.97,-11.37,3.15,13.50,10.24,-8.42,38.79
IncomeRevenues_sq,,,20.59,2.31,-20.64,-4.62,19.87,6.17,-23.60,2.58,17.34,4.68,-14.71,2.76,6.55,9.34,-17.77,13.99,5.02
IncomeCostOfSales,898000,53279000,62608000,61319000,98835000,79689000,68711000,71570000,70672000,76251000,98983000,117222000,131158000,115441000,116061000,134361000,141777000,129484000,180362000
IncomeCostOfSales_yy,,,,,,49.57,9.75,16.72,-28.49,-4.31,44.06,63.79,85.59,51.40,17.25,14.62,8.10,12.16,55.40
IncomeCostOfSales_sy,,,,,,-1.80,1.26,8.21,-15.19,4.17,7.24,-2.33,12.69,5.78,12.77,10.00,8.10,10.81,4.79
IncomeCostOfSales_qq,,,17.51,-2.06,61.18,-19.37,-13.78,4.16,-1.25,7.89,29.81,18.43,11.89,-11.98,0.54,15.77,5.52,-8.67,39.29
IncomeCostOfSales_sq,,,24.12,4.73,-14.53,-15.33,24.30,7.45,-21.42,0.26,29.01,0.31,-8.46,-2.88,7.07,7.95,-13.40,10.76,7.66
IncomeDistributionExpenses,,2826000,5446000,4211000,5345000,4888000,6000000,4263000,5779000,3927000,9658000,9827000,11010000,12184000,13382000,12555000,16771000,13405000,16038000
IncomeDistributionExpenses_yy,,,,,,72.97,10.17,1.23,8.12,-19.66,60.97,130.52,90.52,210.26,38.56,27.76,52.33,10.02,19.85
IncomeDistributionExpenses_sy,,,,,,-11.77,-6.26,2.79,5.79,0.18,21.48,17.06,3.20,13.68,6.49,5.90,11.68,6.93,-3.06
IncomeDistributionExpenses_qq,,,92.71,-22.68,26.93,-8.55,22.75,-28.95,35.56,-32.05,145.94,1.75,12.04,10.66,9.83,-6.18,33.58,-20.07,19.64
IncomeDistributionExpenses_sq,,,11.20,-8.68,5.74,-16.04,10.34,-0.76,15.50,-20.56,27.15,2.62,-0.08,-3.80,9.46,-1.32,-7.83,-4.09,8.91
IncomeAdministrativExpenses,,3457000,4207000,3939000,2671000,3682000,4210000,3541000,5552000,5632000,5185000,5738000,6121000,5597000,7617000,5082000,8199000,7569000,8239000
IncomeAdministrativExpenses_yy,,,,,,6.51,0.07,-10.10,107.86,52.96,23.16,62.04,10.25,-0.62,46.90,-11.43,33.95,35.23,8.17
IncomeAdministrativExpenses_sy,,,,,,3.28,1.84,-2.66,1.08,4.83,-2.15,8.90,5.74,0.44,17.66,7.84,15.90,10.41,-0.36
IncomeAdministrativExpenses_qq,,,21.70,-6.37,-32.19,37.85,14.34,-15.89,56.79,1.44,-7.94,10.67,6.67,-8.56,36.09,-33.28,61.33,-7.68,8.85
IncomeAdministrativExpenses_sq,,,3.86,-2.48,10.98,-3.06,3.85,-11.04,9.08,-1.75,-0.70,0.07,4.70,2.18,9.30,-0.26,5.66,-0.36,
IncomeGrossProfit,44000,5960000,5928000,5047000,3155000,8819000,3936000,5013000,4355000,5661000,5052000,5775000,8242000,5510000,6046000,10434000,12317000,13533000,22957000
IncomeGrossProfit_yy,,,,,,47.97,-33.60,-0.67,38.03,-35.81,28.35,15.20,89.25,-2.67,19.68,80.68,49.44,145.61,279.71
IncomeGrossProfit_sy,,,,,,12.68,15.62,-8.62,-29.38,12.07,-4.92,-1.87,45.00,-2.40,4.53,14.01,7.99,31.71,34.19
IncomeGrossProfit_qq,,,-0.54,-14.86,-37.49,179.52,-55.37,27.36,-13.13,29.99,-10.76,14.31,42.72,-33.15,9.73,72.58,18.05,9.87,69.64
IncomeGrossProfit_sq,,,21.15,30.92,-56.51,33.92,99.00,9.81,-88.17,56.65,-0.37,20.74,-65.56,28.52,84.19,35.56,-78.88,42.32,86.61
IncomeOtherOperatingIncome,,1079000,1334000,-748000,839000,630000,6945000,485000,1134000,10369000,2629000,155000,10757000,317000,2226000,-452000,3133000,774000,1327000
IncomeOtherOperatingIncome_yy,,,,,,-41.61,420.61,164.84,35.16,1545.87,-62.15,-68.04,848.59,-96.94,-15.33,-391.61,-70.87,144.16,-40.39
IncomeOtherOperatingIncome_sy,,,,,,-40.00,-12.58,-12.21,-38.88,-11.84,-45.78,-26.34,-5.06,13.47,7.65,-18.80,-15.09,-28.90,-16.23
IncomeOtherOperatingIncome_qq,,,23.63,-156.07,212.17,-24.91,1002.38,-93.02,133.81,814.37,-74.65,-94.10,6840.00,-97.05,602.21,-120.31,793.14,-75.30,71.45
IncomeOtherOperatingIncome_sq,,,15.79,-0.65,102.37,-49.32,40.70,-33.26,117.88,-55.51,-8.30,-17.32,81.25,-48.47,5.80,-49.74,66.11,-40.25,-1.61
IncomeOtherOperatingCosts,,1144000,930000,243000,526000,411000,47000,378000,919000,261000,1453000,64000,6012000,221000,319000,646000,3373000,810000,5473000
IncomeOtherOperatingCosts_yy,,,,,,-64.07,-94.95,55.56,74.71,-36.50,2991.49,-83.07,554.19,-15.33,-78.05,909.38,-43.90,266.52,1615.67
IncomeOtherOperatingCosts_sy,,,,,,3.65,10.06,-9.80,-36.80,-11.27,-10.50,3.23,-2.99,-29.71,-15.16,1.08,6.82,29.41,35.36
IncomeOtherOperatingCosts_qq,,,-18.71,-73.87,116.46,-21.86,-88.56,704.26,143.12,-71.60,456.70,-95.60,9293.75,-96.32,44.34,102.51,422.14,-75.99,575.68
IncomeOtherOperatingCosts_sq,,,43.38,-17.00,103.85,-71.81,32.47,-36.02,34.82,-12.73,97.96,-27.74,300.00,-81.46,244.71,-11.29,122.86,-63.89,152.08
IncomeEBIT,1700000,5895000,6332000,4056000,3468000,9038000,10834000,5120000,4570000,15769000,6228000,5866000,12987000,5606000,7953000,9336000,12077000,13497000,18811000
IncomeEBIT_yy,,,,,,53.32,71.10,26.23,31.78,74.47,-42.51,14.57,184.18,-64.45,27.70,59.15,-7.01,140.76,136.53
IncomeEBIT_sy,,,,,,-4.64,29.39,1.26,-11.44,14.73,-25.48,-1.85,39.39,15.27,4.35,11.08,-0.41,30.96,57.14
IncomeEBIT_qq,,,7.41,-35.94,-14.50,160.61,19.87,-52.74,-10.74,245.05,-60.50,-5.81,121.39,-56.83,41.87,17.39,29.36,11.76,39.37
IncomeEBIT_sq,,,5.35,43.52,-62.55,27.91,39.41,3.36,-95.06,93.84,0.82,42.04,-67.88,75.34,41.87,25.12,-61.85,82.66,82.67
