,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8021000,11525000,18954000,33337000,22229000,24858000,19222000,33560000,20068000,24589000,29548000,46635000,16805000,31427000,26528000,34256000,13516000,27648000,28714000,46571000,26160000,49009000,48685000,65855000,32793000,42050000,53145000,83391000,34766000,50403000,63631000,72812000,38585000,40645000,45249000,73187000,48399000,66220000,97022000,142146000,47805000,52234000,60917000,96997000,41970000,57558000,84178000,109381000,49078000,63875000
IncomeCostOfSales,7207000,9638000,16144000,27401000,17918000,18881000,15662000,27019000,16709000,19862000,25155000,36528000,14672000,24199000,21683000,26695000,13120000,23115000,23931000,37096000,23769000,42192000,42472000,53758000,29564000,37939000,42638000,70878000,31863000,43257000,56769000,60636000,36192000,38321000,40677000,61839000,45625000,59117000,85399000,116373000,45345000,49385000,56191000,84248000,40563000,54437000,73814000,98962000,48232000,60709000
IncomeDistributionExpenses,346000,422000,732000,1134000,897000,1297000,855000,1651000,945000,1264000,1345000,1896000,946000,1255000,1162000,1819000,1188000,1229000,1202000,1773000,1188000,1283000,1555000,1898000,1445000,1574000,1425000,1916000,1564000,1903000,1720000,2516000,1907000,1893000,2064000,2837000,2089000,1509000,2429000,2875000,2067000,2045000,2027000,3524000,2090000,2561000,2128000,3237000,2001000,2606000
IncomeAdministrativExpenses,373000,557000,647000,1272000,1010000,1510000,1114000,1592000,1555000,2048000,1993000,2021000,1354000,1667000,1450000,1992000,1389000,1525000,1442000,2625000,2440000,2476000,2166000,3149000,1817000,1919000,2720000,3011000,2406000,2406000,2224000,3310000,2166000,2144000,2047000,2270000,2010000,2405000,3018000,5466000,2364000,2282000,2288000,3317000,2767000,2967000,2775000,3583000,2646000,3156000
IncomeGrossProfit,95000,908000,1431000,3530000,2404000,3170000,1591000,3298000,859000,1415000,1055000,6190000,-167000,4306000,2233000,3750000,-2181000,1779000,2139000,5077000,-1237000,3058000,2492000,7050000,-33000,618000,6362000,7586000,-1067000,2837000,2918000,6350000,-1680000,-1713000,461000,6241000,-1325000,3189000,6176000,17432000,-1971000,-1478000,411000,5908000,-3450000,-2407000,5461000,3599000,-3801000,-2596000
IncomeOtherOperatingIncome,83000,183000,46000,1048000,99000,208000,126000,594000,79000,314000,209000,532000,291000,220000,495000,288000,580000,231000,418000,458000,741000,1530000,1323000,1031000,536000,2000000,-388000,679000,1261000,772000,-1030000,2693000,658000,2349000,645000,-1368000,-248000,725000,973000,1326000,98000,879000,1042000,361000,294000,611000,1059000,843000,530000,969000
IncomeOtherOperatingCosts,50000,90000,40000,1381000,101000,211000,85000,266000,45000,295000,140000,1224000,90000,1147000,288000,488000,69000,911000,143000,2004000,577000,1286000,798000,1885000,375000,2229000,762000,4644000,785000,907000,705000,2637000,1271000,886000,765000,124000,137000,189000,393000,1247000,270000,556000,386000,2475000,119000,772000,1751000,4345000,77000,1172000
IncomeEBIT,128000,1001000,1437000,3197000,2402000,3167000,1632000,3626000,893000,1434000,1124000,5498000,34000,3379000,2440000,3550000,-1670000,1099000,2414000,3531000,-1073000,3302000,3017000,6196000,128000,389000,5212000,3621000,-591000,2702000,1183000,6406000,-2293000,-250000,341000,4749000,-1710000,3725000,6756000,17511000,-2143000,-1155000,1067000,3794000,-3275000,-2568000,4769000,97000,-3348000,-2799000
IncomeFinanceIncome,5000,5000,1000,113000,31000,712000,447000,1043000,690000,1244000,869000,840000,782000,733000,591000,698000,755000,762000,461000,459000,404000,363000,438000,915000,427000,528000,102000,359000,268000,250000,249000,182000,177000,276000,155000,291000,211000,260000,304000,233000,379000,318000,73000,483000,59000,27000,107000,60000,97000,358000
IncomeFinanceCosts,23000,60000,86000,96000,50000,211000,-103000,469000,41000,399000,9000,163000,271000,-1000,66000,30000,154000,15000,166000,583000,144000,155000,247000,226000,256000,273000,498000,129000,126000,260000,148000,341000,499000,37000,-95000,168000,161000,74000,181000,53000,239000,-113000,373000,229000,401000,311000,392000,553000,396000,506000
