,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2179000,2187000,1946000,1812000,1753000,1976000,2413000,2675000,3503000,3920000,4423000,5607000,5756000,6157000,5726000,5992000,6236000,6361000,6606000,7763000,8453000,9698000,9514000,10493000,11766000,14047000,15241000,16054000,17772000,17282000,18930000,22225000,24111000,22743000,26860000,25419000,26814000,30265000
IncomeRevenues_yy,,,,,-19.56,-9.64,23.98,47.68,99.83,98.34,83.32,109.56,64.34,57.06,29.47,6.87,8.34,3.33,15.35,29.58,35.55,52.44,44.03,35.16,39.19,44.85,60.19,52.99,51.05,23.03,24.20,38.44,35.67,31.60,41.89,14.37,11.21,33.07
IncomeRevenues_sy,,,,,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,0.37,-11.02,-6.90,-3.25,12.75,22.08,10.89,30.93,11.91,12.83,26.76,2.67,6.95,-6.99,4.63,4.09,2.01,3.84,17.53,8.88,14.72,-1.89,10.29,12.13,19.39,8.50,5.33,10.70,-2.76,9.54,17.41,8.49,-5.67,18.10,-5.36,5.49,12.87
IncomeRevenues_sq,,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,1560000,1714000,1669000,,,,,,,,,12337000,,8303000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,-100.00,-100.00,-100.00,,,,,,,,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,-5.98,-1.76,18.01,,,,,,,,,-3.33,,12.83,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,9.87,-2.63,-100.00,,,,,,,,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,4.60,-15.34,36.62,,,,,,,,,-34.66,,-0.51,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
