,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,14527000,18309000,19216000,16765000,15954000,53406000,22304000,25451000,24539000,59541000,18191000,23258000,17311000,60727000,51312000,28185000,37570000,81431000,28432000,24817000,26775000,80358000,39874000,34238000,35723000,74232000,34753000,71306000,103556000,89537000,39071000,46758000,42635000,41119000,38294000,46409000,52350000,44611000,23535000,26889000,23414000,47191000,25779000,30634000,25614000,59649000,30265000,31102000
IncomeCostOfSales,13012000,15131000,15780000,11280000,14629000,42365000,18057000,21148000,19952000,50343000,13342000,20677000,14365000,49417000,42430000,23212000,33215000,72179000,25583000,20091000,22946000,64623000,32672000,28575000,28618000,65096000,31240000,62016000,95046000,72128000,31264000,38478000,37283000,31277000,32269000,37229000,41925000,30053000,16942000,20051000,15603000,36308000,18303000,23058000,20702000,42270000,23205000,22424000
IncomeDistributionExpenses,2325000,2375000,2002000,4985000,-107000,4342000,2511000,3261000,3191000,3617000,3685000,1060000,3470000,6324000,6641000,4485000,4774000,5088000,5327000,6439000,3336000,8891000,5506000,3774000,4960000,9667000,5581000,7781000,6977000,9871000,8332000,9788000,7347000,8207000,6538000,6577000,6807000,7549000,6023000,4819000,5746000,6909000,6084000,6217000,4037000,6163000,6284000,6164000
IncomeAdministrativExpenses,378000,1265000,1077000,1416000,593000,1779000,1134000,1647000,1085000,2274000,1499000,3363000,1927000,-418000,1232000,2413000,1397000,1720000,1508000,1869000,1537000,2425000,1507000,2666000,1368000,1739000,985000,1555000,1636000,2396000,1797000,2822000,2428000,2408000,2238000,2713000,2349000,2455000,2344000,2744000,2563000,2459000,2866000,2776000,3030000,3527000,2865000,2984000
IncomeGrossProfit,-1188000,-462000,357000,-916000,839000,4920000,602000,-605000,311000,3307000,-335000,-1842000,-2451000,5404000,1009000,-1925000,-1816000,2444000,-3986000,-3582000,-1044000,4419000,189000,-777000,777000,-2270000,-3053000,-46000,-103000,5142000,-2322000,-4330000,-4423000,-773000,-2751000,-110000,1269000,4554000,-1774000,-725000,-498000,1515000,-1474000,-1417000,-2155000,7689000,-2089000,-470000
IncomeOtherOperatingIncome,161000,956000,54000,144000,-115000,854000,19000,106000,21000,2540000,48000,17000,39000,31000,8000,38000,41000,9000,37000,51000,200000,295000,185000,307000,132000,322000,220000,134000,557000,-399000,42000,3711000,-3548000,577000,394000,162000,85000,542000,101000,965000,158000,215000,199000,227000,171000,767000,162000,133000
IncomeOtherOperatingCosts,46000,150000,54000,83000,-137000,194000,29000,40000,95000,223000,20000,439000,-104000,-143000,43000,81000,22000,141000,45000,1992000,42000,1943000,72000,917000,474000,-58000,21000,14000,544000,-283000,131000,69000,98000,5040000,95000,70000,27000,970000,17000,58000,50000,3075000,219000,98000,35000,63000,57000,61000
IncomeEBIT,-1073000,344000,357000,-855000,861000,5580000,592000,-539000,237000,5624000,-307000,-2264000,-2308000,5578000,974000,-1968000,-1797000,2312000,-3994000,-5523000,-886000,2771000,302000,-1387000,435000,-1890000,-2854000,74000,-90000,5026000,-2411000,-688000,-8069000,-5236000,-2452000,-18000,1327000,4126000,-1690000,182000,-390000,-1345000,-1494000,-1288000,-2019000,8393000,-1984000,-398000
IncomeFinanceIncome,325000,45000,216000,-108000,42000,4031000,96000,1556000,486000,118000,503000,444000,346000,351000,804000,-83000,326000,71000,311000,234000,148000,22000,1552000,-189000,656000,194000,617000,224000,374000,245000,97000,130000,43000,131000,517000,-203000,26000,-79000,69000,-1000,24000,12000,695000,-18000,-529000,713000,33000,52000
IncomeFinanceCosts,-117000,-296000,26000,56000,126000,183000,268000,-88000,34000,1269000,2671000,-702000,-447000,-471000,54000,567000,-531000,122000,112000,-70000,383000,713000,63000,61000,328000,196000,37000,658000,391000,235000,148000,-10000,199000,581000,432000,265000,231000,98000,445000,382000,-178000,622000,83000,105000,33000,118000,584000,1203000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-631000,685000,547000,-1019000,777000,9428000,420000,1105000,689000,4473000,-2475000,-1118000,-1515000,6400000,1724000,-2618000,-940000,2261000,-3795000,-5219000,-1121000,2080000,1791000,-1637000,763000,-1892000,-2274000,-360000,-107000,5036000,-2462000,-548000,-8225000,-5686000,-2367000,-486000,1122000,3949000,-2066000,-201000,-188000,-1955000,-882000,-1411000,-2581000,8988000,-2535000,-1549000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-631000,685000,547000,-1019000,777000,9428000,420000,1105000,689000,4473000,-2475000,-1118000,-1515000,6400000,1724000,-2618000,-940000,2261000,-3795000,-5219000,-1121000,2080000,1791000,-1637000,763000,-1892000,-2274000,-360000,-107000,5036000,-2462000,-548000,-8225000,-5686000,-2367000,-486000,1122000,3949000,-2066000,-201000,-188000,-1955000,-882000,-1411000,-2581000,8988000,-2535000,-1549000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-470000,584000,410000,-865000,528000,7608000,135000,933000,567000,3595000,-2149000,-1281000,-1543000,5964000,1217000,-2090000,-663000,1804000,-3818000,-4164000,-772000,1459000,1334000,-1288000,460000,-1652000,-2455000,100000,-224000,4248000,-2078000,473000,-7257000,-4376000,-2009000,-634000,1095000,2937000,-1620000,-333000,-222000,-3337000,-632000,-1303000,-2362000,4700000,-2127000,-1302000
IncomeShareholderNetProfit,-470000,584000,410000,-865000,528000,7608000,135000,933000,584000,2988000,-2312000,-1211000,-1326000,5875000,1377000,-1763000,-473000,2021000,-3623000,-3793000,-466000,1676000,1529000,-899000,1090000,-447000,-2009000,-19000,-489000,4469000,-1669000,870000,-7067000,-3926000,-1599000,-98000,416000,3037000,-1582000,-114000,-108000,-3416000,-284000,-951000,-1784000,4285000,-1673000,-963000
BalanceNoncurrentAssets,9212000,7918000,7829000,7586000,5541000,5113000,5080000,9585000,9111000,10024000,12125000,14029000,12812000,15987000,16713000,23862000,27648000,27797000,27026000,25918000,25931000,24706000,25620000,25262000,26401000,27545000,33783000,34164000,39728000,38068000,37029000,36349000,35416000,35524000,36048000,36865000,40928000,40783000,39988000,39013000,35885000,35667000,36195000,12000,191000,166000,301000,492000
BalanceIntangibleAssets,426000,382000,4587000,3858000,4835000,4693000,5578000,5460000,5120000,4909000,7340000,8942000,8861000,8958000,8835000,9085000,8919000,8793000,9004000,9151000,9084000,9161000,14374000,14352000,14386000,14192000,14139000,15223000,15170000,15396000,15353000,21156000,21140000,21024000,20901000,21583000,21042000,21011000,4136000,2604000,2540000,2141000,1691000,1591000,1390000,1803000,1892000,1897000
BalanceProperty,3884000,3933000,1650000,1619000,1695000,3150000,3133000,2850000,3248000,3070000,2755000,2715000,2887000,2771000,3715000,4776000,4750000,4945000,5003000,4836000,4903000,4565000,4225000,4376000,4074000,4650000,4348000,4088000,3985000,3700000,3532000,3516000,3181000,,,,,,201000,0,171000,243000,229000,248000,534000,530000,2452000,4984000
BalanceNoncurrentReceivables,5884000,7369000,10275000,10359000,9740000,9136000,8366000,7518000,8056000,7546000,8081000,7711000,6769000,6521000,10402000,9795000,9196000,8660000,7760000,7223000,7949000,8172000,7681000,7560000,6823000,6048000,6357000,6540000,7264000,4516000,4515000,4515000,4515000,2523000,2523000,2523000,2523000,2523000,2523000,2523000,3152000,1751000,2278000,2177000,2282000,1855000,1761000,1585000
BalanceNoncurrInvestments,1699000,1647000,1484000,1494000,1661000,1515000,1820000,7515000,1862000,1751000,441000,,,,,,,,,,548000,608000,608000,629000,634000,573000,614000,429000,609000,521000,491000,836000,1499000,1986000,2048000,3721000,3443000,3966000,3495000,3178000,4078000,4070000,4390000,4280000,3939000,4154000,5588000,6462000
BalanceOtherNoncurrentAssets,8220000,8610000,8738000,8985000,8208000,8755000,8629000,8690000,7743000,7995000,8156000,8364000,4413000,4569000,4739000,23750000,23177000,28182000,21860000,85023000,73310000,72976000,92166000,74863000,71826000,91113000,76129000,79129000,108663000,77177000,65217000,108091000,74441000,68333000,74999000,70655000,73632000,99119000,121962000,87551000,68905000,63897000,63116000,57369000,60809000,58957000,62753000,67268000
