,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,501000,770000,1273000,3818000,3924000,6887000,8824000,24935000,15024000,17473000,12666000,11495000,10305000,10852000,10661000,16412000,14192000,17872000,25259000,64770000,31588000,27256000,22066000,23022000,19500000,21536000,20931000,33611000,20753000,22277000,22528000,32585000,26775000,27779000,28970000,35573000,24808000,22227000,19414000
IncomeRevenues_yy,,,,,683.23,794.42,593.17,553.09,282.87,153.71,43.54,-53.90,-31.41,-37.89,-15.83,42.78,37.72,64.69,136.93,294.65,122.58,52.51,-12.64,-64.46,-38.27,-20.99,-5.14,46.00,6.43,3.44,7.63,-3.05,29.02,24.70,28.60,9.17,-7.35,-19.99,-32.99
IncomeRevenues_sy,,,,,117.41,356.48,26.19,11.74,28.12,18.80,32.47,-2.17,-8.19,-28.69,-35.13,17.58,11.47,-7.92,5.08,4.51,10.94,10.54,-3.64,-20.82,-3.82,17.85,-6.22,30.36,-10.58,-0.04,6.11,-2.78,6.54,21.20,7.18,-9.79,2.12,-11.23,-32.99
IncomeRevenues_qq,,53.69,65.32,199.92,2.78,75.51,28.13,182.58,-39.75,16.30,-27.51,-9.25,-10.35,5.31,-1.76,53.94,-13.53,25.93,41.33,156.42,-51.23,-13.71,-19.04,4.33,-15.30,10.44,-2.81,60.58,-38.26,7.34,1.13,44.64,-17.83,3.75,4.29,22.79,-30.26,-10.40,-12.66
IncomeRevenues_sq,,53.69,43.48,45.26,2.78,6.50,-5.39,14.10,14.93,16.30,-24.56,-13.51,4.98,-15.13,-9.12,12.87,-12.45,-13.66,0.08,98.27,-27.59,-17.72,7.98,6.06,6.74,-1.50,-6.18,29.01,-20.04,6.24,-1.40,8.62,-10.67,3.75,2.38,5.63,-4.20,-10.40,-12.66
IncomeCostOfSales,1339000,-1128000,4594000,-2919000,507000,774000,16298000,-13426000,326000,451000,1510000,-558000,463000,484000,470000,1032000,545000,620000,556000,2924000,619000,631000,604000,1282000,571000,537000,529000,1725000,758000,946000,818000,1489000,903000,1458000,2414000,3409000,2582000,2510000,2486000
IncomeCostOfSales_yy,,,,,-62.14,168.62,254.77,-359.95,-35.70,-41.73,-90.74,95.84,42.02,7.32,-68.87,284.95,17.71,28.10,18.30,183.33,13.58,1.77,8.63,-56.16,-7.75,-14.90,-12.42,34.56,32.75,76.16,54.63,-13.68,19.13,54.12,195.11,128.95,185.94,72.15,2.98
IncomeCostOfSales_sy,,,,,-62.14,168.62,254.77,-359.95,-35.70,-41.73,-90.74,95.84,42.02,7.32,-68.87,284.95,17.71,28.10,18.30,183.33,13.58,1.77,8.63,-56.16,-6.93,11.58,12.98,93917.28,60.08,47.10,55.64,16.10,14.68,21.46,92.13,64.20,185.94,9.08,2.98
IncomeCostOfSales_qq,,-184.24,507.27,-163.54,117.37,52.66,2005.68,-182.38,102.43,38.34,234.81,-136.95,182.97,4.54,-2.89,119.57,-47.19,13.76,-10.32,425.90,-78.83,1.94,-4.28,112.25,-55.46,-5.95,-1.49,226.09,-56.06,24.80,-13.53,82.03,-39.36,61.46,65.57,41.22,-24.26,-2.79,-0.96
IncomeCostOfSales_sq,,-184.24,507.27,-163.54,117.37,52.66,2005.68,-182.38,102.43,38.34,234.81,-136.95,182.97,4.54,-2.89,119.57,-47.19,13.76,-10.32,425.90,-78.83,14.44,-14.36,6.16,59872.27,40.36,-12.88,118.47,-18.24,21.19,-6.52,42.64,-24.50,61.46,0.90,28.20,-14.79,-0.85,-0.96
IncomeDistributionExpenses,,,,4412000,3217000,4801000,,27604000,9266000,11155000,7144000,6562000,5968000,6317000,6150000,8472000,8780000,10616000,15848000,31393000,18643000,15770000,12493000,12172000,11325000,12416000,11962000,15503000,12231000,13291000,13337000,16469000,16187000,16078000,16304000,16112000,13701000,11706000,10449000
IncomeDistributionExpenses_yy,,,,,,,,525.66,188.03,132.35,,-76.23,-35.59,-43.37,-13.91,29.11,47.12,68.05,157.69,270.55,112.33,48.55,-21.17,-61.23,-39.25,-21.27,-4.25,27.37,8.00,7.05,11.49,6.23,32.34,20.97,22.25,-2.17,-15.36,-27.19,-35.91
IncomeDistributionExpenses_sy,,,,,,,,525.66,188.03,132.35,,-76.23,-35.59,-43.37,-13.91,29.11,47.12,68.05,157.69,270.55,112.33,8.76,7.78,-19.71,62.18,166.15,212.52,209.89,74.12,33.88,-44.26,-46.88,-33.83,-39.52,22.25,-2.17,-15.36,-27.19,-35.91
IncomeDistributionExpenses_qq,,,,,-27.09,49.24,-100.00,,-66.43,20.39,-35.96,-8.15,-9.05,5.85,-2.64,37.76,3.64,20.91,49.28,98.09,-40.61,-15.41,-20.78,-2.57,-6.96,9.63,-3.66,29.60,-21.11,8.67,0.35,23.48,-1.71,-0.67,1.41,-1.18,-14.96,-14.56,-10.74
IncomeDistributionExpenses_sq,,,,,-27.09,49.24,-100.00,,-66.43,20.39,-35.96,-8.15,-9.05,5.85,-2.64,37.76,3.64,20.91,-0.81,67.01,-26.01,0.64,-11.74,9.26,42.38,55.18,4.95,21.13,-13.78,21.48,-49.83,23.48,-1.71,-0.67,1.41,-1.18,-14.96,-14.56,-10.74
IncomeAdministrativExpenses,,,,2269000,395000,544000,,2503000,1382000,213000,796000,1207000,803000,805000,738000,1225000,821000,887000,756000,1832000,913000,946000,852000,1573000,993000,944000,822000,1608000,1071000,1181000,940000,1630000,1037000,1153000,998000,1941000,1124000,1234000,1049000
IncomeAdministrativExpenses_yy,,,,,,,,10.31,249.87,-60.85,,-51.78,-41.90,277.93,-7.29,1.49,2.24,10.19,2.44,49.55,11.21,6.65,12.70,-14.14,8.76,-0.21,-3.52,2.23,7.85,25.11,14.36,1.37,-3.17,-2.37,6.17,19.08,8.39,7.03,5.11
IncomeAdministrativExpenses_sy,,,,,,,,10.31,249.87,-60.85,,-51.78,-41.90,277.93,-7.29,1.49,2.24,10.19,2.44,49.55,11.21,-10.32,19.69,28.39,24.37,140.31,23.09,2.23,25.22,-17.66,-6.44,-57.70,-26.89,-2.37,56.57,39.26,15.53,43.50,5.11
IncomeAdministrativExpenses_qq,,,,,-82.59,37.72,-100.00,,-44.79,-84.59,273.71,51.63,-33.47,0.25,-8.32,65.99,-32.98,8.04,-14.77,142.33,-50.16,3.61,-9.94,84.62,-36.87,-4.93,-12.92,95.62,-33.40,10.27,-20.41,73.40,-36.38,11.19,-13.44,94.49,-42.09,9.79,-14.99
IncomeAdministrativExpenses_sq,,,,,-82.59,37.72,-100.00,,-44.79,-84.59,273.71,51.63,-33.47,0.25,-8.32,65.99,-32.98,8.04,-20.84,150.12,-55.36,3.61,27.34,134.97,-36.87,89.04,-34.77,104.70,-33.40,10.27,-47.77,58.65,-0.72,10.41,-8.10,52.68,-19.14,35.31,-14.99
IncomeGrossProfit,-838000,-795000,-628000,56000,-195000,768000,1483000,8254000,4050000,5654000,3216000,4284000,3071000,3246000,3303000,5683000,4046000,5749000,8099000,28621000,11413000,9909000,8117000,7995000,6611000,7639000,7618000,14775000,6693000,6859000,7433000,12997000,8648000,9090000,9254000,14111000,7401000,6777000,5430000
IncomeGrossProfit_yy,,,,,76.73,196.60,336.15,14639.29,2176.92,636.20,116.86,-48.10,-24.17,-42.59,2.71,32.66,31.75,77.11,145.20,403.62,182.08,72.36,0.22,-72.07,-42.07,-22.91,-6.15,84.80,1.24,-10.21,-2.43,-12.03,29.21,32.53,24.50,8.57,-14.42,-25.45,-41.32
IncomeGrossProfit_sy,,,,,231.90,186.20,15.67,-7.51,48.69,27.24,57.51,-57.96,-24.17,-66.39,-41.74,33.80,-8.63,4.76,51.02,4.70,22.99,21.62,35.78,-50.14,14.00,-18.94,-16.84,118.73,-13.08,37.80,-2.43,1.98,28.37,28.50,-2.98,-36.12,-13.62,-17.56,-41.32
IncomeGrossProfit_qq,,5.13,21.01,108.92,-448.21,493.85,93.10,456.57,-50.93,39.60,-43.12,33.21,-28.31,5.70,1.76,72.06,-28.81,42.09,40.88,253.39,-60.12,-13.18,-18.08,-1.50,-17.31,15.55,-0.27,93.95,-54.70,2.48,8.37,74.86,-33.46,5.11,1.80,52.49,-47.55,-8.43,-19.88
IncomeGrossProfit_sq,,36.32,87.44,49.61,-36.28,5.89,-13.56,-4.77,19.87,2.63,-43.12,-31.81,27.23,-43.72,1.43,69.53,5.92,-22.42,18.50,59.29,0.18,-25.80,22.10,-25.61,47.48,-16.94,15.40,16.67,-31.12,3.42,12.32,-8.18,-4.48,8.56,-0.36,-7.96,0.25,-8.43,-19.88
IncomeOtherOperatingIncome,,81000,107000,200000,179000,218000,235000,637000,354000,-283000,1093000,-1005000,29000,-4000,30000,75000,42000,0,3000,1000,6000,21000,0,57000,1000,1000,3000,11000,68000,1000,32000,290000,43000,19000,31000,3000,112000,-52000,-23000
IncomeOtherOperatingIncome_yy,,,,,,169.14,119.63,218.50,97.77,-229.82,365.11,-257.77,-91.81,98.59,-97.26,107.46,44.83,100.00,-90.00,-98.67,-85.71,,-100.00,5600.00,-83.33,-95.24,,-80.70,6700.00,,966.67,2536.36,-36.76,1800.00,-3.12,-98.97,160.47,-373.68,-174.19
IncomeOtherOperatingIncome_sy,,,,,,63.53,77.60,100.58,97.77,-192.13,157.45,-257.77,285.42,96.05,-96.69,146.79,-67.35,100.00,8.61,-23.48,-84.13,,-39.43,-79.46,86.40,-43.72,,136.78,-60.52,,-28.83,-74.64,47.76,-20.88,40.38,86.24,-9.71,153.02,-174.19
IncomeOtherOperatingIncome_qq,,,32.10,86.92,-10.50,21.79,7.80,171.06,-44.43,-179.94,486.22,-191.95,102.89,-113.79,850.00,150.00,-44.00,-100.00,,-66.67,500.00,250.00,-100.00,,-98.25,,200.00,266.67,518.18,-98.53,3100.00,806.25,-85.17,-55.81,63.16,-90.32,3633.33,-146.43,55.77
IncomeOtherOperatingIncome_sq,,,28.20,86.92,-41.27,21.79,7.80,171.06,-23.78,-158.74,486.22,-191.95,286.87,-113.79,47.43,181.20,-35.38,-48.31,,167.09,-44.22,89.42,-55.10,,101.66,,84.09,206.18,-73.82,166.41,-7.40,37.08,23.53,9.33,50.63,89.34,-72.63,400.00,55.77
IncomeOtherOperatingCosts,,7000,0,,,,21000,6000,4000,5000,1000,1000,,31000,0,0,,,1000,4000,,,2000,1000,,0,11000,0,,2000,0,0,,2000,0,5000,,2000,0
IncomeOtherOperatingCosts_yy,,,,,,-100.00,,,,,-95.24,-83.33,-100.00,520.00,-100.00,-100.00,,-100.00,,,,,100.00,-75.00,,,450.00,-100.00,,,-100.00,,,,,,,,
IncomeOtherOperatingCosts_sy,,,,,,-43.75,,,,,-3.12,-63.50,285.71,647.64,-74.19,-72.96,,-74.93,,,,,30.96,-60.70,,,-10.91,20.31,,,5.91,,,,,,,,
IncomeOtherOperatingCosts_qq,,,-100.00,,,,,-71.43,-33.33,25.00,-80.00,,-100.00,,-100.00,,,,,300.00,-100.00,,,-50.00,-100.00,,,-100.00,,,-100.00,,,,-100.00,,-100.00,,-100.00
IncomeOtherOperatingCosts_sq,,,5.57,,,,,406.22,-94.25,25.00,-51.48,,-80.50,,-33.24,,,,,309.90,-56.66,,,16.29,-37.62,,,146.61,,,-36.96,,,,-32.30,,-80.85,,-100.00
IncomeEBIT,-838000,-721000,-521000,263000,-16000,986000,1697000,8885000,4400000,5366000,4308000,3278000,3100000,3211000,3333000,5758000,4088000,5749000,8101000,28618000,11419000,9930000,8115000,8051000,6612000,7640000,7610000,14786000,6761000,6858000,7465000,13287000,8691000,9107000,9285000,14109000,7513000,6723000,5407000
IncomeEBIT_yy,,,,,98.09,236.75,425.72,3278.33,27600.00,444.22,153.86,-63.11,-29.55,-40.16,-22.63,75.66,31.87,79.04,143.05,397.01,179.33,72.73,0.17,-71.87,-42.10,-23.06,-6.22,83.65,2.25,-10.24,-1.91,-10.14,28.55,32.79,24.38,6.19,-13.55,-26.18,-41.77
IncomeEBIT_sy,,,,,157.67,186.42,18.88,-29.86,48.62,24.85,66.18,-63.11,-29.55,-68.88,-88.15,75.66,-10.08,-3.24,55.29,0.38,37.30,8.14,35.17,-59.52,17.56,-23.00,-12.42,136.50,-12.82,4.40,-1.91,-24.92,22.55,28.80,-0.86,3.80,-13.55,-18.77,-41.77
IncomeEBIT_qq,,13.96,27.74,150.48,-106.08,6262.50,72.11,423.57,-50.48,21.95,-19.72,-23.91,-5.43,3.58,3.80,72.76,-29.00,40.63,40.91,253.27,-60.10,-13.04,-18.28,-0.79,-17.87,15.55,-0.39,94.30,-54.27,1.43,8.85,77.99,-34.59,4.79,1.95,51.95,-46.75,-10.52,-19.57
