,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,113515000,103260000,94999000,86964000,90778000,126108000,320460000,220255000,164427000,176128000,212862000,171272000,187054000,288586000,349700000,307534000,348420000,380785000,379894000,349601000,304672000,317822000,297916000,233350000,206796000,242138000,292511000,269962000,258287000,273146000,291119000,273124000,284432000,299176000,304577000,254714000,256174000,344279000,319292000,300554000,359009000,373101000,405749000,393806000,461064000,450995000
IncomeCostOfSales,98197000,90642000,84456000,74358000,78484000,110676000,297371000,209790000,154498000,168102000,196523000,164675000,171090000,263239000,329810000,286418000,320149000,355662000,355232000,331361000,287594000,302010000,282506000,219017000,197759000,228241000,273933000,249734000,242697000,251324000,270113000,245035000,262330000,276148000,284494000,227168000,235718000,303103000,290457000,267773000,325659000,346182000,371579000,350353000,424935000,423703000
IncomeDistributionExpenses,7109000,7264000,6367000,8678000,5919000,7270000,8289000,5447000,6285000,8386000,8252000,7110000,7083000,10798000,10688000,9474000,10590000,12109000,12695000,10914000,10488000,11166000,17841000,8710000,8238000,8173000,9286000,12988000,9840000,11010000,11457000,12385000,10716000,12239000,11864000,11779000,11016000,14859000,14753000,14276000,14609000,14450000,15075000,16587000,15506000,15714000
IncomeAdministrativExpenses,997000,1539000,1554000,497000,1374000,2282000,2450000,2693000,2095000,1972000,2230000,1559000,2188000,2618000,2456000,3283000,2735000,2842000,2808000,2326000,2620000,2854000,2523000,2490000,2395000,2499000,2420000,2286000,2560000,3137000,3035000,3624000,2891000,9433000,3107000,3571000,2675000,4095000,4393000,3741000,4549000,6359000,5853000,5805000,5126000,4478000
IncomeGrossProfit,7212000,3815000,2622000,3431000,5001000,5880000,12350000,2325000,1549000,-2332000,5857000,-2072000,6693000,11931000,6746000,8359000,14946000,10172000,9159000,5000000,3970000,1792000,-4954000,3133000,-1596000,3225000,6872000,4954000,3190000,7675000,6514000,12080000,8495000,1356000,5112000,12196000,6765000,22222000,9689000,14764000,14192000,6110000,13242000,21061000,15497000,7100000
IncomeOtherOperatingIncome,13000,137000,279000,957000,151000,381000,-421000,1118000,211000,571000,255000,741000,554000,5080000,454000,165000,356000,419000,145000,30000,64000,724000,634000,281000,3012000,1602000,4810000,986000,417000,847000,573000,446000,813000,680000,153000,289000,447000,507000,167000,619000,1261000,262000,154000,451000,796000,1667000
IncomeOtherOperatingCosts,7000,78000,159000,989000,188000,238000,-279000,909000,166000,515000,171000,625000,575000,4228000,274000,232000,311000,436000,82000,343000,56000,720000,761000,307000,2986000,1364000,4810000,1217000,260000,818000,518000,542000,665000,571000,1311000,230000,305000,369000,-137000,618000,804000,109000,178000,368000,804000,626000
IncomeEBIT,7218000,3874000,2742000,3399000,4964000,6023000,12208000,2534000,1594000,-2276000,5941000,-1956000,6672000,12783000,6926000,8292000,14991000,10155000,9222000,4687000,3978000,1796000,-5081000,3107000,-1570000,3463000,6872000,4723000,3347000,7704000,6569000,11984000,8643000,1465000,3954000,12255000,6907000,22360000,9993000,14765000,14649000,6263000,13218000,21144000,15489000,8141000
IncomeFinanceIncome,13000,64000,213000,27000,160000,144000,98000,557000,290000,57000,23000,159000,51000,574000,795000,609000,370000,788000,533000,689000,975000,826000,433000,1116000,521000,845000,365000,460000,453000,410000,412000,338000,187000,287000,184000,1436000,462000,1073000,1653000,672000,1243000,437000,1194000,865000,255000,587000
IncomeFinanceCosts,408000,500000,526000,445000,453000,569000,2524000,1947000,1098000,1121000,1064000,974000,926000,954000,1173000,1802000,2468000,2506000,2544000,2678000,2603000,2644000,3252000,3015000,1885000,1888000,1732000,2379000,1499000,1740000,1453000,1927000,1079000,1184000,1050000,1525000,1028000,1246000,1862000,1248000,2517000,969000,2421000,1795000,1687000,1717000
IncomeOtherIncome,,,,323000,,925000,425000,-314000,-161000,29000,-147000,-70000,200000,73000,151000,191000,47000,-37000,213000,-187000,-157000,-108000,511000,-18000,-66000,40000,354000,157000,138000,90000,174000,207000,116000,46000,98000,127000,-6000,267000,258000,47000,134000,6823000,3438000,2429000,3304000,4671000
IncomeNetGrossProfit,5598000,10707000,1569000,472000,-3501000,4929000,-2918000,5727000,12603000,6621000,7250000,13084000,8484000,7174000,2911000,2163000,-179000,-8008000,1719000,-2952000,2354000,5545000,2848000,2301000,6374000,5528000,10749000,7908000,706000,3178000,12340000,6548000,22303000,9830000,14287000,13502000,5725000,12258000,20472000,14104000,7145000,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,0,0,0,,30000,55000,0,,,,,,,,,,,,,,,,,6823000,3438000,2429000,3304000,4671000,5598000,10707000
IncomeBeforeTaxProfit,1569000,472000,-3501000,4929000,-2918000,5727000,12603000,6621000,7250000,13084000,8484000,7174000,2911000,2163000,-179000,-8008000,1719000,-2952000,2384000,5600000,2848000,2301000,6374000,5528000,10749000,7908000,706000,3178000,12340000,6548000,22303000,9830000,14287000,13502000,5725000,12258000,20472000,14104000,7145000,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,7000,0,0,0,,,,,,,,,,5362000,2906000,1978000,2807000,3706000,4506000,8833000,1150000
IncomeNetProfit,416000,-3577000,4105000,-1807000,4659000,10085000,5313000,5395000,10753000,6722000,6059000,2225000,1715000,-165000,-7765000,1596000,-2977000,2259000,4860000,2054000,1862000,5395000,4569000,8207000,6497000,595000,2487000,9908000,5314000,18061000,8075000,11271000,10867000,4558000,9830000,16299000,11450000,5687000,5362000,2906000,1978000,2807000,3706000,4506000,8833000,1150000
IncomeShareholderNetProfit,416000,-3577000,4105000,-1807000,4659000,10085000,5313000,5395000,10753000,6722000,6059000,2225000,1715000,-165000,-7765000,1596000,-2977000,2259000,4860000,2054000,1862000,5395000,4569000,8207000,6497000,595000,2487000,9908000,5314000,18061000,8075000,11271000,10867000,4558000,9830000,16299000,11450000,5687000,,,,,,,,
BalanceNoncurrentAssets,16888000,20760000,21522000,35542000,36036000,38186000,227950000,227723000,225848000,238885000,240015000,244299000,258816000,262152000,271487000,287909000,289402000,295249000,294955000,289757000,288272000,286525000,284639000,284511000,278862000,276802000,275111000,274044000,275006000,277042000,275142000,283149000,281880000,280598000,283008000,283607000,285585000,296084000,297075000,295372000,295042000,305315000,163000,140000,111000,84000
BalanceIntangibleAssets,74000,27000,96627000,96606000,96585000,96591000,96569000,96555000,96523000,96503000,96490000,96469000,97612000,98978000,98890000,98841000,98764000,98687000,98613000,98562000,98500000,98427000,98416000,98337000,98249000,98167000,98093000,98036000,98000000,97949000,97898000,97979000,97957000,97926000,97983000,97954000,97927000,97938000,14814000,18521000,19374000,23433000,23847000,25963000,125827000,125654000
BalanceProperty,124919000,136472000,137702000,141859000,139268000,139446000,149215000,164899000,165499000,170635000,169330000,164492000,163005000,161497000,159635000,159403000,157941000,156738000,155723000,155478000,157223000,160037000,158863000,161953000,161321000,160698000,164034000,165274000,167788000,179417000,180376000,179165000,179514000,190405000,,,,,,,,228000,228000,228000,646000,634000
BalanceNoncurrentReceivables,622000,608000,596000,583000,1005000,993000,980000,951000,920000,908000,896000,908000,702000,650000,548000,549000,551000,555000,554000,553000,368000,367000,367000,339000,335000,335000,335000,335000,281000,281000,286000,1446000,1446000,1446000,11428000,11428000,11428000,4123000,4019000,2979000,3073000,3003000,3203000,21427000,24650000,24197000
BalanceNoncurrInvestments,24372000,24185000,23428000,23321000,22911000,22893000,22768000,22858000,22822000,18764000,18076000,17407000,16723000,16147000,15303000,14660000,17500000,17071000,16751000,16327000,15780000,15301000,14357000,13755000,13230000,12518000,11888000,465000,653000,591000,597000,687000,768000,1145000,1216000,1137000,2103000,2107000,2060000,990000,957000,1002000,1164000,1113000,1228000,2463000
BalanceOtherNoncurrentAssets,2593000,2702000,2677000,2625000,3022000,3007000,3013000,3016000,2955000,2832000,2981000,2973000,5292000,5121000,4833000,4410000,4239000,4204000,4049000,4626000,4742000,4802000,4798000,94969000,89178000,78988000,97350000,105441000,129495000,218870000,213218000,184668000,167017000,224725000,245934000,315529000,381189000,410802000,361666000,343398000,345432000,310064000,261543000,256333000,282040000,300783000
BalanceCurrentAssets,252619000,286538000,320011000,327523000,303861000,349988000,359409000,330101000,275434000,304975000,329811000,315171000,374427000,394444000,402770000,444032000,472145000,562155000,508240000,30508000,38924000,23192000,31346000,49021000,61536000,77349000,84893000,67182000,61846000,80271000,56145000,139769000,141697000,142617000,146342000,139604000,141402000,107042000,101763000,102813000,102494000,108859000,106415000,127209000,162601000,159305000
BalanceInventory,125965000,147868000,163417000,145580000,121356000,132608000,134602000,119401000,183821000,168224000,178837000,199686000,218208000,289494000,249654000,60121000,47178000,53372000,47058000,55550000,67115000,122633000,126907000,115142000,103135000,143010000,188084000,175052000,237504000,266386000,213201000,202860000,197406000,201616000,157663000,152281000,176329000,190243000,144136000,153877000,150711000,161280000,163782000,178371000,179787000,168033000
BalanceCurrentReceivables,145658000,161226000,189282000,180451000,185088000,221898000,217226000,239219000,248703000,265247000,252179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089000,3241000,3216000,3191000,3126000,3061000,2996000
BalanceCurrentInvestments,3819000,3792000,3793000,3825000,3817000,3841000,3832000,3783000,3772000,3754000,3748000,925000,1127000,909000,16276000,550000,524000,18888000,1418000,2344000,2036000,1444000,1705000,708000,1988000,1799000,2123000,934000,6624000,1406000,2117000,1239000,3217000,1681000,2068000,1363000,3458000,3722000,10923000,20623000,13144000,13492000,4601000,7349000,2134000,11494000
BalanceCash,1701000,481000,2875000,1344000,1462000,3660000,2659000,3415000,1949000,1515000,2670000,320000,320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
