,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1546000,1512000,18695000,2585000,5066000,2442000,1941000,4838000,2161000,3105000,2669000,36833000,22863000,5471000,4821000,28630000,10403000,10052000,44632000,30287000,23209000,13741000,18265000,78054000,53247000,15957000,130225000,93048000,31952000,153810000
IncomeCostOfSales,,,,,3863000,2503000,1679000,2924000,1455000,1636000,2286000,32186000,18330000,4271000,2492000,22665000,7722000,7014000,34196000,21575000,17512000,10252000,14270000,60478000,39749000,10961000,105465000,76561000,23688000,117181000
IncomeDistributionExpenses,,,,,671000,497000,478000,899000,449000,363000,570000,750000,850000,1217000,1067000,1890000,1234000,1601000,1922000,1416000,1888000,2350000,2383000,2783000,2762000,3674000,2333000,4676000,3023000,3434000
IncomeAdministrativExpenses,,,,,921000,915000,746000,1313000,1152000,1324000,862000,1480000,1092000,1018000,985000,1960000,1479000,1791000,1813000,1706000,1209000,1204000,1309000,697000,1556000,1250000,1212000,3171000,2121000,1476000
IncomeGrossProfit,-149000,-268000,1981000,-3428000,-389000,-1473000,-962000,-298000,-895000,-218000,-1049000,2417000,2591000,-1035000,277000,2115000,-32000,-354000,6701000,5590000,2600000,-65000,303000,14096000,9180000,72000,21215000,8640000,3120000,31719000
IncomeOtherOperatingIncome,4000,48000,28000,676000,0,11182000,1000,1695000,11000,4093000,25000,1081000,77000,-1087000,196000,11483000,-35000,2588000,72000,5602000,264000,1902000,17444000,1849000,-1688000,-575000,1526000,-1512000,3090000,8454000
IncomeOtherOperatingCosts,6000,0,0,13326000,34000,-11000,92000,17398000,153000,418000,79000,1134000,33000,226000,211000,2826000,458000,738000,741000,1417000,125000,32000,59000,1324000,161000,44000,76000,3504000,33000,136000
IncomeEBIT,-151000,-220000,2009000,-16078000,-423000,9720000,-1053000,-16001000,-1037000,3457000,-1103000,2364000,2635000,-2348000,262000,10772000,-525000,1496000,6032000,9775000,2739000,1805000,17688000,14621000,7331000,-547000,22665000,3624000,6177000,40037000
IncomeFinanceIncome,146000,189000,164000,95000,66000,117000,266000,83000,104000,158000,199000,293000,164000,168000,176000,47000,173000,432000,-22000,96000,65000,70000,47000,75000,115000,112000,160000,149000,118000,191000
IncomeFinanceCosts,1470000,1577000,1740000,2016000,1800000,986000,374000,926000,968000,1278000,1494000,943000,1509000,1124000,1031000,1866000,1374000,1906000,3660000,2132000,1380000,2533000,1507000,3625000,1688000,1505000,1744000,1492000,1540000,1622000
IncomeOtherIncome,,,,0,,,,,9000,-160000,,,-137000,-84000,-15000,-92000,953000,443000,65000,2452000,-207000,40000,270000,66000,372000,240000,172000,-1475000,-1608000,433000
IncomeNetGrossProfit,-17999000,-2157000,8851000,-1161000,-16844000,-1892000,2177000,-2247000,1714000,1290000,-3304000,-593000,8816000,-1810000,7000,2258000,8692000,1867000,-593000,18680000,10864000,5798000,-1670000,21147000,2653000,4995000,38778000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1475000,-1608000,433000
IncomeBeforeTaxProfit,-17999000,-2157000,8851000,-1161000,-16844000,-1892000,2177000,-2247000,1714000,1290000,-3304000,-593000,8816000,-1810000,7000,2258000,8692000,1867000,-593000,18680000,10864000,5798000,-1670000,21147000,2653000,4995000,38778000,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1538000,-1750000,1363000
IncomeNetProfit,930000,-2830000,7772000,-1120000,-8564000,-1644000,7161000,-2464000,1598000,1449000,-2605000,-664000,11780000,-1673000,75000,2340000,11255000,1664000,1075000,14914000,7667000,4861000,-1274000,17069000,2164000,3798000,30880000,-1538000,-1586000,1429000
IncomeShareholderNetProfit,2031000,-2607000,7772000,-1120000,-8564000,-1644000,7161000,-2464000,1598000,1449000,-2605000,-664000,11780000,-1673000,75000,2340000,11255000,1664000,1075000,14914000,7667000,4861000,-1274000,17069000,2302000,3909000,30960000,,,
BalanceNoncurrentAssets,,272660000,314383000,292307000,315199000,311666000,311934000,325942000,300551000,330404000,333974000,343662000,359617000,390982000,396529000,377489000,387441000,411435000,375606000,361324000,381834000,382359000,375119000,363934000,369442000,360320000,365462000,379067000,,241334000
BalanceIntangibleAssets,30000,244030000,423000,428000,389000,330000,317000,294000,285000,267000,257000,412000,400000,382000,371000,227000,203000,232000,197000,388000,124000,88000,832000,768000,775000,776000,,30105000,255147000,45327000
BalanceProperty,311389000,154000,116000,93000,84000,232000,268000,480000,1491000,183503000,1354000,1361000,136548000,136599000,92572000,92590000,92344000,91624000,92291000,81731000,81147000,77997000,77893000,77580000,,,,0,,
BalanceNoncurrentReceivables,,1902000,1978000,164000,278000,128000,3000,,30000,30000,32000,35000,15000,,,,,,,56637000,,,305155000,308850000,320305000,294757000,321807000,325450000,333995000,349422000
BalanceNoncurrInvestments,197512000,384616000,364202000,238181000,257049000,265499000,249764000,271890000,274035000,265590000,265457000,269943000,264042000,268791000,282806000,,1221000,2569000,2950000,3387000,4027000,601000,5050000,5115000,7943000,7971000,8917000,8447000,9555000,10159000
BalanceOtherNoncurrentAssets,11544000,12311000,17530000,17300000,18703000,17388000,16312000,17114000,16658000,17520000,17513000,18003000,17905000,,125910000,66488000,74040000,77369000,78192000,98887000,118672000,178801000,142271000,108834000,149922000,123432000,158242000,164150000,250206000,218332000
BalanceCurrentAssets,220705000,296841000,325366000,359895000,425212000,442747000,453307000,475806000,560551000,557084000,561690000,,108677000,54232000,51859000,50820000,60016000,68473000,77937000,117692000,66405000,60269000,75635000,85336000,101007000,113804000,173902000,152187000,149048000,219349000
BalanceInventory,255005000,283261000,312372000,319630000,372803000,336564000,377059000,423116000,396663000,,5112000,5948000,9243000,12051000,6134000,8234000,10172000,4230000,23989000,10573000,9908000,14126000,21544000,15119000,16523000,18627000,11528000,25139000,28361000,29911000
BalanceCurrentReceivables,9911000,17948000,20103000,26296000,49219000,27645000,31515000,,64000,0,,,34000,,,28000,28000,28000,28000,22000,22000,25000,27000,31000,30000,29000,29000,29000,29000,34000
BalanceCurrentInvestments,32000,33000,31000,31000,,11655000,5285000,12541000,14074000,11679000,20913000,29591000,56321000,51364000,36849000,63150000,23169000,35171000,33435000,58131000,46057000,59008000,49748000,39491000,44918000,101236000,101561000,57051000,109663000,132124000
BalanceCash,102672000,130486000,,402000,1023000,397000,424000,329000,1267000,972000,558000,485000,1115000,1201000,773000,498000,1770000,1625000,1434000,1090000,2575000,2480000,1776000,1664000,3579000,3316000,3251000,2116000,3620000,2995000
BalanceOtherCurrentAssets,,,,,33000,27000,,27000,29000,29000,,,,,,,,,,,,,,,,,398570000,380871000,366380000,392595000
BalanceAssetsForSale,389858000,410848000,444643000,479381000,472675000,442808000,493584000,483049000,549224000,560679000,627695000,605773000,632140000,672447000,686690000,741729000,807571000,817866000,817241000,845248000,920871000,922546000,940757000,,279112000,129726000,294402000,303145000,294530000,292329000
BalanceTotalAssets,298453000,296813000,315958000,317422000,314041000,313071000,323425000,324729000,323230000,325652000,337438000,339106000,331301000,346877000,354677000,359756000,358491000,367533000,358432000,322352000,353214000,,35193000,16073000,35194000,35194000,35194000,35194000,35194000,35194000
BalanceCapital,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,38713000,37353000,37353000,37353000,,,,-6860000,-3000,-3000,,,,,
