,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,,,,,,,,,,,,,,,,,,,,,,,,,17181000,17318000,58179000,13753000,6320000,4488000,3277000,6304000,5068000,23135000,50181000,10137000,55552000,9860000,7670000
IncomeRevenues_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.22,-74.08,-94.37,-54.16,-19.81,415.49,1431.31,60.80,996.13,-57.38,-84.72
IncomeRevenues_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79
IncomeRevenues_qq,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,235.95,-76.36,-54.05,-28.99,-26.98,92.37,-19.61,356.49,116.91,-79.80,448.01,-82.25,-22.21
IncomeRevenues_sq,,,,,,,,,,,,,,,,,,,,,,,,,,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,11573000,10278000,39857000,10891000,5052000,2930000,1443000,5068000,3946000,17108000,38400000,7199000,44930000,8156000,5766000
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.35,-71.49,-96.38,-53.47,-21.89,483.89,2561.12,42.05,1038.62,-52.33,-84.98
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.96,-53.08,-14.08,6.82,10.34,3.85,8.94,-15.12,-20.33,-0.74,-11.98
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,-11.19,287.79,-72.67,-53.61,-42.00,-50.75,251.21,-22.14,333.55,124.46,-81.25,524.11,-81.85,-29.30
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,-20.21,7.66,-8.66,-0.37,-1.56,17.50,-17.94,-2.86,-0.72,-9.64,-10.02,-3.41,-13.38
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,6661000,4642000,7626000,353000,528000,501000,249000,185000,258000,302000,3278000,422000,396000,188000,407000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.07,-89.21,-96.73,-47.59,-51.14,-39.72,1216.47,128.11,53.49,-37.75,-87.58
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.07,-100.00,-96.73,-4.98,-75.57,-39.72,558.23,-48.45,53.49,35.61,-31.60
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,-30.31,64.28,-95.37,49.58,-5.11,-50.30,-25.70,39.46,17.05,985.43,-87.13,-6.16,-52.53,116.49
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,-30.31,-47.95,-95.37,49.58,-52.56,-50.30,-53.73,-75.52,-2.47,28.82,70.52,-13.43,-19.70,63.97
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,3034000,4939000,2265000,2210000,2627000,2085000,2412000,1596000,2419000,2586000,2367000,3762000,3360000,10275000,3610000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.41,-57.78,6.49,-27.78,-7.92,24.03,-1.87,135.71,38.90,297.33,52.51
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.40,3.70,10.76,2.01,4.34,5.91,-1.87,-3.43,-8.28,-8.64,-2.30
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,62.79,-54.14,-2.43,18.87,-20.63,15.68,-33.83,51.57,6.90,-8.47,58.94,-10.69,205.80,-64.87
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,-6.26,14.30,-7.10,7.17,2.65,-3.81,0.46,-3.67,-2.49,2.63,-9.20,5.49,-8.16
IncomeGrossProfit,-1087000,-3143000,-2246000,-1966000,-1111000,-1553000,-1681000,-1899000,-3113000,-2810000,-3722000,-3833000,-3277000,-3749000,-4042000,-3174000,-5082000,-2880000,-3502000,-3039000,-1757000,-2394000,-1631000,-2027000,-4087000,-2541000,8431000,299000,-1887000,-1028000,-827000,-545000,-1555000,3139000,6136000,-1246000,6866000,-8759000,-2113000
IncomeGrossProfit_yy,,,,,-2.21,50.59,25.16,3.41,-180.20,-80.94,-121.42,-101.84,-5.27,-33.42,-8.60,17.19,-55.08,23.18,13.36,4.25,65.43,16.88,53.43,33.30,-132.61,-6.14,616.92,114.75,53.83,59.54,-109.81,-282.27,17.59,405.35,841.96,-128.62,541.54,-379.04,-134.44
IncomeGrossProfit_sy,,,,,-9.07,25.49,-2.69,3.41,36.75,-15.27,38.20,-10.96,22.26,23.45,-8.60,-14.35,-2.05,13.02,13.36,28.19,24.65,19.37,19.34,1.44,24.22,10.62,25.91,9.79,7.26,-2.32,-6.21,-7.36,0.16,7.53,6.94,-5.60,7.65,4.09,17.09
IncomeGrossProfit_qq,,-189.14,28.54,12.47,43.49,-39.78,-8.24,-12.97,-63.93,9.73,-32.46,-2.98,14.51,-14.40,-7.82,21.47,-60.11,43.33,-21.60,13.22,42.18,-36.25,31.87,-24.28,-101.63,37.83,431.80,-96.45,-731.10,45.52,19.55,34.10,-185.32,301.86,95.48,-120.31,651.04,-227.57,75.88
IncomeGrossProfit_sq,,-0.67,4.08,5.46,4.95,21.37,-23.51,-2.97,33.55,-2.02,5.60,-6.94,15.06,-2.62,-2.48,-10.19,14.53,-13.48,15.38,3.61,-10.03,4.22,-0.24,-2.35,-0.32,23.08,-3.75,-3.25,-1.99,6.65,1.16,-2.70,-2.23,-16.19,13.22,-22.60,17.71,-7.25,11.32
IncomeOtherOperatingIncome,12283000,17704000,21531000,18037000,17778000,61223000,39590000,101747000,35707000,17726000,31277000,-1314000,32785000,43102000,44480000,-23081000,28482000,23081000,23937000,27996000,32125000,26220000,26538000,33173000,875000,1357000,2117000,217000,5813000,367000,497000,231000,309000,5511000,487000,45805000,151465000,5687000,31143000
IncomeOtherOperatingIncome_yy,,,,,44.74,245.81,83.87,464.10,100.85,-71.05,-21.00,-101.29,-8.18,143.16,42.21,-1656.54,-13.12,-46.45,-46.18,221.29,12.79,13.60,10.87,18.49,-97.28,-94.82,-92.02,-99.35,564.34,-72.96,-76.52,6.45,-94.68,1401.63,-2.01,19729.00,48917.80,3.19,6294.87
IncomeOtherOperatingIncome_sy,,,,,29.37,,133.33,-32.00,43.85,-60.90,-14.85,28.81,-18.76,6.25,-35.42,-5.39,-2.68,47.45,-19.67,-35.21,-9.42,-42.90,-6.84,34.72,43.62,0.57,-40.97,-22.40,-57.50,-63.82,-58.74,-23.41,18.36,6.45,-55.87,42.54,-0.66,-35.94,7.67
IncomeOtherOperatingIncome_qq,,44.13,21.62,-16.23,-1.44,244.38,-35.33,157.00,-64.91,-50.36,76.45,-104.20,2595.05,31.47,3.20,-151.89,223.40,-18.96,3.71,16.96,14.75,-18.38,1.21,25.00,-97.36,55.09,56.01,-89.75,2578.80,-93.69,35.42,-53.52,33.77,1683.50,-91.16,9305.54,230.67,-96.25,447.62
IncomeOtherOperatingIncome_sq,,15.46,15.38,-49.57,-15.16,31.58,24.52,-18.02,8.82,-50.09,44.07,98.24,-29.25,19.92,16.81,32.79,-24.41,35.58,-15.20,8.48,-33.33,0.70,-0.96,158.63,-43.04,-11.76,-50.00,83.33,-39.08,-0.28,-11.48,101.93,-29.46,23.26,-75.00,157.14,-33.42,-2.16,-22.32
IncomeOtherOperatingCosts,12029000,21831000,20815000,131198000,18094000,32871000,34149000,85904000,28299000,18484000,21544000,33040000,26089000,28040000,32575000,38587000,33392000,27409000,25097000,43684000,28781000,26325000,28984000,32212000,1353000,357000,308000,333000,800000,232000,583000,344000,124000,2833000,542000,54305000,165600000,7912000,30932000
IncomeOtherOperatingCosts_yy,,,,,50.42,50.57,64.06,-34.52,56.40,-43.77,-36.91,-61.54,-7.81,51.70,51.20,16.79,27.99,-2.25,-22.96,13.21,-13.81,-3.95,15.49,-26.26,-95.30,-98.64,-98.94,-98.97,-40.87,-35.01,89.29,3.30,-84.50,1121.12,-7.03,15686.34,133448.39,179.28,5607.01
IncomeOtherOperatingCosts_sy,,,,,70.28,50.57,44.02,-30.49,-17.39,-42.17,-46.30,-4.42,-77.57,56.29,30.20,29.91,128.97,34.38,3.12,-58.73,-54.17,-3.95,12.72,27.37,-2.84,-8.87,-1.95,9.88,-33.33,-30.00,9.55,-10.75,-5.07,-0.38,-33.33,-15.74,23.23,-2.31,
IncomeOtherOperatingCosts_qq,,81.49,-4.65,530.31,-86.21,81.67,3.89,151.56,-67.06,-34.68,16.55,53.36,-21.04,7.48,16.17,18.46,-13.46,-17.92,-8.44,74.06,-34.12,-8.53,10.10,11.14,-95.80,-73.61,-13.73,8.12,140.24,-71.00,151.29,-40.99,-63.95,2184.68,-80.87,9919.37,204.94,-95.22,290.95
IncomeOtherOperatingCosts_sq,,27.27,-18.49,120.15,-77.97,52.33,9.01,54.55,-57.78,-26.65,-15.00,118.58,-53.97,266.94,-47.62,166.67,-55.04,15.19,-23.33,74.06,-74.29,96.81,-27.52,92.68,-81.82,11.06,-23.44,38.91,-56.56,26.89,12.61,1.28,-48.28,0.35,-50.00,54.50,-56.71,4.99,-18.93
IncomeEBIT,-833000,-7270000,-1530000,-115127000,-1427000,26799000,3760000,13944000,4295000,-3568000,6011000,-38187000,3419000,11313000,7863000,-64842000,-9992000,-7208000,-4662000,-18727000,1587000,-2499000,-4077000,-1066000,-4565000,-1541000,10240000,183000,3126000,-893000,-913000,-658000,-1370000,5817000,6081000,-9746000,-7269000,-10984000,-1902000
IncomeEBIT_yy,,,,,-71.31,468.62,345.75,112.11,400.98,-113.31,59.87,-373.86,-20.40,417.07,30.81,-69.80,-392.25,-163.71,-159.29,71.12,115.88,65.33,12.55,94.31,-387.65,38.34,351.17,117.17,168.48,42.05,-108.92,-459.56,-143.83,751.40,766.05,-1381.16,-430.58,-288.83,-131.28
IncomeEBIT_sy,,,,,-20.14,25.18,-4.39,-20.00,43.49,8.22,64.76,24.63,36.14,48.30,15.67,-17.19,-18.38,35.66,5.95,69.72,26.20,15.16,8.48,12.76,48.59,32.59,25.89,-5.83,-12.07,-3.26,-74.70,-1.22,10.05,2.51,29.42,-46.64,11.74,7.84,18.72
IncomeEBIT_qq,,-772.75,78.95,-7424.64,98.76,1978.00,-85.97,270.85,-69.20,-183.07,268.47,-735.29,108.95,230.89,-30.50,-924.65,84.59,27.86,35.32,-301.69,108.47,-257.47,-63.15,73.85,-328.24,66.24,764.50,-98.21,1608.20,-128.57,-2.24,27.93,-108.21,524.60,4.54,-260.27,25.42,-51.11,82.68
IncomeEBIT_sq,,-66.42,30.95,3.80,-29.55,3.12,-28.96,22.43,45.65,-1.17,29.10,-36.45,30.04,-10.44,15.49,-28.14,39.90,-2.44,13.76,2.16,-0.64,9.44,1.98,-5.94,18.51,38.77,-14.67,-11.87,19.83,6.96,-32.06,26.73,-3.20,-5.02,3.29,-35.05,36.44,-14.79,16.94
IncomeFinanceIncome,439000,412000,623000,19000,226000,441000,58000,398000,234000,435000,379000,325000,734000,693000,474000,669000,1179000,466000,656000,359000,1111000,1473000,842000,1408000,809000,1635000,2414000,512000,754000,17865000,388000,630000,748000,1176000,449000,403000,1041000,774000,226000
IncomeFinanceIncome_yy,,,,,-48.52,7.04,-90.69,1994.74,3.54,-1.36,553.45,-18.34,213.68,59.31,25.07,105.85,60.63,-32.76,38.40,-46.34,-5.77,216.09,28.35,292.20,-27.18,11.00,186.70,-63.64,-6.80,992.66,-83.93,23.05,-0.80,-93.42,15.72,-36.03,39.17,-34.18,-49.67
IncomeFinanceIncome_sy,,,,,161.32,-21.74,-94.83,45.81,-72.97,18.76,117.71,162.50,103.94,207.55,84.87,21.10,10.20,41.26,-21.18,100.75,-6.59,-19.09,-37.71,-25.76,-27.72,-8.56,49.03,-13.68,-31.58,25.72,-41.77,-33.28,-0.40,-4.28,24.77,-36.03,3.81,-9.09,-12.96
IncomeFinanceIncome_qq,,-6.15,51.21,-96.95,1089.47,95.13,-86.85,586.21,-41.21,85.90,-12.87,-14.25,125.85,-5.59,-31.60,41.14,76.23,-60.47,40.77,-45.27,209.47,32.58,-42.84,67.22,-42.54,102.10,47.65,-78.79,47.27,2269.36,-97.83,62.37,18.73,57.22,-61.82,-10.24,158.31,-25.65,-70.80
IncomeFinanceIncome_sq,,44.83,-8.16,-30.24,76.84,-72.57,7.12,-8.82,12.50,-15.90,47.83,32.65,3.00,18.01,-15.54,-34.13,53.19,-1.34,-29.16,110.52,-30.52,20.79,-51.96,21.82,-8.22,36.63,-1.27,-15.00,-32.43,0.90,-28.08,15.78,-3.51,26.92,-9.09,-10.24,1.46,-12.92,
IncomeFinanceCosts,6832000,-5834000,2782000,5463000,2534000,4619000,3748000,4628000,2056000,2576000,1760000,26311000,4653000,5311000,6119000,6893000,27693000,156000,2546000,11685000,52192000,6898000,3474000,4108000,6730000,-747000,2358000,-2258000,1289000,1611000,1121000,3422000,663000,2994000,478000,2484000,7878000,18559000,961000
IncomeFinanceCosts_yy,,,,,-62.91,179.17,34.72,-15.28,-18.86,-44.23,-53.04,468.52,126.31,106.17,247.67,-73.80,495.16,-97.06,-58.39,69.52,88.47,4321.79,36.45,-64.84,-87.11,-110.83,-32.12,-154.97,-80.85,315.66,-52.46,251.55,-48.56,85.85,-57.36,-27.41,1088.24,519.87,101.05
IncomeFinanceCosts_sy,,,,,7.39,-5.29,34.72,-48.45,-16.12,12.71,-12.24,84.87,36.95,80.98,100.57,102.29,45.99,78.23,0.94,21.96,,-6.40,-0.89,-13.43,-8.49,12.96,-8.69,-6.33,-16.32,-6.88,-38.69,-22.73,-0.10,-1.69,-0.44,35.30,14.19,31.82,44.48
IncomeFinanceCosts_qq,,-185.39,147.69,96.37,-53.62,82.28,-18.86,23.48,-55.57,25.29,-31.68,1394.94,-82.32,14.14,15.21,12.65,301.76,-99.44,1532.05,358.96,346.66,-86.78,-49.64,18.25,63.83,-111.10,415.66,-195.76,157.09,24.98,-30.42,205.26,-80.63,351.58,-84.03,419.67,217.15,135.58,-94.82
IncomeFinanceCosts_sq,,-12.04,-11.39,15.30,-20.45,-6.29,5.95,-21.16,11.28,4.49,14.21,45.45,51.15,21.42,1.53,14.57,9.21,-2.94,-0.27,14.09,2.36,0.15,-6.52,1.46,-2.02,10.78,-6.10,16.74,-19.60,10.76,-3.80,0.35,-4.63,22.86,-15.05,19.43,-2.88,8.52,-4.86
IncomeOtherIncome,-638000,-19036000,-91355000,20052000,1359000,63000,-235000,9827000,8143000,-2623000,825000,93304000,354000,318000,-91000,72055000,17618000,-2245000,-562000,473000,52526000,-7913000,4080000,-1067000,,,,,,,,,,,-52000,-27000,,-81000,456000
IncomeOtherIncome_yy,,,,,313.01,100.33,99.74,-50.99,499.19,-4263.49,451.06,849.47,-95.65,112.12,-111.03,-22.77,4876.84,-805.97,-517.58,-99.34,198.14,-252.47,825.98,-325.58,-100.00,100.00,-100.00,100.00,,,,,,,,,,,976.92
