,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,647623000,646564000,643851000,631380000,712849000,735314000,663198000,664129000,689510000,747003000,667672000,677085000,626680000,708674000,755194000,752328000,747262000,693032000,680042000,687478000,686020000,651171000,599647000,577909000,635533000,629986000,465786000,517054000
IncomeCostOfSales,483599000,590806000,483059000,511226000,540915000,563587000,520823000,533659000,518065000,681549000,546380000,594971000,607213000,703596000,690355000,733377000,699115000,2528305000,543594000,563693000,570220000,563846000,498953000,480021000,511085000,545337000,430328000,511611000
IncomeDistributionExpenses,4810000,5223000,1236000,822000,670000,709000,658000,668000,953000,694000,853000,828000,1216000,1076000,823000,1101000,1094000,1902000,1144000,995000,966000,1255000,1297000,905000,911000,1145000,1144000,898000
IncomeAdministrativExpenses,25004000,17803000,19837000,18648000,51191000,44267000,46601000,37697000,45371000,19424000,43691000,28738000,40139000,36071000,30202000,26656000,29847000,24618000,27322000,20473000,23996000,36843000,30821000,25718000,33928000,29000000,34894000,29898000
IncomeGrossProfit,134210000,32732000,139719000,100684000,120073000,126751000,95116000,92105000,125121000,45336000,76748000,52548000,-21888000,-32069000,33814000,-8806000,17206000,-1861793000,107982000,102317000,90838000,49227000,68576000,71265000,89609000,54504000,-580000,-25353000
IncomeOtherOperatingIncome,1226000,7549000,855000,1402000,1991000,7976000,6373000,210000,4315000,14949000,6674000,4449000,16611000,60326000,5706000,5686000,4004000,14570000,7264000,3710000,7773000,7714000,4633000,4819000,1923000,-51000,3050000,1116000
IncomeOtherOperatingCosts,697000,4963000,1938000,2311000,5327000,6298000,6066000,335000,3841000,14736000,2863000,7527000,5436000,143000,1684000,1059000,1012000,2454000,860000,1433000,5864000,-2765000,879000,1111000,1074000,2122000,1121000,1749000
IncomeEBIT,134739000,35318000,138636000,99775000,116737000,128429000,95423000,91980000,125595000,45549000,80559000,49470000,-10713000,28114000,37836000,-4179000,20198000,-1849677000,114386000,104594000,92747000,59706000,72330000,74973000,90458000,52331000,1349000,-25986000
IncomeFinanceIncome,8512000,6598000,68065000,-23297000,30820000,7863000,4710000,6725000,6139000,1260000,1866000,7121000,1936000,10421000,20319000,-8701000,-3843000,-1279000,3900000,1274000,1160000,2783000,12401000,1170000,-2850000,5472000,2316000,3214000
IncomeFinanceCosts,86640000,10386000,12576000,3589000,24434000,29688000,31878000,44120000,352000,1276000,14949000,12306000,13053000,30481000,16401000,9560000,9187000,8761000,15645000,30532000,9414000,17081000,13367000,13010000,9513000,11762000,11203000,14285000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,56611000,31530000,194125000,72889000,123123000,106604000,68255000,54585000,131382000,45533000,67476000,44285000,-21830000,8054000,41754000,-22440000,7168000,-1859717000,102641000,75336000,84493000,45408000,71364000,63133000,78095000,46041000,-7538000,-37057000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,56611000,31530000,194125000,72889000,123123000,106604000,68255000,54585000,131382000,45533000,67476000,44285000,-21830000,8054000,41754000,-22440000,7168000,-1859717000,102641000,75336000,84493000,45408000,71364000,63133000,78095000,46041000,-7538000,-37057000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,41104000,27209000,157416000,58794000,101734000,84832000,56790000,43726000,105569000,25421000,53640000,38065000,-19257000,6036000,34379000,-18960000,5902000,-1901129000,74816000,65069000,78780000,31621000,56007000,48369000,65600000,13568000,-15636000,-36376000
IncomeShareholderNetProfit,41094000,27204000,157410000,58786000,102019000,88280000,54583000,42589000,101125000,18649000,52442000,34351000,-19871000,15055000,34915000,-19812000,6076000,-1902265000,73951000,64453000,77804000,31466000,55314000,48058000,65996000,13875000,-15083000,-36174000
BalanceNoncurrentAssets,,4327741000,4326869000,5381313000,5359613000,5333650000,5299470000,5246323000,5338706000,5429726000,5451901000,5522195000,5685991000,5780444000,5635749000,5648640000,3714123000,3802024000,3607121000,3570092000,3702058000,3667807000,3502787000,3501521000,3447776000,3462758000,3425680000,
BalanceIntangibleAssets,3754000,3193000,5168000,6835000,6485000,6090000,6020000,31455000,86492000,5043000,4751000,82263000,172598000,5475000,5662000,17389000,158805000,6561000,6252000,119282000,127699000,4177000,3906000,6679000,10565000,6063000,,4269937000
BalanceProperty,4312199000,5103081000,5065812000,5013955000,4978806000,4939801000,4992437000,5031783000,5140188000,5216824000,5302417000,5313526000,5351668000,5382237000,3477592000,3437087000,3402176000,3365877000,3393583000,3356305000,3317256000,3307902000,3283200000,3274005000,3243127000,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,42734000,3022000
BalanceNoncurrInvestments,156617000,159481000,192760000,194069000,160750000,163896000,169145000,167427000,165042000,162492000,155704000,144559000,136243000,106500000,97288000,94540000,93126000,92469000,89357000,88588000,87378000,82847000,104186000,102473000,,11316000,8455000,116447000
BalanceOtherNoncurrentAssets,127485000,120450000,120505000,139752000,150918000,142306000,139243000,135578000,138819000,138616000,134047000,124498000,112642000,108844000,103844000,104837000,96724000,94446000,92766000,102335000,75050000,74002000,74017000,,998696000,1041813000,981487000,899571000
BalanceCurrentAssets,933640000,979047000,1055729000,1132230000,997432000,1109213000,1289905000,1181697000,1111409000,1128476000,1171898000,1260258000,1152521000,1070956000,1132377000,1099242000,1012542000,908603000,922424000,1006898000,990788000,707676000,,149426000,100978000,185531000,188325000,220635000
BalanceInventory,230677000,209884000,212468000,210251000,236687000,241837000,237116000,256321000,225183000,233599000,157515000,159037000,143149000,126083000,105296000,101057000,96720000,98487000,97758000,107253000,105183000,,259585000,224130000,244329000,236422000,233929000,224185000
BalanceCurrentReceivables,241672000,233125000,282871000,274918000,283401000,276766000,323858000,308217000,280818000,274215000,264967000,302777000,243432000,264420000,301705000,315727000,256676000,278072000,298534000,308747000,,109738000,105036000,99251000,103697000,99259000,98164000,102821000
BalanceCurrentInvestments,96340000,99111000,94434000,98087000,94748000,97270000,91407000,39974000,76979000,78430000,80784000,77598000,77613000,74934000,74294000,38896000,35788000,10945000,13957000,,385429000,572163000,395176000,318002000,288767000,317026000,349273000,430978000
BalanceCash,239708000,335439000,441701000,356120000,229817000,225697000,263972000,383354000,280662000,325316000,458488000,350101000,203955000,255389000,370425000,322201000,266247000,240035000,,94518000,39506000,57200000,53125000,91050000,108995000,152079000,159319000,165491000
BalanceOtherCurrentAssets,167735000,224879000,216947000,204143000,277972000,353535000,368195000,369425000,218930000,226776000,301812000,330891000,166473000,157940000,273079000,307809000,39754000,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,1038000,1031000,1024000,,5326437000,5368682000,6362800000,6259184000,6267290000,6278517000,6302052000,6470936000,6427158000,6561114000
BalanceTotalAssets,6812100000,6867688000,6891853000,6764225000,6820538000,4974381000,4954545000,4678077000,4702469000,4801300000,4680349000,4411390000,4423945000,4455712000,4454577000,4134380000,,3229483000,3440096000,3545895000,3541835000,3590917000,3641654000,3753883000,3782616000,3834687000,3836307000,3816203000
BalanceCapital,3819717000,3855281000,3776495000,3782867000,1884823000,1959949000,2025706000,2106053000,2143658000,2201201000,2184753000,2250886000,2264272000,2248611000,2110949000,,104052000,104052000,104052000,104052000,104052000,101647000,101647000,101647000,101647000,101647000,101647000,101647000
BalanceShareCapital,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,101647000,,0,,,,-31280000,-31280000,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,1652231000,1933078000,1931266000,1931407000,1934560000,2184004000,2185870000,2187587000,2187247000,2385477000,2385469000,2386645000,2388612000,2534020000,2534942000,2535996000
BalanceReserve,2536900000,1021957000,1023677000,1025035000,1026544000,1093466000,1094312000,1095287000,1095990000,1126199000,,90000,104000,495000,117000,118000,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,1422882000,1352967000,1821436000,1792175000,1774768000,1743121000,1745732000,1616077000,1610409000,1749987000,1917053000,1841869000,1901178000,1885402000,1811111000,1829696000,1772598000,1609050000,1495092000,1389715000,1341722000,1274981000
BalanceNoncurrentLiabilities,1258442000,1191958000,1127981000,1095496000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,1009097000,912111000,967790000,863717000,837251000,806335000,813554000,712364000,686444000,827849000,1010652000,970963000,1027320000,1050360000,976214000,1005270000,916912000,771955000,663771000,592920000,512934000,444960000,380671000
BalanceNoncurrentBorrowings,307611000,238732000,172093000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,413785000,440856000,853646000,928458000,937517000,936786000,932178000,903713000,923965000,922138000,906401000,870906000,873858000,835042000,834897000,824426000,855686000,837095000,831321000,796795000,828788000,830021000,877771000,884347000
