,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,2919000,3054000,2815000,3299000,3642000,4287000,4511000,4654000,5412000,5924000,5826000,6885000,7861000,6711000,8198000,9119000,10413000,12247000,11213000,10543000,12528000,12374000,11057000,10795000,13297000,13248000,11125000,10075000,15199000,12794000,13210000,14704000,13620000,9456000,9996000,10189000,9888000,8098000,11687000,9921000,9850000,7809000,8951000,9277000,8977000,8663000,9417000,-7824000,5476000,14523000,9003000,-9096000,4967000
IncomeCostOfSales,3238000,3687000,2717000,3496000,3799000,3893000,3964000,5629000,4881000,5347000,5373000,6088000,6095000,6098000,6720000,7325000,7980000,9489000,8932000,9256000,9412000,10309000,9367000,9559000,10918000,11620000,9827000,11401000,15556000,13914000,13174000,13727000,12925000,8558000,8935000,8973000,8286000,8046000,10067000,8462000,8764000,7339000,8487000,8267000,8256000,8053000,8772000,-6982000,5266000,12862000,8562000,-7994000,4544000
IncomeDistributionExpenses,0,135000,72000,94000,62000,48000,41000,207000,31000,34000,52000,53000,41000,89000,83000,204000,78000,153000,162000,183000,159000,179000,152000,207000,143000,188000,230000,292000,239000,192000,132000,64000,85000,42000,55000,12000,26000,11000,16000,12000,22000,26000,31000,43000,21000,21000,16000,-11000,17000,26000,21000,-3000,16000
IncomeAdministrativExpenses,529000,651000,651000,860000,812000,1035000,993000,982000,1289000,1003000,1081000,1112000,1116000,1150000,1305000,1194000,1444000,1607000,1502000,2726000,2182000,3286000,1960000,599000,1776000,1605000,3261000,2745000,2035000,1878000,1618000,1512000,1562000,1657000,1402000,1446000,1447000,1037000,639000,2154000,1161000,980000,1161000,1366000,1383000,1152000,1189000,-432000,538000,1607000,994000,-348000,1066000
IncomeGrossProfit,-848000,-1419000,-625000,-1151000,-1031000,-689000,-487000,-2164000,-789000,-460000,-680000,-368000,609000,-626000,90000,396000,911000,998000,617000,-1622000,775000,-1400000,-422000,430000,460000,-165000,-2193000,-4363000,-2631000,-3190000,-1714000,-599000,-952000,-801000,-396000,-242000,129000,-996000,965000,-707000,-97000,-536000,-728000,-399000,-683000,-563000,-560000,-399000,-345000,28000,-574000,-751000,-659000
IncomeOtherOperatingIncome,121000,547000,81000,283000,12000,209000,18000,226000,53000,177000,23000,-21000,14000,71000,26000,67000,55000,308000,53000,-37000,52000,774000,228000,467000,48000,69000,307000,447000,526000,482000,2792000,278000,501000,900000,632000,12729000,568000,388000,442000,492000,699000,118000,313000,640000,450000,442000,609000,-137000,328000,596000,459000,-616000,1388000
IncomeOtherOperatingCosts,98000,359000,145000,731000,69000,1031000,285000,2275000,75000,245000,19000,149000,52000,271000,23000,268000,34000,165000,183000,198000,74000,653000,212000,549000,40000,262000,-68000,207000,223000,961000,-119000,1077000,379000,731000,167000,733000,194000,124000,216000,-28000,858000,-200000,-128000,392000,158000,147000,374000,-460000,286000,194000,-277000,334000,-825000
IncomeEBIT,-1231000,-689000,-1599000,-1088000,-1511000,-754000,-4213000,-811000,-528000,-676000,-538000,571000,-826000,93000,195000,932000,1141000,487000,-1857000,753000,-1279000,-406000,348000,468000,-358000,-1818000,-4123000,-2328000,-3669000,1197000,-1398000,-830000,-632000,69000,11754000,503000,-732000,1191000,-187000,-256000,-218000,-287000,-151000,-391000,-268000,-325000,-76000,-17000,338000,-309000,-1090000,395000,
IncomeFinanceIncome,,1257000,1680000,79000,566000,-3000,-10000,151000,51000,192000,69000,89000,339000,61000,306000,80000,53000,380000,45000,13000,44000,28000,71000,37000,41000,113000,95000,67000,141000,37000,27000,31000,12436000,168000,-12423000,44000,71000,265000,241000,86000,-3000,67000,52000,63000,43000,20000,-28000,-3000,35000,31000,-59000,23000,385000
IncomeFinanceCosts,280000,687000,1589000,964000,1659000,258000,823000,634000,705000,575000,554000,623000,818000,552000,726000,672000,558000,463000,450000,446000,387000,358000,395000,415000,458000,615000,1753000,1988000,1943000,1904000,1884000,1643000,2471000,1374000,1260000,1329000,620000,2124000,1140000,1116000,440000,696000,684000,596000,528000,572000,432000,530000,507000,573000,440000,534000,
