,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2522000,2809000,3208000,2748000,3187000,3454000,3425000,3295000,2219000,2129000,1760000,1661000,1731000,1691000,1794000,2051000,1989000,2142000,2199000,1762000,2324000,2237000,2271000,2505000,2296000,20439000,-16314000,1934000,2170000,2406000,2060000,3103000,2573000,2592000,2791000,2658000,3000000,2991000,3215000,3516000,3393000,3823000,3792000,4193000,4053000,4387000
IncomeCostOfSales,2106000,2406000,2296000,2573000,2448000,2382000,2771000,2685000,2033000,1841000,1615000,1536000,1388000,1477000,1392000,1511000,1498000,1581000,1266000,1448000,1689000,1770000,1690000,1880000,1644000,18754000,-16005000,-5590000,1438000,1593000,1204000,1974000,1900000,1694000,1821000,1818000,1869000,2010000,1999000,2129000,2113000,2438000,2480000,2852000,2884000,3065000
IncomeDistributionExpenses,92000,60000,22000,68000,79000,70000,55000,1217000,1281000,141000,119000,135000,188000,166000,180000,161000,184000,185000,175000,210000,240000,137000,137000,155000,156000,411000,-13000,222000,237000,209000,219000,227000,309000,267000,234000,268000,294000,261000,277000,258000,319000,290000,245000,317000,385000,311000
IncomeAdministrativExpenses,165000,307000,667000,61000,310000,423000,511000,492000,459000,511000,374000,344000,314000,327000,333000,321000,361000,383000,400000,377000,419000,399000,396000,430000,421000,565000,247000,453000,446000,473000,446000,516000,512000,481000,425000,397000,427000,417000,412000,389000,427000,503000,480000,571000,534000,566000
IncomeGrossProfit,159000,36000,223000,46000,350000,579000,88000,-1099000,-1554000,-364000,-348000,-354000,-159000,-279000,-111000,58000,-54000,-7000,358000,-273000,-24000,-69000,48000,40000,75000,709000,-543000,6849000,49000,131000,191000,386000,-148000,150000,311000,175000,410000,303000,527000,740000,534000,592000,587000,453000,250000,445000
IncomeOtherOperatingIncome,1000,12000,10000,1000,1000,15000,8000,8000,9000,2000,-2000,10000,2000,7000,121000,4000,175000,27000,2000,212000,180000,45000,12000,27000,320000,-301000,324000,23000,21000,7000,13000,6000,18000,7000,7000,-118000,2000,30000,6000,26000,1000,52000,-9000,-106000,1000,-1000
IncomeOtherOperatingCosts,,,,12000,6000,24000,12000,4000,13000,0,15000,32000,4000,0,48000,3000,6000,10000,30000,1000,2000,0,1000,14000,-11000,18000,-7000,7000,10000,2000,3000,8000,17000,9000,9000,1000,2000,31000,50000,6000,10000,9000,1000,11000,3000,160000
IncomeEBIT,48000,233000,35000,345000,570000,84000,-1095000,-1558000,-362000,-365000,-376000,-157000,-276000,10000,14000,118000,14000,350000,-91000,155000,-26000,60000,66000,381000,419000,-237000,6879000,63000,128000,202000,389000,-138000,140000,309000,48000,411000,331000,502000,716000,529000,634000,569000,346000,240000,441000,7000
IncomeFinanceIncome,7000,13000,8000,3000,112000,98000,178000,142000,58000,14000,52000,38000,38000,27000,28000,24000,25000,31000,30000,36000,33000,34000,40000,41000,211000,-154000,23000,24000,20000,23000,36000,17000,16000,14000,20000,20000,34000,5000,34000,24000,22000,25000,28000,26000,41000,8000
IncomeFinanceCosts,9000,8000,14000,12000,21000,-22000,-4000,1000,2000,6000,5000,10000,11000,1000,6000,0,22000,-5000,20000,8000,298000,-293000,14000,0,0,0,1000,37000,-2000,-1000,-1000,1000,1000,-1000,2000,26000,-2000,-11000,18000,1000,,,,,,
