,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1709000,1710000,1828000,2892000,2041000,2375000,2832000,3291000,2830000,3041000,2677000,3376000,2362000,2486000,2915000,3178000,2982000,2644000,3546000,4974000,4812000,5251000,5361000,6358000,3264000,1896000,8474000,4634000,1959000,2401000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,559000,357000,386000,1287000,235000,-109000,608000,551000,152000,-222000,-407000,62000,-317000,-510000,299000,-805000,-319000,-1195000,-520000,-702000,-1001000,-1006000,-374000,-865000,-556000,-1065000,-2080000,-1600000,-1364000,-1260000
IncomeOtherOperatingIncome,45000,30000,23000,31000,34000,60000,19000,51000,27000,23000,24000,40000,16000,13000,21000,50000,38000,12000,0,-7000,59000,109000,-12000,4371000,14000,68000,91000,170000,163000,-146000
IncomeOtherOperatingCosts,24000,21000,24000,49000,40000,97000,28000,9730000,27000,24000,22000,154000,12000,1000,417000,109000,33000,5675000,36000,937000,12000,199000,8000,695000,99000,126000,69000,4390000,86000,3047000
IncomeEBIT,580000,366000,385000,1269000,229000,-146000,599000,-9128000,152000,-223000,-405000,-52000,-313000,-498000,-97000,-864000,-314000,-6858000,-556000,-1646000,-954000,-1096000,-394000,2811000,-641000,-1123000,-2058000,-5820000,-1287000,-4453000
IncomeFinanceIncome,4000,6000,3000,28000,58000,248000,253000,232000,186000,133000,103000,89000,57000,63000,16000,20000,23000,10000,209000,58000,48000,51000,56000,43000,41000,42000,42000,11000,77000,8000
IncomeFinanceCosts,12000,7000,8000,7000,9000,13000,12000,16000,22000,18000,165000,12000,12000,16000,29000,25000,115000,-45000,-30000,19000,13000,13000,34000,36000,60000,77000,2430000,28000,122000,
IncomeOtherIncome,,,,,,,,,,,,94000,-28000,117000,23000,117000,,,,,,,,,,576000,360000,381000,1289000,280000
IncomeNetGrossProfit,93000,839000,-8908000,322000,-112000,-320000,-128000,-174000,-475000,20000,-850000,-199000,-7080000,-544000,-1407000,-915000,-1061000,-356000,2833000,-634000,-1142000,-2093000,-8208000,-1304000,-4498000,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,576000,360000,381000,1289000,280000
IncomeBeforeTaxProfit,93000,839000,-8908000,322000,-112000,-320000,-128000,-174000,-475000,20000,-850000,-199000,-7080000,-544000,-1407000,-915000,-1061000,-356000,2833000,-634000,-1142000,-2093000,-8208000,-1304000,-4498000,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,-189000,-359000,,-30000,699000,472000,270000,310000,1043000,220000,66000
IncomeNetProfit,685000,-8699000,356000,-123000,-297000,-141000,-169000,-494000,7000,-737000,-213000,-7072000,-528000,-1556000,-936000,-1001000,-430000,2811000,-847000,-1488000,-1534000,-8458000,-1348000,-3790000,468000,272000,308000,1036000,215000,55000
IncomeShareholderNetProfit,673000,-8679000,357000,-124000,-297000,-141000,-169000,-494000,7000,-737000,-213000,-7090000,-465000,-1587000,-913000,-1008000,-434000,2766000,-845000,-1465000,-1518000,-8483000,-1315000,-3766000,,,,,,
