,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6050000,2137000,2744000,3929000,4787000,1852000,4522000,5857000,4221000,1914000,2249000,7340000,9566000,1315000,42128000,26083000,82812000,46657000,24415000,34386000,36211000,31952000,25916000,26358000,55158000,23910000,18685000,58638000,48347000,25925000,14167000,28538000,43706000,24271000,5886000,8093000,1484000,1665000,561000
IncomeRevenues_yy,,,,,-20.88,-13.34,64.80,49.07,-11.82,3.35,-50.27,25.32,126.63,-31.30,1773.19,255.35,765.69,3448.06,-42.05,31.83,-56.27,-31.52,6.15,-23.35,52.32,-25.17,-27.90,122.47,-12.35,8.43,-24.18,-51.33,-9.60,-6.38,-58.45,-71.64,-96.60,-93.14,-90.47
IncomeRevenues_sy,,,,,-12.53,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,-64.68,28.40,43.19,21.84,-61.31,144.17,29.52,-27.93,-54.66,17.50,226.37,30.33,-86.25,3103.65,-38.09,217.49,-43.66,-47.67,40.84,5.31,-11.76,-18.89,1.71,109.26,-56.65,-21.85,213.82,-17.55,-46.38,-45.35,101.44,53.15,-44.47,-75.75,37.50,-81.66,12.20,-66.31
IncomeRevenues_sq,,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,11380000,,,,8539000,,,,11598000,,,,20087000,,27832000,17291000,57134000,9750000,31115000,17150000,16946000,17373000,14674000,14352000,36633000,15024000,18934000,50349000,37436000,13636000,10150000,15485000,33355000,18128000,2503000,9370000,11652000,3726000,3421000
IncomeCostOfSales_yy,,,,,-24.96,,,,35.82,,,,73.19,,,,184.43,,11.80,-0.82,-70.34,78.18,-52.84,-16.31,116.17,-13.52,29.03,250.82,2.19,-9.24,-46.39,-69.24,-10.90,32.94,-75.34,-39.49,-65.07,-79.45,36.68
IncomeCostOfSales_sy,,,,,-12.92,,,,17.01,,,,0.54,,,,-3.33,,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,-100.00,,,,-100.00,,,,-100.00,,,,-100.00,,-37.87,230.43,-82.93,219.13,-44.88,-1.19,2.52,-15.54,-2.19,155.25,-58.99,26.03,165.92,-25.65,-63.58,-25.56,52.56,115.40,-45.65,-86.19,274.35,24.35,-68.02,-8.19
IncomeCostOfSales_sq,,-37.76,,,,-25.54,,,,-37.27,,,,-34.66,,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
