,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,63239000,60982000,95130000,110285000,86027000,87037000,136648000,209358000,-84170000,127922000,174078000,172796000,170063000,148428000,173162000,176228000,178903000,46828000,60022000,61215000,643681000,184929000,248841000,248039000,282231000,245292000,345441000,382151000,361932000,342065000,370812000,382695000,379277000,386601000,489851000
IncomeCostOfSales,,,,,,,,,308904000,110827000,146704000,147481000,151077000,129019000,149690000,152141000,162974000,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,30463000,9384000,10927000,11603000,20198000,11563000,14784000,16889000,31565000,,,,,,,,,,,,,,,4363000,7364000,13268000,21305000,5314000,15045000,16309000,34735000
IncomeGrossProfit,-36096000,7710000,16448000,13712000,-1212000,7846000,8689000,7198000,-15636000,4411000,4278000,4252000,42804000,13813000,16933000,13288000,33687000,20296000,34554000,32159000,27318000,18424000,32679000,33124000,33547000,30305000,43354000,357000,289000,771000,-924000,8317000,648000,480000,149000
IncomeOtherOperatingIncome,251000,102000,105000,63000,1413000,-518000,-451000,1385000,1621000,-298000,840000,47000,3397000,3267000,1783000,483000,2135000,-226000,80000,-1018000,2814000,312000,486000,-758000,3591000,901000,1117000,4012000,4495000,6683000,7032000,9806000,9773000,13542000,17613000
IncomeOtherOperatingCosts,-636000,-11000,187000,-15289000,3156000,3310000,4782000,48060000,13203000,12902000,70068000,19556000,14551000,17866000,18110000,19466000,18930000,23208000,20253000,25914000,23244000,28904000,708000,3158000,7355000,13349000,3825000,5921000,3247000,17272000,7554000,8449000,16564000,13588000,-250000
IncomeEBIT,7328000,8237000,8583000,1274000,957000,1808000,-483000,-1860000,3876000,5813000,-56297000,16266000,5519000,16768000,13031000,10666000,-194000,9958000,12113000,11224000,7962000,15567000,-490000,88000,251000,1276000,-664000,70000,182000,130000,-65000,316000,581000,488000,-232000
IncomeFinanceIncome,54000,4000,29000,604000,28000,518000,44000,-299000,3153000,-310000,-432000,2037000,397000,420000,444000,469000,536000,380000,508000,-1122000,38000,1252000,778000,758000,4901000,-901000,10000,704000,300000,1783000,-555000,604000,1772000,646000,-461000
IncomeFinanceCosts,601000,2042000,1165000,915000,391000,395000,314000,5782000,1820000,1489000,1127000,1001000,2868000,646000,2221000,-53000,2937000,3948000,2801000,388000,1734000,680000,,,,,,,,,0,,,,-1121000
IncomeOtherIncome,,,,,,,,,,,,,-789000,0,,,,,,-560000,2488000,2705000,15526000,3151000,5287000,3129000,15619000,8044000,8161000,15373000,13431000,-1143000,6781000,6199000,7447000
IncomeNetGrossProfit,963000,593000,1931000,-753000,-7941000,5209000,4014000,-57857000,17302000,3048000,16543000,10465000,11188000,-2595000,6390000,9820000,9714000,6266000,16138000,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,-560000,2488000,2705000,15526000,3151000,5287000,3129000,15619000,8044000,8161000,15373000,13431000,-1143000,6781000,6199000,7447000
