,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,19909000,25914000,13700000,21792000,25834000,29645000,17696000,23612000,60504000,72524000,50006000,49062000,31919000,47913000,23090000,18421000,21338000,28755000,11616000,11661000,18057000,19377000,16921000,18328000,24609000,27655000,19831000,20333000,17078000,27417000,10116000,15657000,17037000,17565000,10035000,13237000,15087000,19183000,18332000,18386000
IncomeRevenues_yy,,,,,29.76,14.40,29.17,8.35,134.20,144.64,182.58,107.78,-47.24,-33.93,-53.83,-62.45,-33.15,-39.98,-49.69,-36.70,-15.38,-32.61,45.67,57.17,36.29,42.72,17.20,10.94,-30.60,-0.86,-48.99,-23.00,-0.24,-35.93,-0.80,-15.46,-11.45,9.21,82.68,38.90
IncomeRevenues_sy,,,,,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,30.16,-47.13,59.07,18.55,14.75,-40.31,33.43,156.24,19.87,-31.05,-1.89,-34.94,50.11,-51.81,-20.22,15.84,34.76,-59.60,0.39,54.85,7.31,-12.67,8.32,34.27,12.38,-28.29,2.53,-16.01,60.54,-63.10,54.77,8.81,3.10,-42.87,31.91,13.98,27.15,-4.44,0.29
IncomeRevenues_sq,,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,31201000,22028000,10173000,16764000,20874000,25610000,12683000,15964000,55049000,61721000,46171000,40727000,27999000,35356000,17611000,15863000,17512000,23855000,9448000,8970000,15207000,16443000,15188000,16329000,21835000,24087000,17163000,16670000,13592000,21292000,8916000,13843000,15150000,16198000,10501000,12056000,14426000,16621000,15529000,14614000
IncomeCostOfSales_yy,,,,,-33.10,16.26,24.67,-4.77,163.72,141.00,264.04,155.12,-49.14,-42.72,-61.86,-61.05,-37.45,-32.53,-46.35,-43.45,-13.16,-31.07,60.75,82.04,43.59,46.49,13.00,2.09,-37.75,-11.60,-48.05,-16.96,11.46,-23.92,17.78,-12.91,-4.78,2.61,47.88,21.22
IncomeCostOfSales_sy,,,,,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,-29.40,-53.82,64.79,24.52,22.69,-50.48,25.87,244.83,12.12,-25.19,-11.79,-31.25,26.28,-50.19,-9.93,10.40,36.22,-60.39,-5.06,69.53,8.13,-7.63,7.51,33.72,10.31,-28.75,-2.87,-18.46,56.65,-58.13,55.26,9.44,6.92,-35.17,14.81,19.66,15.22,-6.57,-5.89
IncomeCostOfSales_sq,,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
