,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,11788000,15402000,34260000,83600000,28734000,34985000,55126000,133379000,46382000,44888000,55443000,139724000,45324000,43278000,65257000,158116000,52135000,53529000,97467000,215113000,72854000,77643000,142118000,302473000,85297000,95454000,180354000,379852000,120989000,130935000,225514000,447408000,152607000,173504000,251692000,531560000,162393000,187884000,267185000,546448000,199527000,220758000,326177000,635813000,224963000,252188000,378286000
IncomeRevenues_yy,,,,,143.76,127.15,60.90,59.54,61.42,28.31,0.58,4.76,-2.28,-3.59,17.70,13.16,15.03,23.69,49.36,36.05,39.74,45.05,45.81,40.61,17.08,22.94,26.90,25.58,41.84,37.17,25.04,17.78,26.13,32.51,11.61,18.81,6.41,8.29,6.16,2.80,22.87,17.50,22.08,16.35,12.75,14.24,15.98
IncomeRevenues_sy,,,,,30.93,23.15,17.29,9.78,6.04,28.31,0.58,4.76,2.89,-7.75,-4.00,-4.42,7.03,11.86,8.45,0.04,18.10,1.90,21.80,4.68,2.74,4.84,3.65,1.92,11.10,6.83,8.71,6.88,7.02,20.17,10.40,15.42,12.18,7.94,8.34,9.22,12.48,15.41,9.74,7.58,6.03,2.07,1.71
IncomeRevenues_qq,,30.66,122.44,144.02,-65.63,21.75,57.57,141.95,-65.23,-3.22,23.51,152.01,-67.56,-4.51,50.79,142.30,-67.03,2.67,82.08,120.70,-66.13,6.57,83.04,112.83,-71.80,11.91,88.94,110.61,-68.15,8.22,72.23,98.39,-65.89,13.69,45.06,111.19,-69.45,15.70,42.21,104.52,-63.49,10.64,47.75,94.93,-64.62,12.10,50.00
IncomeRevenues_sq,,2.21,28.09,26.73,-25.67,-3.42,41.95,49.57,-50.48,11.10,23.51,5.96,-18.84,-4.51,17.03,9.30,-22.73,2.10,22.88,12.36,-9.95,-3.37,29.99,4.92,-19.31,-6.08,18.70,5.28,-6.17,-8.76,31.28,7.51,-12.48,4.35,8.46,16.32,-11.66,-6.50,18.84,18.48,-12.55,-4.51,16.24,8.89,-11.72,-8.80,21.34
IncomeCostOfSales,8203000,10751000,26964000,71623000,22767000,26530000,44487000,116071000,50324000,38559000,42979000,126004000,44294000,34878000,52429000,138330000,46602000,41470000,79693000,188600000,63128000,68699000,118378000,272604000,78683000,80550000,156998000,340988000,102612000,113366000,192590000,377282000,127415000,155912000,215520000,453275000,139005000,163087000,231448000,465872000,170006000,191306000,283982000,527559000,202989000,216924000,336042000
IncomeCostOfSales_yy,,,,,177.54,146.77,64.99,62.06,121.04,45.34,-3.39,8.56,-11.98,-9.55,21.99,9.78,5.21,18.90,52.00,36.34,35.46,65.66,48.54,44.54,24.64,17.25,32.62,25.09,30.41,40.74,22.67,10.64,24.17,37.53,11.91,20.14,9.10,4.60,7.39,2.78,22.30,17.30,22.70,13.24,19.40,13.39,18.33
IncomeCostOfSales_sy,,,,,41.86,36.65,44.89,35.40,76.23,26.91,-1.67,4.31,4.64,-9.11,1.06,-4.58,-3.97,10.06,1.77,-0.94,10.83,-0.88,17.81,-0.46,5.21,4.60,0.46,-0.98,7.68,5.42,5.49,4.90,-4.56,9.33,9.81,12.33,12.59,7.29,15.02,6.63,17.58,16.89,17.56,13.89,12.07,5.22,8.82
IncomeCostOfSales_qq,,31.06,150.80,165.62,-68.21,16.53,67.69,160.91,-56.64,-23.38,11.46,193.18,-64.85,-21.26,50.32,163.84,-66.31,-11.01,92.17,136.66,-66.53,8.82,72.31,130.28,-71.14,2.37,94.91,117.19,-69.91,10.48,69.88,95.90,-66.23,22.37,38.23,110.32,-69.33,17.32,41.92,101.29,-63.51,12.53,48.44,85.77,-61.52,6.86,54.91
IncomeCostOfSales_sq,,0.62,14.83,26.08,-20.42,-7.59,21.45,24.02,-24.61,2.01,0.13,6.60,-9.39,-20.78,7.90,5.06,-38.52,-11.01,6.61,17.61,-1.59,-7.26,13.32,1.87,-1.46,-9.02,12.15,1.41,-2.10,-6.66,7.05,5.39,-9.66,10.32,5.71,13.54,-4.55,-1.44,14.97,14.70,-3.97,-1.00,9.11,5.63,-7.25,-8.70,11.04
IncomeDistributionExpenses,1147000,2548000,3575000,5835000,4370000,4105000,4248000,9148000,5493000,3580000,4803000,6844000,6342000,3635000,5819000,7655000,6882000,7098000,9911000,21024000,10318000,9223000,14118000,20795000,8823000,11262000,15091000,21875000,16823000,12361000,19746000,30242000,24978000,12919000,23713000,36546000,22740000,17447000,27162000,42665000,28462000,20259000,30921000,54178000,23275000,22864000,37103000
IncomeDistributionExpenses_yy,,,,,280.99,61.11,18.83,56.78,25.70,-12.79,13.06,-25.19,15.46,1.54,21.15,11.85,8.51,95.27,70.32,174.64,49.93,29.94,42.45,-1.09,-14.49,22.11,6.89,5.19,90.67,9.76,30.85,38.25,48.48,4.51,20.09,20.85,-8.96,35.05,14.54,16.74,25.16,16.12,13.84,26.98,-18.22,12.86,19.99
IncomeDistributionExpenses_sy,,,,,10.75,-5.92,0.48,13.46,-17.15,-18.61,-26.22,-25.19,28.63,1.54,1.01,-26.76,-34.93,79.85,64.00,21.15,7.98,9.13,23.57,-17.78,5.34,-34.81,-17.36,3.20,33.90,-20.41,15.50,-11.09,-65.15,16.60,-31.95,17.58,79.89,35.05,82.82,43.30,25.16,17.39,9.42,4.54,-14.17,-1.70,2.24
IncomeDistributionExpenses_qq,,122.14,40.31,63.22,-25.11,-6.06,3.48,115.35,-39.95,-34.83,34.16,42.49,-7.33,-42.68,60.08,31.55,-10.10,3.14,39.63,112.13,-50.92,-10.61,53.07,47.29,-57.57,27.64,34.00,44.95,-23.09,-26.52,59.74,53.16,-17.41,-48.28,83.55,54.12,-37.78,-23.28,55.68,57.08,-33.29,-28.82,52.63,75.21,-57.04,-1.77,62.28
IncomeDistributionExpenses_sq,,-29.16,37.21,63.22,-25.11,-39.82,29.10,32.87,-39.95,-34.83,17.03,42.49,-5.94,-42.68,26.22,31.55,-10.10,15.34,-0.60,15.24,-27.31,20.85,6.20,6.12,-3.61,-37.12,15.74,24.96,-0.21,-43.84,55.87,-14.29,-42.73,52.38,-9.03,54.12,-25.08,-23.28,28.05,47.33,-29.92,-5.94,20.75,41.38,-38.32,3.60,25.97
IncomeAdministrativExpenses,328000,2077000,2303000,2636000,4564000,3625000,4555000,5126000,5516000,4485000,4420000,3929000,1726000,3421000,5131000,4667000,4379000,4279000,3932000,1578000,3669000,3072000,3591000,3805000,1494000,2661000,3321000,3545000,3214000,2814000,4779000,6281000,3611000,3012000,4761000,7173000,3831000,4217000,5889000,4800000,4675000,5122000,6269000,5997000,7486000,6765000,7233000
