,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6583000,6976000,25611000,15756000,8600000,6348000,12896000,41028000,11336000,8681000,32092000,51349000,12120000,10784000,-7502000,24404000,6514000,10383000,17031000,150129000,36413000,32897000,64834000,65546000,38066000,40493000,44301000,46098000,49912000,44036000,89328000,42894000,46584000,56683000
IncomeRevenues_yy,,,,,30.65,-9.00,-49.65,160.39,31.81,36.75,148.84,25.16,6.91,24.23,-123.38,-52.47,-46.25,-3.72,327.00,515.18,458.98,216.83,280.69,-56.34,4.54,23.09,-31.67,-29.67,31.12,8.75,101.64,-6.95,-6.67,28.72
IncomeRevenues_sy,,,,,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,5.97,267.13,-38.48,-45.42,-26.19,103.16,218.13,-72.37,-23.42,269.69,60.01,-76.40,-11.02,-169.57,425.28,-73.31,59.40,64.02,781.52,-75.75,-9.66,97.08,1.10,-41.93,6.38,9.40,4.06,8.27,-11.77,102.85,-51.98,8.60,21.68
IncomeRevenues_sq,,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,5388000,-2248000,22622000,6949000,4465000,2661000,5320000,35912000,8449000,5644000,11435000,41579000,7907000,5330000,-2143000,19824000,5340000,7140000,15382000,122972000,32642000,18288000,48083000,56836000,28940000,29461000,34910000,28544000,40763000,31086000,47831000,41279000,39535000,45278000
IncomeCostOfSales_yy,,,,,-17.13,218.40,-76.48,416.79,89.22,112.06,114.96,15.78,-6.42,-5.56,-118.74,-52.32,-32.46,33.97,817.78,520.31,511.31,156.12,212.58,-53.78,-11.34,61.10,-27.40,-49.78,40.86,5.52,37.01,44.62,-3.01,45.65
IncomeCostOfSales_sy,,,,,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,-141.71,1106.43,-69.28,-35.74,-40.40,99.88,575.10,-76.47,-33.21,102.62,263.61,-80.98,-32.59,-140.21,1025.05,-73.06,33.72,115.43,699.44,-73.46,-43.98,162.93,18.20,-49.08,1.80,18.50,-18.24,42.81,-23.74,53.87,-13.70,-4.23,14.53
IncomeCostOfSales_sq,,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
