,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,52900000,48800000,52100000,40200000,46600000,50700000,41500000,37900000,41200000,39800000,38700000,41700000,46300000,37400000,35600000,42200000,44500000,40600000,48000000,43000000,43800000,40700000,38900000,39100000,39900000,40400000,41800000
IncomeRevenues_yy,,,,,-11.91,3.89,-20.35,-5.72,-11.59,-21.50,-6.75,10.03,12.38,-6.03,-8.01,1.20,-3.89,8.56,34.83,1.90,-1.57,0.25,-18.96,-9.07,-8.90,-0.74,7.46
IncomeRevenues_sy,,,,,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,-7.75,6.76,-22.84,15.92,8.80,-18.15,-8.67,8.71,-3.40,-2.76,7.75,11.03,-19.22,-4.81,18.54,5.45,-8.76,18.23,-10.42,1.86,-7.08,-4.42,0.51,2.05,1.25,3.47
IncomeRevenues_sq,,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,28100000,39300000,27100000,20100000,35100000,29600000,20700000,17400000,21900000,22400000,23300000,22800000,31600000,22200000,19700000,24900000,22600000,23900000,24600000,21600000,26300000,19700000,17700000,18200000,20300000,19300000,19500000
IncomeCostOfSales_yy,,,,,24.91,-24.68,-23.62,-13.43,-37.61,-24.32,12.56,31.03,44.29,-0.89,-15.45,9.21,-28.48,7.66,24.87,-13.25,16.37,-17.57,-28.05,-15.74,-22.81,-2.03,10.17
IncomeCostOfSales_sy,,,,,4.57,-2.12,-17.87,3.38,-13.54,15.63,-2.34,12.97,-22.65,-8.07,7.33,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,39.86,-31.04,-25.83,74.63,-15.67,-30.07,-15.94,25.86,2.28,4.02,-2.15,38.60,-29.75,-11.26,26.40,-9.24,5.75,2.93,-12.20,21.76,-25.10,-10.15,2.82,11.54,-4.93,1.04
IncomeCostOfSales_sq,,-27.17,2.52,-15.63,48.28,-21.14,4.66,3.00,35.09,-15.42,-6.14,-11.12,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,19900000,13800000,16300000,10300000,14200000,13200000,9700000,9400000,13900000,9000000,9100000,8200000,12200000,7500000,9300000,8500000,13100000,7200000,8000000,7900000,8000000,7500000,7400000,7500000,9000000,7700000,8000000
IncomeAdministrativExpenses_yy,,,,,-28.64,-4.35,-40.49,-8.74,-2.11,-31.82,-6.19,-12.77,-12.23,-16.67,2.20,3.66,7.38,-4.00,-13.98,-7.06,-38.93,4.17,-7.50,-5.06,12.50,2.67,8.11
IncomeAdministrativExpenses_sy,,,,,-1.89,-7.14,-6.91,1.58,-3.62,3.66,0.68,3.55,9.94,0.61,3.95,-0.07,10.66,2.95,-4.05,2.17,2.84,5.68,8.12,11.50,12.50,14.73,2.54
IncomeAdministrativExpenses_qq,,-30.65,18.12,-36.81,37.86,-7.04,-26.52,-3.09,47.87,-35.25,1.11,-9.89,48.78,-38.52,24.00,-8.60,54.12,-45.04,11.11,-1.25,1.27,-6.25,-1.33,1.35,20.00,-14.44,3.90
IncomeAdministrativExpenses_sq,,-19.06,3.00,-14.46,36.06,-23.75,1.45,-2.55,13.08,-15.81,-1.30,-3.19,10.47,-9.95,6.66,-4.74,22.84,-19.49,1.01,-1.25,18.38,-17.89,6.70,-0.85,16.79,-15.28,4.55
IncomeGrossProfit,4900000,-4300000,8700000,9800000,-2700000,7900000,11100000,11100000,5400000,8400000,6300000,10700000,2500000,7700000,6600000,8800000,8800000,9500000,15400000,13500000,9500000,13500000,13800000,13400000,10600000,13400000,14300000
IncomeGrossProfit_yy,,,,,-155.10,283.72,27.59,13.27,300.00,6.33,-43.24,-3.60,-53.70,-8.33,4.76,-17.76,252.00,23.38,133.33,53.41,7.95,42.11,-10.39,-0.74,11.58,-0.74,3.62
IncomeGrossProfit_sy,,,,,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-187.76,302.33,12.64,-127.55,392.59,40.51,,-51.35,55.56,-25.00,69.84,-76.64,208.00,-14.29,33.33,,7.95,62.11,-12.34,-29.63,42.11,2.22,-2.90,-20.90,26.42,6.72
IncomeGrossProfit_sq,,-59.83,9.73,4.27,-5.52,-4.24,5.88,,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,3000000,1800000,2300000,1800000,1800000,12600000,-9300000,3100000,15300000,1900000,1400000,1300000,40900000,10200000,23900000,8000000,19200000,3000000,5600000,1800000,9000000,2000000,1600000,1600000,4500000,1400000,1800000
IncomeOtherOperatingIncome_yy,,,,,-40.00,600.00,-504.35,72.22,750.00,-84.92,115.05,-58.06,167.32,436.84,1607.14,515.38,-53.06,-70.59,-76.57,-77.50,-53.12,-33.33,-71.43,-11.11,-50.00,-30.00,12.50
IncomeOtherOperatingIncome_sy,,,,,12.50,21.69,-20.35,27.60,-67.51,-45.37,-61.07,97.08,109.01,-25.29,111.08,-57.31,-20.96,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,-40.00,27.78,-21.74,,600.00,-173.81,133.33,393.55,-87.58,-26.32,-7.14,3046.15,-75.06,134.31,-66.53,140.00,-84.38,86.67,-67.86,400.00,-77.78,-20.00,,181.25,-68.89,28.57
IncomeOtherOperatingIncome_sq,,-72.89,95.18,-40.71,,-10.81,20.07,-37.50,71.43,16.99,-36.70,85.74,79.34,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,,173.77,-25.88,45.39
IncomeOtherOperatingCosts,91800000,61400000,74700000,68800000,46800000,10600000,34600000,5600000,13400000,7700000,7100000,3100000,43000000,7000000,9500000,300000,88500000,-700000,-19100000,6000000,36100000,17800000,1800000,0,4900000,-2300000,-9400000
IncomeOtherOperatingCosts_yy,,,,,-49.02,-82.74,-53.68,-91.86,-71.37,-27.36,-79.48,-44.64,220.90,-9.09,33.80,-90.32,105.81,-110.00,-301.05,1900.00,-59.21,2642.86,109.42,-100.00,-86.43,-112.92,-622.22
IncomeOtherOperatingCosts_sy,,,,,-30.74,45.15,-18.10,53.36,-23.31,12.29,-46.14,-21.46,103.00,13.74,2.00,-0.65,2.39,1.82,10.55,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,-33.12,21.66,-7.90,-31.98,-77.35,226.42,-83.82,139.29,-42.54,-7.79,-56.34,1287.10,-83.72,35.71,-96.84,29400.00,-100.79,-2628.57,131.41,501.67,-50.69,-89.89,-100.00,,-146.94,-308.70
