,2008/Q3,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2897000,3092000,3733000,3943000,3828000,4813000,4709000,4550000,6116000,7289000,6533000,6920000,5521000,9170000,9875000,9872000,8466000,12061000,14381000,12699000,13217000,14341000,13989000,13970000,16224000,18361000,18757000,19620000,15431000,19706000,20290000,15836000,17740000,19355000,19216000,19482000,21849000,19951000
IncomeRevenues_yy,,,28.86,27.52,,,26.15,15.39,59.77,51.44,38.73,52.09,-9.73,25.81,51.16,42.66,53.34,31.53,45.63,28.64,56.12,18.90,-2.73,10.01,22.75,28.03,34.08,40.44,-4.89,7.32,8.18,-19.29,14.96,-1.78,-5.30,23.02,23.16,3.08
IncomeRevenues_sy,,,-25.11,-6.98,,,16.17,16.48,-3.98,33.25,31.96,34.89,18.94,-5.74,-9.56,-6.96,3.49,14.98,23.32,11.06,0.42,4.51,-3.14,9.20,-6.18,-1.84,-0.64,-3.52,13.53,10.42,4.00,-6.34,12.84,-10.42,30.28,33.22,26.24,19.05
IncomeRevenues_qq,,6.73,,5.63,-2.92,25.73,-2.16,-3.38,34.42,19.18,-10.37,5.92,-20.22,66.09,7.69,-0.03,-14.24,42.47,19.23,-11.69,4.08,8.51,-2.46,-0.13,16.13,13.17,2.15,4.61,-21.35,27.70,2.97,-21.95,12.02,9.10,-0.72,1.38,12.15,-8.68
IncomeRevenues_sq,,-0.22,,-2.71,-0.92,20.81,3.92,-4.82,-27.59,62.32,6.16,-0.83,-27.98,27.67,1.86,0.96,-13.82,26.50,6.80,3.24,-15.28,12.38,-4.36,2.93,-18.74,17.22,3.96,4.56,-13.44,13.76,-4.27,-12.34,19.56,-4.12,23.66,1.02,-0.44,2.73
IncomeCostOfSales,,10609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,-89.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,196000,167000,-56000,271000,68000,120000,-92000,721000,325000,174000,365000,374000,46000,1117000,3046000,-66000,1240000,2963000,1403000,1989000,2900000,2669000,2473000,390000,1839000,2052000,2468000,3197000,226000,927000,2086000,1657000,1589000,2851000,1789000,1338000,3600000,1739000
IncomeGrossProfit_yy,,,-128.57,62.28,,,-64.29,166.05,377.94,45.00,496.74,-48.13,-85.85,541.95,734.52,-117.65,2595.65,165.24,-53.93,3114.00,133.87,-9.92,76.24,-80.40,-36.59,-23.10,-0.22,719.91,-87.71,-54.83,-15.47,-48.16,603.10,207.52,-14.23,-19.25,126.56,-38.99
IncomeGrossProfit_sy,,,-138.87,-28.82,,,-52.73,30.37,-127.11,8.80,141.22,350.54,108.46,230.71,-22.39,-40.92,195.70,65.56,-17.00,65.92,27.72,-25.54,-20.26,-75.71,-71.58,-41.95,-20.94,252.70,-46.78,37.60,-14.86,-27.34,59.90,-76.52,-53.32,12.00,-9.84,-38.99
